avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1569.552002,0.000000,-40.891544,10.652761,nan,0.000000,0.000000,nan,0.025934,0.000000,nan,0.974066,0.000000,-0.731693,-0.567521,0.188709,9648.276367,8304.040039,8469.290039,9013.169922,8582.035156,8602.391602,1.110466,1.362049,1.950809,3.512205,4.313191,4.972781,-0.030664,-0.065159,0.505805,54.907467,39.980301,42.831238,13896.877930,9761.374023,11009.597656,14.683873,11.786316,12.783419,15.033327,38.277992,50.778374,Bright
nan,nan,-43.684807,9.449233,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.635704,-0.601810,0.166930,9446.602539,8646.435547,8761.765625,8887.918945,8723.174805,8733.906250,1.182906,1.304402,1.922298,3.762008,4.133674,4.808179,-0.030675,-0.050224,0.552651,55.835548,43.526402,45.599846,14155.024414,10683.815430,11684.219727,14.471537,12.568604,13.430046,17.248438,33.370743,45.852707,Bright
nan,nan,-46.633305,9.255903,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.680278,-0.623549,0.137804,9624.702148,8800.938477,8896.427734,8915.812500,8776.441406,8784.103516,1.188645,1.288761,1.927635,3.765243,4.090545,4.785381,-0.029358,-0.044025,0.579900,57.484283,45.345703,47.010105,13939.902344,11193.223633,12009.866211,14.848171,12.955001,13.753660,17.642328,29.948101,41.061546,Bright
nan,nan,-49.589191,7.181073,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.828645,-0.659506,0.100876,9933.565430,9148.758789,9192.542969,9111.506836,8874.784180,8877.758789,1.126843,1.224607,1.889724,3.521242,3.864047,4.544267,-0.026458,-0.037991,0.621628,62.156345,48.389801,49.660568,14155.024414,12220.646484,12681.724609,15.632208,13.587830,14.333017,17.368977,23.923878,31.870052,Bright
nan,nan,-51.111092,5.998405,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.727683,-0.673400,0.083972,7528.369629,9206.138672,9234.978516,7010.615234,8828.482422,8838.097656,1.595866,1.218902,1.896550,5.307329,3.857309,4.549124,-0.389464,-0.050231,0.627048,5.063684,47.553810,49.401127,9207.219727,12568.284180,12814.335938,4.240388,13.418806,14.263806,9.150333,19.812750,22.651184,Bright
nan,nan,-54.033150,3.543105,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.625558,-0.675417,0.081252,4957.706055,9046.483398,9121.646484,5982.688477,8647.582031,8685.932617,2.220935,1.264962,1.957076,8.222448,4.076635,4.865281,-2.177350,-0.288145,0.931427,1.092492,44.877705,48.401909,5076.877930,12549.352539,12799.429688,1.647909,12.693567,13.915854,22.278368,17.622450,19.363859,Bright
nan,nan,-55.333820,2.416283,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.583725,-0.675519,0.081136,5215.014648,8909.892578,9017.381836,7054.751953,8575.651367,8619.805664,1.950913,1.290386,1.986940,6.423651,4.170368,4.978266,-0.333615,-0.299819,0.925335,6.858720,43.406776,47.607758,2710.536621,12236.134766,12636.231445,4.068786,12.344431,13.685520,38.280506,18.107756,20.171410,Bright
nan,nan,-56.400127,1.781132,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.414456,-0.670411,0.092584,6502.647461,8830.505859,8951.143555,7454.267090,8515.226562,8562.052734,1.581169,1.299937,1.992134,5.145069,4.210968,5.016439,-0.139694,-0.303776,0.920783,15.119206,42.204342,46.818050,7615.316895,12134.598633,12564.627930,6.462726,12.086251,13.483725,21.299257,18.184654,20.246603,Bright
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.336048,-0.643613,0.136964,6707.637695,8656.382812,8797.781250,7407.038086,8386.534180,8439.735352,1.801075,1.342071,2.011149,6.183343,4.386007,5.184433,-0.076147,-0.307661,0.907970,27.364052,40.462399,45.450787,7916.487793,11816.218750,12287.811523,8.507231,11.686563,13.123182,16.199665,17.319189,19.085747,Bright
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.177873,-0.624962,0.164584,6148.215332,8535.246094,8691.607422,7330.546875,8320.468750,8375.621094,2.042740,1.378124,2.032452,7.094095,4.525839,5.325505,-0.072254,-0.309137,0.900300,29.886446,39.680492,44.735249,6582.731934,11630.352539,12152.326172,8.434121,11.470155,12.909941,22.772615,16.880577,18.391890,Bright
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.434544,-0.599756,0.183021,7367.027832,8352.733398,8514.495117,8324.587891,8239.036133,8292.083008,1.684204,1.425431,2.055107,5.352217,4.689374,5.459846,-0.046978,-0.310432,0.890963,42.455044,39.010384,44.063660,7615.316895,11184.620117,11770.366211,11.304057,11.211067,12.625744,21.442116,16.910936,18.398348,Bright
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.481451,-0.596052,0.184435,8192.740234,8316.822266,8477.964844,8687.728516,8233.787109,8286.537109,1.430544,1.433925,2.059393,4.402395,4.712250,5.475979,-0.040256,-0.310517,0.889714,46.758453,39.035595,44.087234,9422.341797,11026.290039,11615.975586,12.600304,11.184436,12.593704,16.742998,17.076782,18.531948,Bright
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.638999,-0.585338,0.178771,9235.170898,8294.229492,8452.865234,9013.997070,8234.040039,8286.808594,1.240709,1.435724,2.050422,3.836581,4.715820,5.468482,-0.030812,-0.310268,0.886489,56.483356,39.529579,44.673786,12821.268555,10967.777344,11549.510742,14.767440,11.206579,12.609681,16.982952,17.135242,18.574087,Bright
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.694193,-0.583411,0.177321,9051.927734,8261.487305,8416.131836,8997.660156,8239.207031,8292.375977,1.214975,1.437039,2.049666,3.762036,4.714021,5.465177,-0.033050,-0.310300,0.885873,53.408554,39.616154,44.774475,12218.926758,10904.101562,11477.526367,14.107221,11.190408,12.588760,16.186241,17.096609,18.536324,Bright
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.747749,-0.588776,0.180160,9159.076172,8246.996094,8400.039062,8785.273438,8237.889648,8290.983398,1.241859,1.436528,2.054498,3.920151,4.715137,5.471295,-0.031882,-0.310190,0.887611,54.872414,39.846092,45.048515,13079.415039,10926.473633,11502.455078,14.056985,11.190897,12.594349,15.802351,17.212910,18.634899,Bright
nan,nan,-59.520580,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.807726,-0.592683,0.183934,9870.553711,8260.612305,8415.859375,9101.593750,8254.525391,8308.938477,1.117235,1.435672,2.057634,3.474750,4.704203,5.466713,-0.025996,-0.309516,0.889272,63.632732,41.076248,46.599083,14929.463867,10950.567383,11533.016602,15.642367,11.313892,12.749324,12.934869,17.368837,18.738335,Bright
nan,nan,-58.305992,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.759133,-0.593178,0.184364,10027.026367,8263.108398,8418.824219,9213.100586,8263.162109,8318.397461,1.036573,1.435846,2.058260,3.283933,4.701367,5.465164,-0.024283,-0.309191,0.889636,67.251709,41.742123,47.442421,14886.439453,10955.731445,11539.650391,16.108568,11.384822,12.837467,14.044956,17.289539,18.672552,Bright
nan,nan,-55.370422,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.664949,-0.588403,0.181067,9248.150391,8242.638672,8395.779297,9094.529297,8273.205078,8329.291016,1.197447,1.441542,2.058375,3.629143,4.707431,5.465167,-0.027420,-0.308726,0.888416,63.413185,42.772968,48.714432,12304.975586,10771.585938,11324.759766,15.032343,11.465178,12.929349,18.855608,17.504889,18.861410,Bright
nan,nan,-53.571960,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.526547,-0.537911,0.281233,2998.671875,7980.633301,8197.590820,3408.481445,8048.224609,8159.468750,3.613435,1.541156,2.147896,23.985415,5.522780,7.259896,-0.930814,-0.344741,0.871472,2.792967,40.652958,47.352253,3614.048828,10356.831055,10997.735352,1.238704,10.924341,12.518748,25.115835,17.912308,19.253107,Bright
nan,nan,-55.522827,3.800334,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.234492,-0.454566,0.375105,2387.751709,7408.427734,7770.329590,4165.516113,7618.432617,7827.174316,4.403938,1.794326,2.430189,26.141756,7.556318,11.013142,-0.447430,-0.439313,0.901385,5.981171,36.414742,44.453899,1764.000000,9430.945312,10280.571289,2.063903,9.863440,11.698163,52.682995,20.057844,22.530682,Bright
nan,nan,-55.205635,3.958197,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.078755,-0.424638,0.386443,3482.024902,7154.558105,7549.713867,6075.716797,7504.541992,7717.247070,2.990350,1.867602,2.477569,12.679263,7.915505,11.269376,-0.166992,-0.444840,0.899370,15.124571,34.717846,43.002163,1548.878052,8895.722656,9842.231445,4.641693,9.444162,11.295444,59.037815,21.866325,25.292551,Bright
nan,nan,-55.487598,2.894704,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.199428,-0.399469,0.379743,5406.026367,6973.457031,7363.399414,7169.892090,7426.877441,7634.852051,2.192435,1.910226,2.489805,7.816347,8.087310,11.343048,-0.085033,-0.447183,0.899392,26.611332,33.296043,41.473755,4646.634277,8515.386719,9471.950195,7.487615,9.118379,10.922389,24.638994,22.157129,25.515484,Bright
