avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.727287,-0.702881,0.063321,9777.105469,9627.246094,9631.825195,9175.787109,9128.084961,9129.494141,1.106651,1.163497,1.867340,3.483512,3.642901,4.348552,-0.013817,-0.015209,0.687673,120.615517,111.320160,112.191666,14413.170898,13783.292969,13806.430664,19.309639,18.602575,19.314442,15.982051,14.575801,15.390325,Bright_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.682262,-0.700856,0.063138,9582.720703,9622.720703,9627.294922,8930.515625,9124.380859,9125.849609,1.137138,1.163324,1.865146,3.601969,3.641307,4.344941,-0.016964,-0.015228,0.685629,99.776863,111.240456,112.117546,14413.170898,13776.407227,13799.197266,17.314859,18.578123,19.289207,15.328416,14.507940,15.313707,Bright_V
nan,nan,-59.962379,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.678239,-0.698070,0.062535,9948.351562,9620.631836,9625.126953,9016.624023,9126.962891,9128.389648,1.077470,1.164191,1.863183,3.454156,3.640713,4.341589,-0.015269,-0.015163,0.682908,107.558899,111.667480,112.506088,14886.439453,13766.082031,13787.955078,18.327263,18.593687,19.301613,16.641611,14.573718,15.381737,Bright_V
nan,nan,-56.510426,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.759767,-0.697684,0.060725,8029.123047,9534.297852,9543.156250,7309.006836,9063.193359,9071.645508,1.552014,1.180678,1.880682,5.131019,3.698185,4.408070,-0.061711,-0.017024,0.680721,30.841663,108.624397,110.599602,10713.073242,13616.358398,13649.625977,9.113858,18.187710,18.985027,13.474238,14.624645,15.435820,Bright_V
nan,nan,-55.024345,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.027388,-0.670777,0.154541,6460.218750,9422.850586,9450.964844,6460.832031,8962.831055,8985.846680,1.762057,1.203413,1.879975,5.940732,3.786332,4.490720,-2.957439,-0.134608,0.787133,0.741096,104.755836,108.817848,7787.414551,13366.818359,13448.715820,1.480966,17.565821,18.629837,9.820587,14.459875,15.274313,Bright_V
nan,nan,-56.031151,3.139174,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.632416,-0.661015,0.150797,4357.396973,9054.355469,9168.551758,6068.335938,8714.347656,8773.403320,2.322741,1.281152,1.966248,8.320187,4.110272,4.926956,-0.728113,-0.347039,1.095701,3.310655,95.741798,103.812523,3011.707275,12743.825195,13044.531250,2.398788,16.211914,17.812389,42.882729,15.599365,17.314747,Bright_V
nan,nan,-56.625256,3.276026,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.497006,-0.655142,0.154173,5082.365723,8869.097656,9017.810547,6638.724121,8613.813477,8682.444336,1.999034,1.315366,1.998926,6.788004,4.238582,5.071229,-0.237570,-0.355939,1.089722,9.705918,91.687675,101.395248,3355.902344,12315.300781,12755.082031,4.337934,15.637594,17.409815,28.700958,16.277925,18.109064,Bright_V
nan,nan,-59.142555,0.646828,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.233286,-0.616471,0.186635,5382.244141,8532.708008,8721.823242,6424.321777,8398.712891,8484.341797,2.264271,1.394006,2.047389,8.722775,4.578198,5.441510,-0.100444,-0.363714,1.075755,22.554474,84.040810,96.047424,5636.195312,11737.052734,12287.727539,6.362063,14.618093,16.578489,27.284803,16.977362,18.839012,Bright_V
nan,nan,-58.949520,0.587786,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.043009,-0.593445,0.217846,5433.292969,8377.453125,8589.526367,6598.224121,8306.932617,8400.108398,2.409010,1.440478,2.079618,9.322271,4.792749,5.698718,-0.085172,-0.366483,1.069174,26.522631,80.758682,93.669098,6926.926758,11492.674805,12087.548828,6.947576,14.170712,16.198586,19.404455,17.239128,19.048756,Bright_V
nan,nan,-58.952103,0.585422,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.158904,-0.573532,0.233352,5934.149902,8237.037109,8462.862305,7307.193359,8233.290039,8327.639648,2.135462,1.478091,2.100624,7.433333,4.941074,5.838365,-0.067513,-0.368574,1.064079,32.459602,77.570045,91.136238,6539.707520,11229.365234,11871.429688,8.460902,13.768276,15.826751,16.795904,17.280426,19.066656,Bright_V
nan,nan,-59.014748,0.518444,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.416542,-0.544472,0.238317,7104.091309,7998.305664,8223.206055,7917.121094,8112.038574,8202.794922,1.739956,1.532807,2.124943,5.639988,5.141419,5.990496,-0.043055,-0.371118,1.057631,47.155350,72.141998,86.268921,7314.146484,10627.023438,11327.625977,11.036262,13.091275,15.128620,22.151384,18.154032,19.933056,Bright_V
nan,nan,-58.594666,0.800223,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.421373,-0.530876,0.235237,7877.850586,7927.558105,8147.453613,8234.834961,8077.600098,8166.317871,1.540802,1.547575,2.124811,4.836167,5.188858,6.015362,-0.036345,-0.371974,1.055078,52.950615,69.750687,83.914284,9336.292969,10423.948242,11112.681641,12.357657,12.844224,14.852960,16.678753,18.329699,20.052265,Bright_V
