avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1493.419556,448.120514,-52.235619,3.579673,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-0.889258,-0.417421,0.363486,9890.105469,6760.643555,7524.336914,8790.225586,7733.528809,7949.699219,0.882947,2.068046,2.833577,3.117781,8.993405,12.708952,-0.060907,-0.114925,0.328526,27.107868,55.898350,73.914658,14499.219727,7630.805664,10040.502930,11.057501,10.838880,13.098021,23.105680,70.819016,95.351372,Broad
-1493.419556,448.120514,-52.680683,3.996165,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-0.832054,-0.418358,0.364522,10694.276367,6768.870605,7535.909180,8475.618164,7699.138184,7911.079590,0.723309,2.053854,2.827787,2.956048,8.976337,12.704827,-0.066771,-0.117145,0.326823,23.081572,51.242950,68.577408,19188.878906,7797.740723,10320.937500,10.406423,10.410296,12.558206,15.891660,71.001129,95.378883,Broad
-1493.419556,448.120514,-52.336872,3.696177,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-0.866167,-0.428941,0.373421,12462.939453,6886.604492,7705.729492,8363.296875,7673.310547,7882.679688,0.373873,2.021386,2.823178,2.575762,8.929671,12.699476,-0.068451,-0.119321,0.334087,19.000763,47.160721,64.255020,19404.000000,8018.026367,10670.416992,9.948185,10.056290,12.143216,12.507835,70.993576,95.385773,Broad
-1493.419556,448.120514,-52.671734,3.774024,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-1.128303,-0.468670,0.410122,14897.070312,7258.929199,8274.014648,7802.702637,7569.992676,7769.325684,0.055167,1.933299,2.824479,2.623570,8.849477,12.706296,-0.087578,-0.124845,0.364888,11.070388,37.926498,53.158028,21168.000000,8610.041992,11594.196289,7.971506,9.113376,10.979279,7.595848,70.455643,95.344238,Broad
-1493.419556,448.120514,-52.693157,3.752865,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-1.363078,-0.497093,0.445016,15090.838867,7499.552734,8618.288086,7582.747070,7512.945801,7708.197266,0.103670,1.887368,2.829683,2.723894,8.805035,12.713962,-0.114391,-0.128778,0.387425,8.244579,33.866096,48.423119,21124.976562,8930.143555,12057.731445,7.642992,8.704976,10.501025,7.740403,70.243279,95.341125,Broad
-1493.419556,448.120514,-52.536674,3.725175,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-0.773497,-0.519831,0.457272,5704.289551,7285.417969,8427.181641,6422.350586,7329.603027,7519.101562,2.013919,1.933387,2.882332,6.927209,8.981869,12.808534,-4.335458,-0.391102,0.922006,0.557034,25.506781,38.090424,6539.707520,8443.106445,11644.999023,1.598868,7.470256,9.252591,15.438003,70.271263,95.362839,Broad
-1493.419556,448.120514,-52.407207,3.718884,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-1.075295,-0.537742,0.469738,7226.083008,7209.147461,8352.835938,8435.172852,7307.679199,7493.680664,1.332742,1.937248,2.900019,3.725848,8.977807,12.820460,-0.808978,-0.422828,0.920367,2.499286,21.178694,30.938894,4302.438965,8107.516113,11397.488281,3.704467,6.905103,8.550851,28.757357,70.827370,95.506317,Broad
-1493.419556,448.120514,-52.209400,3.515995,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-1.331189,-0.573107,0.500594,12888.624023,7400.491211,8599.656250,8955.834961,7324.950195,7514.101074,0.324682,1.887168,2.907577,2.176241,8.883569,12.821670,-0.206647,-0.442508,0.916411,6.015340,14.587866,17.754421,20178.439453,8429.338867,11877.670898,6.960982,6.150742,7.471120,8.360759,70.040283,95.384285,Broad
-1493.419556,448.120514,-52.272072,3.291907,nan,0.007062,0.012297,nan,0.047100,0.016503,nan,0.945838,0.023561,-1.162957,-0.607908,0.510059,13271.875000,7786.604980,8970.890625,8768.088867,7400.651367,7592.531738,0.268473,1.795209,2.872952,2.186620,8.597740,12.704907,-0.209334,-0.447543,0.919491,5.688561,13.614747,16.743580,20737.755859,9239.917969,12580.693359,6.846931,6.186580,7.535852,5.717757,64.719910,91.258484,Broad
-1481.705811,477.913971,-52.237720,3.336324,nan,0.008070,0.012832,nan,0.046308,0.017499,nan,0.945622,0.025181,-1.389205,-0.656707,0.523925,14458.301758,8293.911133,9418.804688,8625.968750,7558.469238,7729.648926,0.186968,1.625565,2.735883,2.300634,7.719539,11.740541,-0.206028,-0.446255,0.929847,4.996231,13.351797,16.644415,20436.585938,10038.452148,13227.734375,6.814904,6.358634,7.699711,5.748751,57.716320,83.776535,Broad
