avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1323.570557,65.686752,nan,nan,nan,0.025482,0.014845,nan,0.046574,0.023198,nan,0.927944,0.012081,-0.825574,-0.609184,0.132871,9617.149414,8599.379883,8785.740234,9137.539062,8748.331055,8762.919922,1.105173,1.304358,1.946289,3.478549,4.201107,4.972712,-0.017957,-0.031276,0.578189,94.007248,68.043404,70.939087,14241.073242,10852.473633,12219.188477,17.201111,14.428617,15.388311,13.312584,43.562225,69.110619,Broad_V
-1323.570557,65.686752,nan,nan,nan,0.025482,0.014845,nan,0.046574,0.023198,nan,0.927944,0.012081,-0.639067,-0.629078,0.125910,9071.148438,8777.342773,8942.680664,8915.332031,8785.485352,8799.310547,1.195613,1.282026,1.942453,3.747347,4.127437,4.916212,-0.021178,-0.029395,0.599944,83.264290,71.251488,74.036507,13380.584961,11683.705078,12751.503906,16.222605,14.865688,15.803818,14.873514,37.015743,63.378395,Broad_V
-1308.518188,69.618240,-58.172638,0.000000,nan,0.023054,0.016440,nan,0.044388,0.026427,nan,0.932558,0.010461,-0.673294,-0.637143,0.121964,8935.444336,8950.982422,9073.103516,9019.952148,8845.334961,8855.406250,1.200772,1.243778,1.904428,3.753312,3.985569,4.743103,-0.021693,-0.027468,0.609877,82.090019,73.178123,75.554863,12046.829102,12146.647461,12976.815430,15.977974,15.208033,16.076591,20.485306,31.091841,53.757412,Broad_V
-1379.401855,0.000000,-54.997520,0.000000,nan,0.031976,0.000000,nan,0.025069,0.000000,nan,0.942955,0.000000,-0.921793,-0.670566,0.105421,8758.362305,9309.898438,9338.124023,8258.090820,8929.348633,8932.284180,1.382608,1.170428,1.844584,4.387191,3.714039,4.395211,-0.026503,-0.023118,0.647470,68.063385,77.140793,78.585373,12649.170898,13115.554688,13455.560547,14.010461,15.863137,16.594736,12.218087,19.109087,26.644695,Broad_V
nan,nan,-53.704720,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.023490,-0.652092,0.166986,6756.308105,9313.634766,9340.789062,6610.837891,8848.252930,8862.765625,1.692122,1.176327,1.833466,5.664435,3.752316,4.427543,-2.230763,-0.110603,0.693192,0.948839,75.263229,77.965652,8088.585449,13418.446289,13552.060547,1.795174,15.498305,16.421371,10.378701,15.408203,16.886333,Broad_V
nan,nan,-56.404430,3.339287,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.686387,-0.653941,0.165586,4117.828613,9008.412109,9117.661133,5698.391113,8619.570312,8670.581055,2.561466,1.260770,1.943867,9.977781,4.118280,4.978478,-1.043923,-0.361611,1.148002,2.347880,70.583488,76.063004,3269.853760,12964.108398,13273.582031,1.983503,14.500653,15.900138,37.061153,15.091212,16.655525,Broad_V
nan,nan,-56.445801,3.331781,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.517690,-0.642543,0.164764,4890.629883,8799.369141,8943.941406,6734.396973,8528.494141,8587.465820,2.072850,1.303527,1.980304,7.061913,4.267071,5.139633,-0.294105,-0.372472,1.140552,7.932394,68.032196,74.682487,3097.756104,12473.629883,12928.033203,3.986386,14.008625,15.551903,31.261843,15.668805,17.480360,Broad_V
nan,nan,-57.367573,1.603288,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.301534,-0.629267,0.177818,5774.242188,8630.495117,8793.772461,6787.747559,8451.231445,8517.402344,1.841815,1.332812,1.998348,6.430341,4.378078,5.248325,-0.142167,-0.377248,1.135183,15.561205,65.777061,73.317711,6582.731934,12119.110352,12622.349609,5.854805,13.603804,15.235681,21.158188,16.118464,17.879292,Broad_V
nan,nan,-58.153046,0.967829,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.219832,-0.589448,0.208912,5699.883789,8284.604492,8481.814453,6882.625000,8272.941406,8350.827148,2.220388,1.418537,2.053963,8.151846,4.734016,5.627038,-0.082954,-0.383342,1.124150,26.769730,61.491337,70.246658,6324.585449,11430.721680,12023.352539,7.448785,12.832660,14.560167,22.901400,16.959082,18.595701,Broad_V
nan,nan,-58.434254,1.029175,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.149287,-0.565517,0.223207,5527.180664,8098.285156,8307.411133,6978.990723,8185.490234,8265.830078,2.255615,1.464002,2.080404,8.213496,4.923448,5.817068,-0.073651,-0.385506,1.119006,30.464285,59.414799,68.519730,5550.146484,11086.525391,11737.872070,7.718804,12.445293,14.184048,24.905888,17.329050,18.983839,Broad_V
