avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1895.900269,141.545151,-44.125092,7.084980,-0.000000,0.000000,0.000000,0.017588,0.050777,0.025997,0.982412,0.949223,0.025997,0.030183,0.072853,0.342474,1648.618286,3679.973633,4185.546387,4314.697754,5691.886719,5948.924805,4.812936,3.276958,3.406034,28.898935,16.957327,19.098127,-0.470562,-0.392364,0.546286,5.908301,14.843248,20.164343,516.292664,2417.970703,3414.589111,1.894826,4.412851,5.582070,197.062531,92.174187,102.271080,Closed
-1880.358521,146.261520,-44.261749,6.959476,-0.000000,0.000000,0.000000,0.066579,0.051993,0.025330,0.933421,0.948007,0.025330,0.117355,0.080227,0.341366,1988.205566,3598.673828,4126.770508,5026.520996,5636.474609,5895.405762,4.072943,3.337528,3.456272,21.203028,17.410080,19.454863,-0.345368,-0.400377,0.557279,7.906892,14.484314,19.938496,387.219513,2376.667236,3403.638428,2.520776,4.312807,5.509717,212.317276,97.524963,109.606133,Closed
-1869.399658,146.374969,-44.635799,6.694027,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.529572,0.062613,0.361245,4851.871094,3560.223633,4089.178467,7656.595215,5633.915039,5893.562012,2.049302,3.342877,3.477083,6.835073,17.448341,19.490032,-0.108726,-0.402704,0.543013,21.491360,14.201835,19.684860,473.268280,2300.944336,3382.966064,6.723939,4.266366,5.478773,101.200745,100.332977,112.287025,Closed
-1869.399658,146.374969,-44.938843,6.634380,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.395752,0.054537,0.369061,5902.565430,3572.509033,4106.420410,8177.027832,5646.770020,5911.028809,1.799765,3.339684,3.483068,5.785440,17.437855,19.494081,-0.083846,-0.402903,0.536159,26.194443,14.116694,19.572683,1032.585327,2295.781494,3381.296631,8.504124,4.282628,5.509367,78.627419,100.646545,112.502495,Closed
-1869.399658,146.374969,-45.647362,6.744655,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.825117,0.058515,0.369775,7116.898926,3491.997559,3962.965576,7164.788574,5566.382324,5800.273926,1.580588,3.360281,3.487941,5.027001,17.519417,19.510170,-0.731269,-0.431438,0.562046,2.779398,11.944655,16.369457,8045.561035,2170.149902,3214.420654,3.348722,3.864649,4.857936,10.847823,101.441254,113.058945,Closed
-1869.399658,146.374969,-46.019669,6.851165,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.313189,0.068651,0.355707,6101.311523,3403.520020,3798.641602,6728.053711,5481.611816,5685.309570,1.859432,3.384893,3.488827,6.100541,17.613419,19.524496,-4.882355,-0.625119,1.142783,0.491247,10.114491,13.506804,6797.853516,2025.588135,2800.821289,1.442616,3.434554,4.209045,11.796094,101.126686,113.006279,Closed
-1869.399658,146.374969,-46.749889,7.101126,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.600456,0.022507,0.402179,5257.918457,3417.736328,3803.263428,7143.338379,5480.183105,5678.103516,2.021404,3.353008,3.506359,6.681564,17.393600,19.427731,-0.315976,-0.710149,1.193611,7.225675,8.850183,12.210267,3054.731689,1994.610840,2762.471191,4.332652,3.200468,3.965900,40.869171,101.499847,113.154175,Closed
-1869.399658,146.374969,-47.151390,7.259771,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.450132,0.012648,0.410537,6687.616699,3475.352539,3892.622803,7697.198242,5485.475098,5685.220703,1.575755,3.334367,3.506190,4.879940,17.321169,19.415022,-0.163774,-0.713235,1.187943,12.752539,8.305948,11.313399,6969.951172,2166.708252,3047.928223,6.315141,3.152064,3.888756,23.686365,100.004990,112.602074,Closed
-1869.399658,146.374969,-47.670994,7.574494,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.362045,0.003312,0.416258,6377.826660,3582.802734,4029.210938,7504.078125,5520.396484,5728.476074,1.757527,3.298561,3.492535,5.746199,17.147331,19.352367,-0.130546,-0.712980,1.182232,16.321920,8.229970,11.203745,7142.048828,2412.807861,3360.221680,6.908236,3.220334,4.000926,20.843386,95.652702,109.663719,Closed
-1869.399658,146.374969,-47.386497,7.541986,nan,0.000000,0.000000,nan,0.054135,0.025601,nan,0.945865,0.025601,-0.288551,-0.043102,0.418699,6717.213379,3952.196289,4408.587402,7912.494141,5809.791016,6026.646484,1.725231,3.066990,3.319297,5.576397,15.390803,17.828257,-0.080611,-0.678494,1.146811,25.862236,9.687491,12.988978,7529.268066,2837.889160,3900.623779,8.715158,3.745387,4.658039,18.966837,89.180443,106.094017,Closed
