avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.568700,-0.670973,0.081932,9793.648438,9630.574219,9634.670898,9313.435547,9175.132812,9176.516602,1.141603,1.174783,1.846334,3.559807,3.646309,4.319115,-0.013734,-0.014491,0.656482,121.219284,116.568085,117.331261,14456.195312,13396.075195,13422.380859,20.074587,19.049406,19.729631,11.637913,14.064095,15.035604,Closed_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.646203,-0.662174,0.084133,9067.702148,9604.637695,9609.357422,9168.168945,9170.056641,9171.373047,1.267188,1.182272,1.845253,3.846193,3.665202,4.329778,-0.015640,-0.014584,0.647591,112.719215,116.051277,116.794807,11788.682617,13304.862305,13334.630859,18.149683,19.008434,19.680523,15.395612,13.897397,14.787639,Closed_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.620474,-0.663446,0.083248,9613.618164,9611.814453,9616.469727,9253.291992,9172.065430,9173.394531,1.153941,1.182112,1.846367,3.605772,3.666058,4.331890,-0.014249,-0.014537,0.648910,118.643318,116.362038,117.102776,13208.488281,13320.351562,13349.743164,19.069658,19.043428,19.716074,16.035975,13.782443,14.647240,Closed_V
nan,nan,-58.375984,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.536850,-0.655081,0.084377,8346.944336,9514.648438,9524.098633,9071.710938,9166.243164,9167.556641,1.329957,1.193833,1.850060,4.010334,3.694496,4.352739,-0.018166,-0.014782,0.640300,102.489487,115.515762,116.292297,8992.097656,13065.646484,13128.977539,16.728842,18.863155,19.535049,18.601681,13.893198,14.771342,Closed_V
nan,nan,-56.934853,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.885226,-0.667708,0.093734,7566.652832,9428.601562,9445.703125,7060.352051,9080.927734,9091.619141,1.568164,1.209971,1.880221,5.081606,3.750931,4.430084,-0.260573,-0.024629,0.644881,7.546076,111.165627,113.939796,8303.707031,12841.919922,12938.440430,4.697384,18.276405,19.162683,9.953504,13.859889,14.758891,Closed_V
nan,nan,-54.723522,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.770094,-0.647440,0.127389,5161.334473,9128.280273,9201.173828,6090.284668,8862.901367,8904.815430,2.162829,1.270877,1.932951,7.740300,3.998593,4.739903,-3.362003,-0.328264,1.084018,0.719912,102.498383,109.619743,6367.609863,12320.463867,12515.884766,1.305089,16.908957,18.375103,19.248735,14.122603,15.035863,Closed_V
nan,nan,-55.842247,4.059540,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.641176,-0.651803,0.125213,4658.339844,8919.793945,9035.062500,6650.553223,8754.515625,8806.833984,2.125283,1.311783,1.984547,7.054471,4.144188,4.921514,-0.499243,-0.347678,1.078217,4.739934,97.925850,106.983093,2495.414551,11857.522461,12205.674805,3.023387,16.242107,17.938198,45.355114,15.382464,17.391075,Closed_V
nan,nan,-52.747875,3.293160,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.248937,-0.621731,0.152095,5342.112305,8583.388672,8746.852539,6593.651367,8561.966797,8630.093750,1.999845,1.371855,2.019614,7.132395,4.376848,5.155921,-0.136543,-0.359770,1.064126,16.630203,89.552048,101.576080,5507.122070,11179.457031,11681.254883,5.601567,15.131509,17.094740,19.579178,16.043488,18.045843,Closed_V
nan,nan,-53.498787,2.474275,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.140519,-0.601177,0.178691,5656.064453,8443.754883,8627.856445,6796.789062,8470.108398,8545.082031,2.117546,1.407911,2.039820,7.630374,4.532756,5.323299,-0.096318,-0.362956,1.057614,23.116047,86.273064,99.446777,6324.585449,10917.870117,11464.350586,6.878433,14.705823,16.753651,21.768286,16.216595,18.219860,Closed_V
nan,nan,-54.106728,2.113808,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.166545,-0.582792,0.197797,6012.400879,8299.217773,8495.829102,7122.341797,8394.818359,8473.713867,2.097009,1.444800,2.061800,7.424688,4.683977,5.477151,-0.075928,-0.365414,1.052371,28.678757,82.761505,96.812622,7529.268066,10654.559570,11213.041016,7.928527,14.275105,16.375362,24.556242,16.699694,18.702940,Closed_V
nan,nan,-55.004452,1.857131,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.035107,-0.541085,0.228600,3865.409424,7927.145020,8175.642578,4190.114746,8132.560547,8251.642578,3.030483,1.551443,2.148108,16.590021,5.322872,6.480406,-0.458625,-0.385002,1.038478,5.389954,75.209442,91.386024,4646.634277,10019.519531,10661.018555,2.184242,13.205444,15.507321,17.810347,17.398951,19.322443,Closed_V
nan,nan,-55.363544,1.861212,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.377292,-0.498735,0.288813,2960.628662,7636.088867,7937.185059,3331.684082,7906.385742,8081.010254,3.001729,1.626928,2.196575,16.706692,5.848037,7.257906,-2.827889,-0.497590,1.128972,0.956680,70.385437,88.029396,3528.000000,9560.019531,10253.548828,0.707276,12.428328,14.911148,25.521816,18.105110,19.902811,Closed_V
nan,nan,-56.032104,1.810605,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.117560,-0.441526,0.326829,3111.176514,7131.791016,7545.536133,5559.532715,7562.986328,7784.568359,3.214639,1.798680,2.354706,14.172585,6.864837,8.608897,-0.289351,-0.558676,1.136375,8.903602,61.332817,81.301231,1376.780518,8742.555664,9691.087891,3.254244,11.129041,13.889111,49.688820,20.979382,24.056229,Closed_V
nan,nan,-56.554173,1.675701,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.012535,-0.405379,0.325071,4885.486816,6946.674805,7366.748047,7083.071289,7472.574219,7688.546387,2.321655,1.843945,2.362128,8.323657,7.052992,8.716993,-0.109606,-0.562517,1.139510,21.305271,57.175262,77.412971,3097.756104,8401.802734,9428.802734,6.606091,10.625655,13.367062,49.750820,22.192940,25.730755,Closed_V
nan,nan,-56.723198,1.821444,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.106578,-0.378639,0.321030,6038.761719,6596.681641,7000.090332,7106.341797,7385.281250,7594.874512,2.364117,1.894351,2.381818,8.401966,7.250976,8.836555,-0.101286,-0.565992,1.142529,23.239473,53.543823,74.084198,2882.634033,7956.070801,9020.245117,6.703290,10.116888,12.822323,40.229374,23.311855,26.840984,Closed_V
nan,nan,-56.723919,1.822433,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.243210,-0.350279,0.316533,6226.321289,6452.053711,6832.046387,8326.661133,7305.159180,7502.495605,1.865400,1.952613,2.400764,5.791419,7.432228,8.917248,-0.055457,-0.569562,1.146546,38.762516,47.310070,67.372681,3743.122070,7167.863770,8229.785156,9.959129,9.354449,11.889978,27.196468,24.464127,27.744017,Closed_V
nan,nan,-56.723999,1.822545,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.491927,-0.341754,0.309659,7427.540527,6362.323730,6718.814453,8931.538086,7298.528320,7494.515137,1.473327,1.965039,2.401194,4.331445,7.460001,8.923284,-0.045252,-0.570809,1.147868,43.938747,44.297188,63.596420,5076.877930,6832.272949,7842.576660,11.644894,9.059948,11.488159,19.915352,24.587944,27.819784,Closed_V
nan,nan,-56.723999,1.822546,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.729822,-0.345971,0.313650,9350.461914,6295.520508,6626.078613,9298.712891,7297.374512,7493.085938,1.191241,1.972160,2.409853,3.626621,7.473193,8.932919,-0.024567,-0.571999,1.146698,70.224899,39.721893,56.635941,12434.048828,6577.569336,7440.415527,15.997987,8.667643,10.871356,19.145359,25.343243,28.312075,Closed_V
nan,nan,-56.723999,1.822546,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.728214,-0.353237,0.320247,9189.382812,6284.709473,6610.853516,9007.198242,7292.443359,7487.121094,1.267826,1.971020,2.416073,3.906300,7.469796,8.937644,-0.026355,-0.572471,1.145150,66.253418,37.676773,53.209133,12821.268555,6594.778320,7469.524902,15.122746,8.500428,10.603906,14.083753,25.275444,28.282051,Closed_V
nan,nan,-56.723999,1.822546,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.698107,-0.362451,0.329979,9043.107422,6272.060059,6592.782715,9078.206055,7282.064453,7474.431152,1.244017,1.975100,2.427578,3.775528,7.479529,8.950182,-0.025674,-0.573261,1.143185,68.784317,34.057056,46.423241,11100.292969,6534.543945,7370.654297,15.284404,8.260699,10.208809,15.664685,25.086512,28.198164,Closed_V
