avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-967.116028,0.000000,-48.230457,6.361306,0.015327,0.015327,0.000000,0.062577,0.062577,0.000000,0.922096,0.922096,0.000000,0.144037,-0.125710,0.298520,1960.601074,5077.914551,5655.629883,4582.697754,6140.307617,6309.299805,4.325777,2.501327,2.802855,23.978409,11.491101,13.027999,-0.503904,-0.247943,0.183909,5.433350,17.677599,25.237501,559.317078,5723.964355,7803.706055,2.011802,5.559989,7.085265,126.343658,62.195084,75.667366,Coarse
-1002.907532,30.068913,-47.160439,7.043258,0.033108,0.022886,0.007499,0.064648,0.057583,0.008569,0.902244,0.919531,0.013193,0.129766,-0.065075,0.259620,3066.655273,4492.437988,4960.104004,5151.114746,5829.468262,5961.033203,3.057533,2.693123,2.904087,12.810423,12.488141,13.731527,-0.885774,-0.306559,0.303797,2.932356,13.473266,19.574615,2882.634033,4624.261719,6488.449707,1.702371,4.543315,5.732500,115.173897,71.737274,84.143707,Coarse
-1003.547729,26.064039,-46.638279,7.352211,0.026045,0.023676,0.006637,0.088599,0.065337,0.015344,0.885357,0.910987,0.018695,0.228413,-0.027083,0.228416,3211.461914,4238.562500,4621.724121,5274.798828,5679.024902,5777.586914,3.152091,2.777036,2.929693,13.036175,12.874010,13.927006,-0.923263,-0.342232,0.379750,2.792503,11.427581,16.308947,3097.756104,4140.667480,5766.880371,1.615785,4.034715,4.937089,90.322464,74.549263,85.936897,Coarse
-1013.209473,26.300402,-45.686142,7.805501,0.015431,0.021888,0.006207,0.056045,0.066050,0.014196,0.928524,0.912062,0.017424,-0.100403,0.033268,0.163823,3017.376221,3804.845215,4039.687500,4538.143066,5352.078613,5388.770508,3.635734,2.960942,3.023383,18.187088,13.963775,14.705244,-1.146868,-0.423922,0.530773,2.278547,7.713505,8.379107,3097.756104,3524.558105,4849.892090,1.517662,3.135025,3.302850,64.957314,78.055832,87.718163,Coarse
-1017.823425,26.844450,-45.254856,7.970780,0.049599,0.025847,0.011272,0.091012,0.069616,0.015781,0.859389,0.904538,0.024494,-0.472233,0.008372,0.189455,6103.004395,3913.347900,4165.251953,6673.621094,5428.194824,5469.023438,1.803791,2.897911,2.993590,6.017584,13.505418,14.358883,-3.471250,-0.549286,0.859716,0.665191,7.439315,8.267572,7486.244141,3712.144287,5044.852539,1.686820,3.091855,3.297327,18.722374,77.564568,87.601036,Coarse
-1143.007446,345.046082,-44.400833,8.326433,-0.000000,0.024628,0.014006,0.058521,0.068141,0.014343,0.941479,0.907231,0.025078,-0.184789,-0.041678,0.223990,2790.165527,3991.155518,4240.264160,4837.682617,5504.981445,5542.000000,3.614449,2.825294,2.965825,17.223083,12.828744,13.647055,-1.473448,-0.722972,1.125266,1.806776,6.972748,8.074726,2581.463379,3837.775879,5125.303711,1.404117,3.008949,3.294148,85.890114,76.545235,87.401840,Coarse
-1227.593262,414.178528,-43.994808,8.478232,-0.000000,0.022165,0.015203,0.072886,0.068615,0.013682,0.927114,0.909220,0.024528,-0.019197,-0.053653,0.214254,2458.696533,3943.714355,4205.992676,4336.750000,5473.562500,5515.134277,4.085289,2.863531,3.024053,21.420347,13.078283,13.989673,-1.406326,-0.768203,1.149465,1.924119,6.686753,7.886270,2495.414551,3825.728760,5119.089355,1.247461,2.926677,3.246739,81.586609,77.713493,88.303734,Coarse
-1279.462524,427.613281,-43.642471,8.551532,-0.000000,0.020150,0.015834,0.084710,0.070079,0.013841,0.915290,0.909772,0.023451,0.184248,-0.048939,0.218105,2069.603271,3874.979004,4157.849121,3986.881348,5408.981934,5458.702637,4.546447,2.924807,3.096243,26.491404,13.596484,14.709875,-1.197930,-0.807343,1.174594,2.297856,6.326501,7.562691,1677.951172,3827.449463,5119.642578,1.223332,2.816831,3.151520,79.119736,77.866173,88.433060,Coarse
-1342.090942,420.360077,-43.160461,8.460176,-0.000000,0.017050,0.016279,0.024261,0.068016,0.018631,0.975739,0.914934,0.027813,0.415375,-0.006481,0.244105,1687.451050,3629.932129,3950.841309,3726.934570,5205.982422,5270.824219,5.337997,3.161010,3.335149,35.438442,15.651118,17.502012,-0.978240,-0.876036,1.237111,2.855827,5.552385,6.705928,1290.731689,3515.952881,4796.535645,1.239438,2.543196,2.842375,109.226486,80.666779,90.727287,Coarse
-1369.637085,417.067505,-43.039265,8.335374,-0.000000,0.015832,0.016290,0.053844,0.067004,0.018320,0.946156,0.917164,0.027981,0.646024,0.022840,0.274770,1443.389038,3454.988525,3786.659180,3407.740967,5128.765137,5206.337402,6.056010,3.325017,3.499262,45.462437,17.097477,19.609901,-1.043105,-0.905557,1.274145,2.717348,5.372048,6.546715,688.390259,3188.967529,4459.079590,1.089957,2.443977,2.733601,140.645813,85.329926,94.839745,Coarse
