avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.731072,-0.641853,0.077536,9233.293945,9283.924805,9303.210938,8880.814453,8981.178711,8983.232422,1.255936,1.226462,1.871193,3.909791,3.842026,4.493827,-0.016165,-0.019490,0.622372,107.631042,91.150909,92.724648,12649.170898,13026.065430,13145.564453,17.647943,16.923029,17.616051,15.475185,15.248083,16.340000,Coarse_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.739138,-0.643039,0.078779,9479.173828,9290.793945,9310.144531,8953.461914,8972.629883,8974.607422,1.212138,1.232134,1.877776,3.803641,3.860385,4.512203,-0.015170,-0.019152,0.623897,112.523338,92.724121,94.298851,12563.122070,13046.715820,13164.882812,18.179813,17.029497,17.722628,15.750521,14.755636,15.646878,Coarse_V
nan,nan,-58.148731,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.659296,-0.643834,0.078830,9429.648438,9339.154297,9357.119141,8966.765625,8978.596680,8980.470703,1.173394,1.224031,1.870470,3.713394,3.841366,4.493856,-0.016212,-0.018334,0.625507,105.661430,96.035950,97.464333,14757.366211,13227.418945,13340.414062,18.011215,17.294680,17.979805,15.250222,14.309147,15.169140,Coarse_V
nan,nan,-56.610992,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.626719,-0.641388,0.078373,8005.631836,9281.021484,9302.703125,7046.266113,8905.061523,8915.000977,1.520178,1.236501,1.881369,5.224521,3.896564,4.554582,-0.069373,-0.020246,0.621229,27.483971,93.962250,96.305084,13079.415039,13180.952148,13292.744141,8.362308,16.981628,17.751011,11.973276,14.168733,15.033108,Coarse_V
nan,nan,-53.820869,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.595208,-0.626114,0.124215,5403.287598,9017.528320,9085.877930,5854.666016,8672.166016,8716.608398,1.989869,1.286619,1.923519,7.214344,4.113885,4.812355,-4.698242,-0.332098,1.119808,0.529047,87.384758,93.350380,6840.877930,12683.590820,12891.314453,1.230136,15.776356,17.073254,15.204761,14.071190,14.942951,Coarse_V
nan,nan,-55.955921,3.145947,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.605591,-0.626043,0.124226,4454.275391,8825.804688,8940.135742,6170.324707,8564.916016,8623.690430,2.213859,1.325116,1.970092,7.730610,4.267051,5.013132,-0.726928,-0.360321,1.113423,3.298269,84.259491,91.899788,2753.561035,12260.231445,12624.306641,2.476383,15.234097,16.756430,44.155739,15.391631,17.261635,Coarse_V
nan,nan,-58.042828,1.270796,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.194104,-0.601506,0.154973,6071.079102,8478.567383,8638.411133,6747.182129,8376.976562,8451.952148,1.734022,1.383959,2.008189,6.141969,4.497688,5.243736,-0.133023,-0.374821,1.101538,16.318768,78.393372,88.642410,7443.219727,11518.491211,12040.245117,6.071140,14.260943,16.039259,21.786625,16.561790,18.482403,Coarse_V
nan,nan,-59.026279,0.572409,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.234049,-0.582433,0.169043,5566.055664,8331.585938,8511.482422,6492.734863,8275.456055,8358.174805,2.024382,1.415863,2.024436,7.602005,4.650271,5.405387,-0.109056,-0.378318,1.096123,20.531315,75.998444,87.234978,6109.463379,11231.087891,11806.352539,6.297700,13.867509,15.729198,22.656143,16.897333,18.807583,Coarse_V
nan,nan,-58.898167,0.568629,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.070020,-0.562156,0.196636,5674.044922,8196.519531,8393.809570,6713.026367,8182.089355,8269.655273,2.279243,1.456935,2.051571,8.641983,4.839238,5.620698,-0.079041,-0.380668,1.091426,28.132229,73.646088,85.635834,6926.926758,10979.825195,11590.080078,7.521174,13.499747,15.410886,18.975857,17.040545,18.923532,Coarse_V
nan,nan,-58.948223,0.497493,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.242224,-0.531165,0.218360,5968.981445,7893.296875,8110.892090,7612.428223,8046.751953,8134.215820,2.085844,1.533687,2.103429,6.978889,5.134249,5.907835,-0.060648,-0.384508,1.084974,36.005905,68.876343,81.975113,4302.438965,10200.222656,10934.166992,9.064402,12.777637,14.732567,20.800243,17.890244,19.650408,Coarse_V
