avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-52.223057,3.858448,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.563152,-0.408739,0.332632,9282.203125,6617.593262,7150.433105,8591.818359,7441.093750,7583.874023,1.182328,1.909924,2.519336,3.879186,7.508829,9.707879,-0.033125,-0.183789,0.296279,51.149590,25.434046,30.486322,14585.268555,7296.936035,9713.594727,14.054730,8.180242,9.617744,11.948082,50.455231,59.245922,Cold
nan,nan,-52.672691,4.056162,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.783037,-0.411009,0.334770,9680.884766,6606.625000,7135.358887,9067.120117,7530.805176,7681.182129,1.094555,1.931882,2.533588,3.471631,7.564690,9.730751,-0.033622,-0.173360,0.307401,49.964710,28.117632,33.113697,14542.244141,6858.088867,8912.373047,14.459155,8.725780,10.202221,16.789591,50.871704,59.347176,Cold
nan,nan,-52.592831,3.949906,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.728507,-0.420458,0.340220,9169.270508,6633.776855,7168.890625,8874.037109,7562.119141,7715.697754,1.168585,1.927507,2.539498,3.699475,7.547034,9.730623,-0.034742,-0.172455,0.315838,50.361305,28.848196,34.028103,13853.853516,6985.441406,9085.913086,13.798433,8.869544,10.384106,12.682337,49.961376,58.978664,Cold
nan,nan,-52.466949,3.820670,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.790143,-0.469075,0.337569,8040.531738,7022.185059,7504.558105,7458.847656,7688.544922,7836.520020,1.416070,1.839739,2.501375,4.463881,7.196347,9.496127,-0.193658,-0.157756,0.365502,9.821885,30.517168,35.506119,12864.292969,8000.816406,9864.742188,5.946435,9.394201,10.859742,9.613093,43.414799,52.718529,Cold
nan,nan,-52.430256,3.792404,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.286651,-0.489844,0.308480,6633.048340,7190.191406,7605.392090,6857.420898,7771.731445,7898.059570,1.650995,1.756033,2.412395,5.270997,6.675644,8.815759,-3.148466,-0.260745,0.655290,0.693623,30.358498,35.510101,7314.146484,8238.311523,9968.839844,1.708095,9.385007,10.876653,12.213799,40.555801,50.040787,Cold
nan,nan,-52.386906,3.764736,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.487154,-0.551524,0.244978,5220.672363,7406.797363,7716.409180,7089.719238,7938.410645,8016.661621,1.945920,1.606062,2.248953,6.239016,5.607249,6.980069,-0.364187,-0.328194,0.785495,6.281578,30.282454,35.561226,3097.756104,8491.293945,10063.280273,3.936197,9.452715,10.955204,39.782063,37.003124,46.267887,Cold
nan,nan,-52.474895,3.915399,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.486063,-0.574685,0.207447,6786.536621,7578.188965,7818.915039,7594.049316,8041.098145,8097.118652,1.486058,1.519951,2.148949,4.660000,5.105688,6.121031,-0.155326,-0.316325,0.796440,13.348691,30.580925,35.666702,7916.487793,8747.719727,10182.653320,6.275512,9.612134,11.046682,19.604193,34.419624,43.258888,Cold
nan,nan,-51.208057,3.582218,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.334374,-0.585176,0.179118,6634.197266,7839.529297,7988.368164,7436.133301,8151.853516,8187.314453,1.818574,1.429071,2.033167,6.160242,4.625029,5.299956,-0.087089,-0.302272,0.806634,24.044588,31.512789,36.098995,7228.097656,9274.337891,10419.621094,8.222406,9.932028,11.239161,21.222507,28.995787,35.893665,Cold
nan,nan,-51.236015,3.774954,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.279114,-0.586939,0.175852,6447.834473,7879.799805,8018.283691,7535.561035,8157.611816,8192.564453,1.927435,1.434295,2.041191,6.534365,4.650745,5.334570,-0.072606,-0.299654,0.808814,29.180277,32.026459,36.431236,6797.853516,9482.575195,10503.134766,8.856194,10.037602,11.316849,17.886513,27.003260,33.400410,Cold
nan,nan,-51.380249,3.980494,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.300118,-0.588574,0.172962,7076.461426,7919.966797,8051.156250,8162.084473,8178.867676,8213.029297,1.670938,1.431689,2.039884,5.233118,4.624463,5.305798,-0.053950,-0.297585,0.810696,37.681274,32.712353,36.987541,6969.951172,9658.115234,10582.663086,10.428514,10.158597,11.419538,18.539547,24.975428,30.582638,Cold
