avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-57.006466,1.428438,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.751854,-0.176624,0.221051,10187.336914,6868.943359,6959.617188,8712.915039,6826.774414,6888.998535,0.868202,2.231616,2.469189,3.023986,8.437688,8.994347,-0.045479,-0.110642,0.075268,35.390289,21.005186,22.444286,17812.097656,6778.923340,7727.033691,12.059456,7.376977,7.876398,20.406162,28.374941,29.981388,Cold_V
nan,nan,-57.034187,1.378269,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.756406,-0.207764,0.244459,9794.983398,7014.418945,7124.434082,8743.375000,6931.154785,7000.833008,0.931962,2.164682,2.446072,3.112516,8.149589,8.800428,-0.050922,-0.106915,0.107545,32.666271,21.712923,23.218010,17726.048828,7296.936035,8447.715820,11.505247,7.612535,8.163336,19.272184,27.742884,29.428736,Cold_V
nan,nan,-57.095398,1.393917,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.613880,-0.229426,0.255254,9222.109375,7144.099609,7261.497070,8613.937500,7037.776367,7110.883301,1.173033,2.102210,2.411167,3.843431,7.859228,8.563713,-0.045019,-0.102192,0.132623,38.682968,22.725147,24.355440,15015.511719,7715.134277,8919.141602,12.401628,7.900960,8.496224,13.871247,26.773005,28.572603,Cold_V
nan,nan,-57.329094,1.487497,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.814916,-0.285697,0.290310,9559.057617,7404.763672,7538.359375,9256.309570,7261.319824,7348.752441,1.158705,1.987903,2.363845,3.536065,7.332223,8.166932,-0.034128,-0.094422,0.195428,49.692776,25.188477,27.438271,13939.902344,8480.968750,9713.354492,14.321504,8.519452,9.264150,13.190221,25.170799,27.240490,Cold_V
nan,nan,-57.488167,1.542799,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.332443,-0.300304,0.283016,6748.891602,7426.354980,7556.907715,6761.974121,7285.832520,7370.269531,1.801969,1.956281,2.344449,6.114045,7.163415,8.002721,-1.519013,-0.149931,0.319782,1.379840,24.588404,27.250402,7959.512207,8601.436523,9793.083984,2.375149,8.378810,9.210582,9.550999,24.571638,26.870211,Cold_V
nan,nan,-57.614063,1.796546,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.518469,-0.339346,0.275525,4262.169434,7343.249512,7498.975098,5735.737793,7283.897461,7369.234863,2.593851,1.923787,2.343826,10.407069,6.996368,7.835312,-1.084473,-0.367654,0.937739,2.242419,23.518862,26.955608,3312.877930,8641.019531,9827.323242,2.220661,8.084245,9.120104,33.980549,24.026123,26.461548,Cold_V
nan,nan,-57.562733,1.989020,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.358881,-0.353088,0.267473,5117.515137,7299.181641,7465.602051,7030.456543,7316.214844,7398.252441,2.109883,1.903719,2.333878,7.119113,6.872173,7.704042,-0.264245,-0.372962,0.936546,8.705870,23.213642,26.821667,3140.780518,8573.900391,9800.112305,4.568031,8.029390,9.099058,29.056368,24.165764,26.619719,Cold_V
nan,nan,-58.018116,0.991514,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.294545,-0.378227,0.246104,5855.623535,7297.525391,7464.457031,7243.838379,7419.537109,7490.936523,2.049235,1.842498,2.287395,7.144198,6.527341,7.308574,-0.112209,-0.371346,0.936771,19.606487,23.420036,26.976145,5636.195312,8675.438477,9856.404297,7.090157,8.138149,9.200500,20.284605,22.390078,24.388592,Cold_V
nan,nan,-58.073929,1.059353,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.196736,-0.387486,0.234471,6451.892578,7313.954590,7478.202637,7562.431641,7479.979980,7545.672852,1.979545,1.815916,2.264926,6.723147,6.375052,7.127250,-0.086662,-0.368965,0.937574,24.441576,23.803022,27.267279,6625.755859,8751.161133,9899.951172,8.307554,8.251723,9.298365,21.931587,21.850452,23.745684,Cold_V
nan,nan,-57.906082,1.745024,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.831829,-0.435925,0.240930,12823.087891,7672.106934,7900.901367,9035.304688,7685.483887,7752.418945,0.112555,1.667897,2.187903,1.850851,5.837716,6.687922,-0.079295,-0.365334,0.941083,15.782013,24.021381,27.494816,20049.365234,9635.742188,10849.404297,8.302145,8.471374,9.535501,7.755107,20.069990,21.781202,Cold_V
