avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1773.629517,222.569275,-40.651810,9.981416,-0.000000,0.000000,0.000000,0.062177,0.063017,0.022995,0.937823,0.936983,0.022995,0.488703,0.306029,0.346358,1718.925781,2785.628662,3270.145020,3541.090576,4765.117676,5090.070801,4.766521,4.247254,4.269797,30.868559,26.918144,31.021257,-1.433081,-0.904987,1.348078,1.971340,6.324498,9.151024,1161.658569,1782.930664,2637.297119,0.904843,2.315734,2.856240,204.360443,100.072098,110.596855,Dark
-1747.544556,239.812225,-40.198872,10.174832,-0.000000,0.000000,0.000000,0.060893,0.062892,0.022314,0.939107,0.937108,0.022314,0.499020,0.314191,0.348400,1862.751953,2777.081787,3264.987549,3694.655273,4724.295410,5056.229980,4.516000,4.259648,4.274016,28.152632,27.133816,31.188608,-1.223762,-0.936948,1.381999,2.276183,6.159489,9.072753,1204.682983,1798.419434,2643.221191,1.010245,2.265384,2.826994,194.934036,104.361946,115.929893,Dark
-1700.494507,265.099457,-38.242046,9.692074,-0.000000,0.000000,0.000000,0.036829,0.060282,0.022440,0.963171,0.939717,0.022440,0.489572,0.357003,0.334955,1351.968262,2595.239746,3098.681641,3291.767578,4468.587891,4785.781738,5.667535,4.459031,4.398801,41.300850,29.118629,32.585709,-1.303245,-1.022628,1.483114,2.201620,4.917833,7.382796,473.268280,1769.162964,2635.579346,0.874185,1.916137,2.378553,241.704727,116.017303,130.833664,Dark
-1679.300171,274.405853,-37.387978,9.540255,-0.000000,0.000000,0.000000,0.036934,0.059115,0.022456,0.963066,0.940885,0.022456,0.410542,0.380517,0.316762,1212.878662,2478.631592,2996.496826,3168.229004,4306.479492,4606.458008,6.276286,4.614532,4.515105,49.446842,30.757109,33.972775,-1.257583,-1.068179,1.537016,2.294484,4.189865,6.185200,473.268280,1765.720947,2634.889648,0.865135,1.709424,2.077532,273.967163,123.092216,140.470123,Dark
-1638.204712,292.149231,-35.875534,9.224614,-0.000000,0.000000,0.000000,0.046107,0.060806,0.024039,0.953893,0.939194,0.024039,-0.546750,0.358434,0.364935,5344.917969,2496.642578,3026.833984,6381.177734,4248.945312,4517.812500,2.000355,4.599669,4.529581,6.935541,30.711817,33.982040,-4.790035,-1.336499,1.901234,0.542405,2.915987,3.440635,4173.365723,1820.791992,2706.755615,1.346527,1.383605,1.428762,59.232430,124.801369,141.267059,Dark
-1616.040771,304.051880,-35.245441,9.040339,0.035415,0.001540,0.007222,0.063004,0.060902,0.023515,0.901581,0.937558,0.024730,-0.572680,0.333887,0.404009,2917.153564,2347.540039,2781.410889,5080.687012,4143.100098,4365.237305,3.099569,4.666410,4.580801,13.665147,31.105680,34.101219,-2.120437,-1.390452,1.929804,1.277131,2.858300,3.431052,516.292664,1517.900269,2172.664551,1.301300,1.341649,1.402537,152.714767,129.832428,144.440216,Dark
-1578.645020,318.209045,-34.069389,8.320565,-0.000000,0.001417,0.006940,0.073162,0.061968,0.022844,0.926838,0.936616,0.023937,0.077174,0.333600,0.411815,1420.492310,1973.969360,2183.468506,3567.996094,3845.958496,3951.960205,5.363510,4.931406,4.745229,36.086960,33.148586,35.134953,-1.224492,-1.462670,1.971922,2.326602,2.380116,2.333520,516.292664,1067.004639,1273.300781,1.053112,1.109313,0.858887,274.822876,148.639008,162.100128,Dark
-1555.375122,331.325134,-33.573387,7.844929,0.037030,0.002898,0.009830,0.039873,0.060831,0.023205,0.923097,0.936271,0.024066,0.260806,0.337628,0.410589,1302.414062,1943.737549,2160.078857,3401.813965,3804.560547,3910.688477,5.951653,5.005013,4.813646,44.213421,34.072430,35.971268,-1.048285,-1.476115,1.983863,2.721437,2.335701,2.273274,516.292664,1044.632080,1259.240356,1.047178,1.089489,0.832764,286.300690,157.664841,171.466385,Dark
-1521.275024,332.294434,-33.135925,7.280680,0.049577,0.004881,0.013398,0.059639,0.059507,0.022273,0.890784,0.935612,0.025057,0.251710,0.325653,0.408549,1375.148682,1941.263306,2158.479004,3685.458496,3833.807129,3935.447266,5.704296,4.979443,4.794965,40.203747,33.690659,35.505604,-0.758166,-1.436035,1.940458,3.727817,2.419467,2.368613,516.292664,1018.817505,1241.938843,1.314867,1.114871,0.863572,296.016815,166.962265,180.946884,Dark
-1449.045166,315.153290,-32.494366,6.018198,0.033298,0.006213,0.014460,0.045961,0.059709,0.022054,0.920741,0.934079,0.024681,0.191310,0.273494,0.396917,1929.658081,1962.031982,2174.805420,4768.131348,3958.837402,4053.397705,4.343060,4.854416,4.711949,23.723902,31.984306,33.723686,-0.388513,-1.326732,1.810034,7.045395,2.789303,2.925769,516.292664,967.188293,1206.613159,2.269926,1.225145,1.035660,285.828247,183.098831,197.339615,Dark
