avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1581.877197,378.542297,-35.910126,7.811525,0.053830,0.006051,0.016408,0.083995,0.074275,0.034452,0.862175,0.919674,0.038728,0.286381,0.386757,0.159113,1527.895508,1982.720947,2044.038818,3897.135986,4378.547852,4401.107910,4.978766,4.265985,3.939682,29.858349,23.186012,23.710518,-1.356211,-1.051808,1.481170,2.101938,3.119576,3.154093,602.341492,1029.143433,1163.640869,0.971727,1.322406,1.076707,185.674835,119.059006,123.825287,Dark_V
-1546.970947,364.207672,-34.246998,6.596969,-0.000000,0.007558,0.017480,0.087510,0.071368,0.031988,0.912490,0.921074,0.037055,0.271784,0.372278,0.154693,1418.376953,1928.093384,1994.526733,3752.162598,4306.392578,4329.856934,5.200510,4.362461,4.049885,32.598602,24.205921,24.694086,-1.308307,-1.071566,1.488218,2.188219,3.089352,3.147781,559.317078,980.956116,1127.473389,0.935198,1.310877,1.082561,205.389832,130.334427,135.154724,Dark_V
-1527.163452,354.860168,-33.519985,6.076348,0.048041,0.009480,0.019108,0.076172,0.067629,0.024979,0.875787,0.922891,0.033507,0.631469,0.370961,0.152321,1370.263794,1908.785156,1978.868530,3685.603516,4287.036621,4312.266602,5.311599,4.398558,4.090991,33.942757,24.627945,25.174278,-1.255440,-1.076696,1.492320,2.282657,3.082036,3.144261,559.317078,956.862427,1108.941895,0.922085,1.307497,1.081852,211.921051,136.211258,141.032623,Dark_V
-1486.672241,326.220917,-32.329605,5.322586,-0.000000,0.009480,0.019108,0.031724,0.064301,0.024215,0.968276,0.926219,0.033886,0.581835,0.368137,0.147431,1146.979980,1871.009888,1951.639648,3192.653320,4245.501465,4278.261719,6.631183,4.498458,4.223526,53.863499,26.054249,27.387741,-1.135944,-1.085748,1.498614,2.541965,3.067397,3.136522,430.243896,903.512085,1069.500610,0.970389,1.299394,1.079652,236.324509,148.562561,153.629684,Dark_V
-1470.094971,313.046234,-31.817530,4.955986,-0.000000,0.009480,0.019108,0.074286,0.066098,0.023201,0.925714,0.924422,0.032651,-0.349141,0.329416,0.195706,4865.800293,2003.555420,2158.617188,6364.070312,4349.270508,4399.472656,2.100054,4.359876,4.145919,7.530900,24.843184,26.419107,-2.324034,-1.150266,1.540479,1.054269,2.952031,3.090037,2710.536621,967.188110,1178.001099,1.715945,1.313943,1.128858,94.899536,148.298553,153.498779,Dark_V
-1435.297241,280.800507,-31.099808,4.476703,-0.000000,0.013995,0.027727,0.110703,0.071209,0.030441,0.889297,0.914796,0.050653,-0.377242,0.281171,0.272514,2845.939209,2171.550537,2396.717529,4903.695312,4416.875488,4480.953125,3.256884,4.217209,4.080571,15.203807,23.725351,25.683994,-1.762894,-1.397556,1.888216,1.527714,2.468754,2.483735,946.536560,1158.216675,1536.981689,1.447688,1.237106,1.063338,139.253265,141.914505,148.491226,Dark_V
-1420.066040,266.752106,-30.893511,4.320304,-0.000000,0.013995,0.027727,0.042511,0.068514,0.029874,0.957489,0.917491,0.051059,-0.064314,0.263247,0.279814,1916.910889,2103.172852,2316.319092,4447.047363,4401.791016,4465.339844,4.171651,4.272397,4.140981,22.393669,24.080305,25.943577,-1.152122,-1.417723,1.884787,2.414438,2.410224,2.431093,430.243896,1036.027466,1372.596313,1.378994,1.214545,1.049861,212.663895,146.716965,153.356506,Dark_V
-1400.288330,248.223221,-30.663212,4.018400,-0.000000,0.013995,0.027727,0.049337,0.066722,0.029684,0.950663,0.919283,0.051438,0.140913,0.258252,0.280837,1590.558716,2045.389160,2257.895996,4068.256836,4372.152344,4435.786133,4.698781,4.335783,4.201225,28.010708,24.591677,26.365757,-1.001792,-1.433970,1.889444,2.812563,2.348651,2.349970,430.243896,1013.654785,1360.984131,1.317462,1.184859,1.013320,244.914963,152.950729,159.995148,Dark_V
-1397.224121,245.833237,-30.622673,3.904674,-0.000000,0.013995,0.027727,0.054933,0.065113,0.029185,0.945067,0.920892,0.051590,0.122733,0.245487,0.280631,1478.792358,1976.361816,2193.170410,3985.045410,4283.999512,4343.241211,5.148646,4.439791,4.313239,33.445385,25.714428,27.432903,-0.695398,-1.453323,1.886997,4.045687,2.213318,2.074721,430.243896,970.630371,1338.703247,1.497861,1.118039,0.897962,266.190125,164.007553,172.675385,Dark_V
-1392.979980,242.141159,-30.640280,3.872877,-0.000000,0.013995,0.027727,0.059345,0.063946,0.028806,0.940655,0.922059,0.051693,-0.022215,0.227563,0.282838,2081.698486,1999.475342,2211.997070,4894.555664,4322.486328,4382.191895,3.785036,4.389133,4.281370,18.526133,25.216030,27.000515,-0.570763,-1.437164,1.862217,4.773028,2.288332,2.217341,430.243896,963.746460,1336.060059,1.916369,1.148670,0.958092,245.451950,168.234863,177.339203,Dark_V
