avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-49.190395,5.947175,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.195789,-0.693251,0.137004,3102.712158,9346.773438,9448.052734,6475.245605,9044.163086,9061.960938,2.892313,1.228753,1.953548,11.400610,3.929560,4.874548,-0.103901,-0.022398,0.671063,24.786734,87.238937,89.233192,430.243896,12850.522461,13173.046875,5.113820,16.880249,17.767227,154.763535,21.168911,35.721836,Dry
nan,nan,-47.131180,7.061190,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.396171,-0.649288,0.253589,1371.190186,9000.684570,9236.932617,3593.447266,8818.303711,8900.536133,5.912009,1.422278,2.291842,43.155724,5.520467,9.973037,-0.455976,-0.039859,0.615548,6.176823,84.130219,87.583031,602.341492,12318.741211,12876.993164,1.513085,16.250053,17.363094,151.452805,26.627962,46.794922,Dry
nan,nan,-42.761799,9.119309,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.357557,-0.540343,0.404394,1122.920654,8281.996094,8786.678711,2896.441162,8334.759766,8566.389648,7.169106,1.894178,3.023881,63.575428,10.089130,19.910654,-0.988279,-0.104652,0.494993,2.911396,77.894699,84.349968,602.341492,11186.339844,12182.372070,0.882150,14.956068,16.519224,113.872711,36.126389,60.127281,Dry
nan,nan,-40.969978,9.608538,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.001165,-0.508284,0.413985,2142.873779,7982.475586,8583.612305,3937.440430,8128.120117,8407.587891,4.284987,2.021620,3.131211,24.314423,10.923693,20.488375,-1.492588,-0.163534,0.497342,1.849087,74.681984,82.684349,946.536560,10647.674805,11837.870117,1.094652,14.340088,16.137896,142.785263,41.460796,66.560600,Dry
nan,nan,-38.386337,9.805586,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.341714,-0.529962,0.442989,6602.912109,7757.199219,8382.618164,7908.159180,7987.495117,8271.540039,1.637958,2.064229,3.175870,4.846825,11.064675,20.536753,-4.141178,-0.474189,1.076290,0.563263,68.486031,79.659790,5033.853516,10095.242188,11435.875000,2.144426,13.214339,15.482811,22.938223,42.973148,67.233116,Dry
nan,nan,-37.441750,9.726484,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.675210,-0.525776,0.441098,5093.913574,7566.767578,8211.048828,7059.654297,7903.104980,8188.323730,2.222213,2.106198,3.201730,7.268289,11.208989,20.576445,-2.432165,-0.570727,1.137119,0.985515,64.985718,77.641617,3183.804932,9678.766602,11126.115234,2.071244,12.591194,15.055163,41.532188,44.023174,67.680771,Dry
nan,nan,-36.715534,9.541064,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.038859,-0.500535,0.454430,3341.539795,7317.249512,8012.281738,4791.086914,7732.293945,8042.507812,3.350146,2.191176,3.254653,15.278492,11.670079,20.785435,-2.621140,-0.674829,1.211005,1.012657,61.383614,75.429665,3140.780518,9284.664062,10836.560547,1.123856,11.934602,14.597448,47.002083,45.343884,68.266441,Dry
-2185.796143,18.304443,-35.769157,9.021014,-0.000000,0.000000,0.000000,0.102243,0.107486,0.005244,0.897757,0.892514,0.005244,0.121270,-0.434390,0.479810,2987.803467,6813.440430,7609.652832,4054.675049,7330.884766,7700.631836,3.853839,2.393703,3.376932,19.488533,12.839017,21.379385,-2.761520,-0.899637,1.392777,0.978685,54.636143,71.369598,2968.682861,8503.340820,10251.118164,0.767460,10.636362,13.678986,41.325798,47.487988,69.107315,Dry
-2158.425537,41.493099,-35.413258,8.783184,-0.000000,0.000000,0.000000,0.110055,0.108343,0.004449,0.889945,0.891657,0.004449,0.285050,-0.388599,0.491517,2663.260254,6524.233887,7367.121582,3728.739258,7110.253906,7512.426270,4.327996,2.522565,3.456473,24.221117,13.668723,21.897301,-2.571173,-1.001723,1.472961,1.064471,51.204403,69.167793,2839.609863,8031.792969,9841.104492,0.695364,9.964950,13.167287,55.430775,49.254051,69.932976,Dry
-2111.906006,66.047836,-34.822113,8.368702,-0.000000,0.000000,0.000000,0.065154,0.096634,0.017176,0.934846,0.903366,0.017176,0.449950,-0.295310,0.529054,2041.698853,5917.332031,6857.333008,3319.080078,6659.252930,7129.938965,5.098677,2.824100,3.666779,33.149933,15.878046,23.582874,-2.425925,-1.200029,1.635547,1.169479,44.185169,64.332466,2495.414551,7136.886230,9067.629883,0.633757,8.603148,12.071785,82.875061,54.711563,73.447205,Dry
