avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.642823,-0.644515,0.099280,9582.624023,9173.049805,9178.732422,8936.897461,8987.947266,8989.511719,1.122541,1.212225,1.857733,3.550837,3.761295,4.409736,-0.018903,-0.021504,0.623016,89.532921,82.216660,83.269508,14155.024414,12745.544922,12802.184570,16.779951,16.160908,16.824087,17.842134,18.347183,19.896711,Dry_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.831204,-0.657643,0.101378,9569.857422,9206.410156,9211.954102,9078.488281,8999.642578,9001.138672,1.099866,1.206932,1.865686,3.513507,3.746871,4.408638,-0.018203,-0.021117,0.636529,93.037621,83.342224,84.351837,13509.658203,12761.034180,12818.297852,17.165936,16.279900,16.952261,19.702927,18.336218,19.897947,Dry_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.730935,-0.658125,0.101697,10096.100586,9261.050781,9267.624023,8553.298828,8986.318359,8988.221680,1.050667,1.199596,1.859076,3.711539,3.742847,4.405084,-0.021099,-0.020924,0.637204,76.921463,83.627663,84.602394,14542.244141,12812.664062,12874.153320,16.098202,16.335562,17.005392,15.025401,18.410412,19.953354,Dry_V
nan,nan,-56.973949,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.660002,-0.654024,0.101839,8856.157227,9306.798828,9319.106445,8742.287109,8981.938477,8983.911133,1.163860,1.186421,1.842799,3.685665,3.716712,4.376310,-0.028277,-0.020929,0.633099,63.322304,83.423653,84.441315,12993.366211,12890.107422,12971.840820,13.992559,16.327995,16.997900,15.576103,18.534723,20.037645,Dry_V
nan,nan,-55.623604,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.675418,-0.654834,0.101926,7359.945801,9234.226562,9254.499023,6876.378418,8898.976562,8910.529297,1.573586,1.199140,1.857831,5.254370,3.771141,4.441664,-0.464791,-0.038621,0.622328,4.293380,80.487213,82.980995,11229.366211,12817.826172,12904.055664,3.574751,15.833261,16.692877,10.014827,18.368872,19.932674,Dry_V
nan,nan,-56.820221,3.136862,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.749331,-0.645701,0.117372,4877.882812,8914.298828,8992.515625,5895.982910,8664.026367,8707.186523,2.199377,1.265821,1.928530,8.166341,4.058170,4.817459,-2.489497,-0.316779,1.038117,0.967427,74.306267,79.934395,4732.683105,12184.505859,12400.487305,1.499745,14.636075,15.984280,22.785240,18.842373,20.335747,Dry_V
nan,nan,-56.239952,2.788546,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.531683,-0.636288,0.116701,5134.732910,8751.696289,8861.949219,6726.118652,8577.118164,8628.840820,1.930240,1.293154,1.950629,6.468028,4.159992,4.930212,-0.403994,-0.332036,1.028920,5.692466,71.442093,78.401260,2968.682861,11750.820312,12103.483398,3.602504,14.146592,15.654717,41.116837,19.836773,21.713903,Dry_V
nan,nan,-59.042969,0.691597,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.093226,-0.603900,0.162640,5967.218262,8506.542969,8648.177734,6619.139648,8412.975586,8479.425781,1.764814,1.325592,1.953463,6.482231,4.315681,5.075630,-0.132045,-0.342708,1.014425,16.537392,66.150719,75.065086,7658.341309,11315.414062,11712.750977,5.978294,13.313981,14.997001,21.576326,20.751881,22.459715,Dry_V
nan,nan,-59.660706,0.193019,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.243754,-0.587494,0.176835,5892.823730,8393.630859,8552.256836,6888.622070,8332.896484,8404.565430,2.029513,1.353754,1.969910,7.399618,4.448771,5.223414,-0.100219,-0.345809,1.008709,21.891623,63.833012,73.444427,6754.829102,11160.526367,11597.231445,6.936421,12.963924,14.701107,18.613680,20.615713,22.316936,Dry_V
nan,nan,-59.683884,0.218183,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.244471,-0.573384,0.189141,5786.789551,8251.094727,8425.148438,7009.022949,8245.131836,8319.466797,2.176356,1.393957,2.001662,7.868894,4.620516,5.413368,-0.076488,-0.348044,1.004254,28.879496,61.644741,71.719254,5162.926758,10869.681641,11374.406250,7.860073,12.624940,14.392705,24.670200,20.705263,22.400181,Dry_V
