avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.561403,-0.720330,0.103330,9551.691406,9768.353516,9781.702148,9191.108398,8983.622070,8985.595703,1.143742,1.092129,1.816011,3.598217,3.538432,4.266357,-0.022047,-0.026970,0.693362,76.978348,62.239304,63.275463,13767.804688,14359.820312,14417.820312,16.683290,15.244709,15.971841,16.446342,14.176267,15.632996,Free
nan,nan,-57.813194,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630957,-0.709448,0.101873,9988.710938,9721.129883,9733.474609,9288.596680,9003.054688,9005.249023,1.019488,1.100785,1.813734,3.257755,3.548997,4.266109,-0.022130,-0.026503,0.682949,74.022118,63.732929,64.829247,14499.219727,14247.957031,14305.597656,16.662844,15.371337,16.091080,18.048706,14.394751,15.841620,Free
nan,nan,-55.358765,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.829745,-0.711367,0.103686,10603.955078,9760.709961,9774.657227,9022.488281,9001.282227,9003.460938,0.930429,1.092205,1.807577,3.174681,3.531761,4.251962,-0.021711,-0.025975,0.685396,71.573921,64.837898,65.923027,15359.707031,14260.002930,14318.464844,16.419718,15.473566,16.196276,15.243798,14.700414,16.213326,Free
nan,nan,-55.358765,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.829745,-0.711367,0.103686,10603.955078,9760.709961,9774.657227,9022.488281,9001.282227,9003.460938,0.930429,1.092205,1.807577,3.174681,3.531761,4.251962,-0.021711,-0.025975,0.685396,71.573921,64.837898,65.923027,15359.707031,14260.002930,14318.464844,16.419718,15.473566,16.196276,15.243798,14.700414,16.213326,Free
nan,nan,-56.644348,3.035034,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.317204,-0.681918,0.128309,5779.129883,9470.644531,9530.878906,6274.729980,8789.278320,8817.426758,1.963856,1.157294,1.853869,6.807915,3.763289,4.513631,-4.203915,-0.226751,0.945341,0.566347,60.259598,63.719864,7056.000000,13657.662109,13835.706055,1.387698,14.429660,15.555573,12.018535,14.445200,15.962351,Free
nan,nan,-55.947536,2.960476,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.592393,-0.675766,0.128766,4262.043457,9252.969727,9370.016602,5501.860352,8647.913086,8700.091797,2.537795,1.214826,1.923865,10.070152,4.026367,4.923616,-1.359597,-0.279986,0.943433,1.794831,57.997559,62.612888,3355.902344,13203.324219,13535.729492,1.783379,13.909519,15.246906,27.916161,15.004847,16.696802,Free
nan,nan,-58.113533,1.377424,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.343047,-0.643200,0.142179,5825.167480,8885.974609,9064.609375,6743.003906,8467.110352,8534.969727,1.935241,1.294228,1.980766,6.902979,4.321787,5.233939,-0.134192,-0.293547,0.922660,16.422674,54.416641,60.516315,6926.926758,12428.886719,12960.300781,6.055676,13.124345,14.654368,25.798834,16.517401,18.640627,Free
nan,nan,-59.092754,0.286086,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.126026,-0.621933,0.174508,5586.362305,8695.816406,8895.951172,6708.474121,8382.907227,8458.028320,2.155803,1.341572,2.012078,8.018877,4.506162,5.433216,-0.098192,-0.296360,0.913092,22.768553,53.045998,59.571774,6238.536621,12067.482422,12656.769531,6.855676,12.799224,14.375694,19.197594,16.764978,18.842106,Free
nan,nan,-59.118328,0.270714,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.075947,-0.574889,0.214300,6316.327637,8361.338867,8588.847656,7401.041992,8238.772461,8320.695312,1.986751,1.430463,2.060783,6.811703,4.842136,5.758145,-0.058299,-0.299604,0.895497,36.669811,51.104599,58.053967,6840.877930,11391.137695,12053.146484,9.348890,12.280460,13.885475,21.562506,17.445671,19.352505,Free
nan,nan,-59.118561,0.270586,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.338460,-0.558338,0.215936,6499.362305,8212.019531,8442.126953,7736.795410,8191.258789,8272.967773,1.887870,1.465459,2.078778,6.187644,4.952764,5.844983,-0.052266,-0.300620,0.889956,40.398746,50.331524,57.361004,6754.829102,11053.827148,11742.067383,9.733934,12.060260,13.661487,21.482925,17.738518,19.613480,Free
