avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.706890,-0.630374,0.093473,9298.250977,9198.999023,9213.186523,9102.749023,9130.082031,9132.593750,1.175681,1.235049,1.867874,3.638427,3.784962,4.423901,-0.017703,-0.020499,0.609883,97.784523,86.498688,87.649529,13294.536133,12253.344727,12366.964844,17.557552,16.731565,17.394987,15.681155,15.429892,16.613426,Free_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.789514,-0.642848,0.093069,9856.695312,9263.759766,9276.579102,9265.096680,9151.482422,9153.666992,1.109374,1.224663,1.869907,3.454545,3.753968,4.404906,-0.016083,-0.020012,0.622841,102.942734,87.958961,89.072052,13896.877930,12461.583984,12555.714844,18.729479,16.918682,17.589577,12.685391,14.644946,15.494494,Free_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.856080,-0.653345,0.102947,9819.237305,9337.536133,9351.155273,8951.667969,9153.702148,9155.903320,1.058590,1.207555,1.863546,3.362690,3.715799,4.377660,-0.017498,-0.019425,0.633925,94.879372,89.900208,90.931976,14929.463867,12714.567383,12817.272461,17.350758,17.108864,17.786169,11.104098,14.387890,15.259650,Free_V
nan,nan,-58.299866,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.865328,-0.668823,0.104554,9537.827148,9385.745117,9397.125977,9033.457031,9162.240234,9164.241211,1.128269,1.196720,1.867825,3.575951,3.687090,4.362920,-0.018862,-0.019153,0.649674,90.043648,90.601562,91.577141,13853.853516,12895.269531,12979.740234,16.971933,17.182453,17.870611,14.221383,14.178800,15.033397,Free_V
nan,nan,-55.556458,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.752001,-0.625622,0.297455,6546.345215,9226.072266,9257.847656,6454.935547,8973.328125,8999.698242,1.905972,1.235092,1.869368,7.193456,3.881208,4.575324,-3.039921,-0.142174,0.764027,0.714620,85.213516,88.800240,8174.634277,12714.567383,12833.490234,2.512357,16.285059,17.254984,10.118063,13.894126,14.745842,Free_V
nan,nan,-54.548840,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.954882,-0.566281,0.429536,6029.441406,9129.893555,9182.345703,7144.530762,8899.175781,8932.881836,2.414484,1.276648,1.865956,9.695428,4.102014,4.869809,-3.951893,-0.299236,0.988268,0.579686,82.318352,87.516365,7099.024414,12568.285156,12731.257812,2.768541,15.778347,16.909538,13.401415,13.833263,14.626254,Free_V
nan,nan,-54.856323,3.509346,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.606728,-0.450448,0.600031,5073.667480,8871.916992,8977.508789,6964.472656,8807.823242,8849.516602,2.279461,1.353486,1.847171,8.797404,4.443118,5.209595,-0.217615,-0.322284,0.956951,10.601341,76.228592,84.107437,3355.902344,12017.574219,12430.523438,5.737799,14.947524,16.211731,31.592806,14.912581,16.246489,Free_V
nan,nan,-56.636059,1.912037,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.109769,-0.430784,0.602812,5541.421387,8728.249023,8859.285156,6493.061035,8702.075195,8755.609375,1.926066,1.379102,1.856292,7.039810,4.567031,5.330606,-0.132661,-0.326785,0.952844,16.906069,73.423920,82.323410,6238.536621,11771.473633,12244.692383,5.675392,14.502234,15.868832,25.865665,15.395039,16.819611,Free_V
nan,nan,-58.107105,1.392787,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.189066,-0.410865,0.602242,5387.392090,8554.101562,8709.297852,6533.921875,8585.937500,8649.009766,2.205339,1.422394,1.885148,8.448544,4.768711,5.547369,-0.104949,-0.330237,0.949608,21.565012,70.697189,80.426872,6023.414551,11454.815430,11983.748047,6.451271,14.060398,15.500999,28.732071,15.940051,17.510275,Free_V
nan,nan,-56.363262,2.651108,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.011542,-0.359401,0.600269,6006.681152,8255.291016,8442.163086,7183.870605,8421.000000,8493.606445,2.204071,1.508736,1.929364,7.827744,5.126622,5.889809,-0.060809,-0.334200,0.945311,35.837566,66.324364,77.050819,6969.951172,10859.356445,11454.723633,8.784197,13.359201,14.854931,17.086452,16.351305,17.807198,Free_V
