avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1496.769653,0.000000,-51.391796,5.365585,nan,0.032190,0.000000,nan,0.092896,0.000000,nan,0.874914,0.000000,-0.741546,-0.666009,0.094310,9908.811523,9180.780273,9203.933594,9185.172852,9069.235352,9071.122070,1.091706,1.199685,1.868740,3.454815,3.733801,4.410186,-0.025994,-0.034104,0.631944,63.428318,52.537025,53.617363,14671.317383,12213.762695,12526.611328,15.841121,14.194110,14.906709,12.786888,22.813452,28.339472,GRainy
nan,nan,-54.778275,3.930968,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.659992,-0.676859,0.094047,9642.339844,9365.834961,9375.949219,8984.721680,9090.839844,9092.355469,1.159350,1.170791,1.848949,3.685878,3.655311,4.335930,-0.025942,-0.031898,0.644975,64.943069,54.728004,55.700169,14413.170898,12983.040039,13077.736328,15.528698,14.541394,15.239659,12.290896,18.712835,20.593983,GRainy
nan,nan,-55.709400,2.769639,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.752747,-0.683200,0.093605,9584.395508,9396.542969,9406.043945,8852.462891,9086.686523,9088.292969,1.088292,1.164610,1.849115,3.537169,3.640931,4.327670,-0.027175,-0.031366,0.651845,62.262058,55.442612,56.395111,14413.170898,13118.999023,13209.260742,15.104141,14.617018,15.319434,13.120590,18.138117,20.005848,GRainy
nan,nan,-56.211266,2.115834,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.713815,-0.689364,0.090286,9473.553711,9428.724609,9437.038086,9131.664062,9095.106445,9096.658203,1.137759,1.158171,1.848643,3.583160,3.623466,4.315693,-0.026237,-0.030913,0.658461,65.072960,56.110371,57.076958,13251.511719,13217.094727,13298.276367,15.678675,14.714319,15.421487,14.198129,17.463232,19.208969,GRainy
nan,nan,-56.027706,3.557992,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.602456,-0.690938,0.088581,6994.044434,9340.922852,9361.493164,6749.086914,8996.547852,9009.798828,1.553920,1.172782,1.866424,4.982688,3.674481,4.376379,-1.101236,-0.073239,0.652378,1.864631,54.731583,56.712158,8045.561035,13160.300781,13267.088867,2.473063,14.282848,15.182967,10.885740,16.063265,17.470867,GRainy
nan,nan,-54.784542,3.434999,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.491010,-0.691325,0.087680,5812.006836,9214.180664,9260.807617,6297.705566,8880.776367,8909.715820,1.851331,1.197602,1.896260,6.199468,3.774760,4.504074,-4.926419,-0.268805,1.061322,0.496338,52.844723,55.882236,6840.877930,12962.388672,13127.389648,1.268058,13.791950,14.919313,12.420841,15.941393,17.368847,GRainy
nan,nan,-54.774284,3.133107,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.543477,-0.687264,0.091979,5312.501953,8857.741211,8988.147461,6958.254883,8660.621094,8721.996094,1.943457,1.279455,1.994640,6.392824,4.121887,5.006131,-0.281170,-0.336893,1.059015,8.089785,49.317039,54.115494,3355.902344,12196.554688,12644.690430,4.304826,12.913225,14.367299,32.445114,16.980368,18.812489,GRainy
nan,nan,-55.290768,1.917692,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.109892,-0.661298,0.144617,4028.037354,8640.363281,8823.462891,5489.881836,8513.521484,8597.470703,2.817944,1.347233,2.057647,11.782181,4.452503,5.505235,-0.323489,-0.348551,1.045331,7.569979,47.485260,53.026863,3097.756104,11783.519531,12371.868164,3.287350,12.468047,14.044338,23.851782,17.240511,19.080221,GRainy
nan,nan,-56.752464,1.514238,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.114653,-0.585390,0.255475,4289.164062,8185.902344,8472.987305,6254.715332,8235.235352,8357.928711,2.712195,1.497112,2.178941,10.871836,5.243997,6.672444,-0.142532,-0.364718,1.018368,16.941010,44.280361,50.931225,2968.682861,10948.846680,11806.535156,5.313525,11.650020,13.389013,28.785074,18.670856,20.672138,GRainy
nan,nan,-56.448578,1.419255,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.017645,-0.556905,0.280225,5419.279297,8006.032715,8308.579102,7165.976562,8164.263672,8289.230469,2.198266,1.539569,2.195186,7.824025,5.413136,6.805152,-0.089034,-0.367083,1.011415,25.387964,43.092964,49.945705,3915.219482,10515.161133,11458.409180,7.523762,11.356763,13.102672,26.344011,19.172029,21.140615,GRainy
nan,nan,-56.449738,1.420517,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.176995,-0.538873,0.289436,6248.990234,7893.879883,8204.629883,7596.235840,8105.306152,8229.724609,1.927733,1.568521,2.205772,6.526242,5.525709,6.882512,-0.064874,-0.368308,1.007592,33.111309,42.356091,49.293335,6324.585449,10303.481445,11291.446289,9.218472,11.170529,12.913145,20.750633,18.966621,20.890512,GRainy
