avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-52.777245,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.190543,-0.431747,0.226019,6344.225586,7717.359863,7813.764648,6643.712402,7773.597656,7809.669434,2.295438,1.726437,2.192750,8.507255,5.822786,6.463794,-0.104156,-0.062282,0.370273,20.470440,35.133018,36.992641,4990.829102,8441.386719,9127.490234,6.892922,10.280626,10.999523,18.609797,20.766939,22.312588,Grainy_V
nan,nan,-54.113304,3.704792,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.184750,-0.396150,0.189003,6140.601562,7546.672363,7630.834961,6378.863770,7671.649902,7709.076172,2.409732,1.782108,2.211492,9.130527,6.051629,6.662403,-0.119696,-0.065823,0.331352,18.043051,33.827057,35.708885,4861.755859,8023.188965,8652.835938,6.335462,9.939903,10.617842,27.223967,21.397900,22.830795,Grainy_V
nan,nan,-53.893814,3.892601,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.293869,-0.348114,0.136406,6612.295410,7235.714355,7280.399414,6826.123535,7507.803223,7541.482422,2.199548,1.877481,2.250106,7.779282,6.413219,6.941926,-0.102135,-0.071677,0.277627,20.522379,31.288136,32.949024,5593.170898,7236.703125,7653.655762,6.982199,9.298068,9.863970,19.197847,22.581690,23.739773,Grainy_V
nan,nan,-53.679432,3.623137,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.317522,-0.338456,0.129507,6350.745117,7145.451660,7187.062500,6544.307617,7426.023926,7458.965332,2.402044,1.916875,2.279737,8.974219,6.595456,7.115039,-0.116884,-0.074850,0.264899,18.238441,30.073032,31.669695,4904.780273,7007.812500,7417.754883,6.518179,9.040164,9.587080,21.650362,22.929365,23.987535,Grainy_V
nan,nan,-53.315559,3.291017,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.424478,-0.329529,0.119278,7092.878906,7046.988770,7082.593750,6800.151855,7308.051758,7339.779785,1.640600,1.947958,2.299609,5.404588,6.747109,7.242800,-2.039166,-0.156985,0.421972,1.011854,27.756506,29.883953,8346.731445,6799.573730,7148.584961,2.255605,8.510456,9.134154,10.023204,22.728201,23.889891,Grainy_V
nan,nan,-53.139915,3.156609,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.677353,-0.337971,0.135081,5996.880371,6958.591309,6993.397949,6466.597656,7235.003906,7265.970703,1.888915,1.963672,2.321753,6.449138,6.818222,7.308665,-4.995991,-0.354942,1.022519,0.485569,26.178652,28.786900,7572.292480,6727.292969,7062.368652,1.470577,8.116829,8.847866,13.099941,22.224697,23.478638,Grainy_V
nan,nan,-52.896351,2.860069,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.440736,-0.353778,0.150972,5213.979004,6760.827637,6821.370117,6775.436523,7117.310547,7150.496094,2.077689,2.003082,2.377471,7.058844,7.012247,7.519458,-0.347931,-0.406274,1.028419,6.578773,23.742800,27.062372,4173.365723,6565.521973,6953.378906,4.006227,7.580031,8.440363,27.961164,21.902874,23.042988,Grainy_V
nan,nan,-52.793739,2.776172,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.270520,-0.350323,0.151847,5977.415527,6693.028809,6753.188477,6649.190430,7063.978027,7095.714355,2.009419,2.018405,2.388000,7.089406,7.084840,7.578904,-0.199300,-0.412136,1.027322,10.952351,22.700706,26.105543,6367.609863,6451.937012,6824.975586,5.285984,7.369932,8.228791,27.490076,22.144814,23.298790,Grainy_V
nan,nan,-52.794220,2.500965,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.239205,-0.342171,0.152123,6096.133301,6633.433594,6692.535156,6606.122559,7002.941406,7032.028809,1.993013,2.031955,2.392213,7.176623,7.162659,7.637895,-0.174745,-0.417215,1.026703,12.398173,21.552593,24.878000,6496.683105,6374.493164,6739.729004,5.657332,7.162073,8.000811,22.728338,22.082747,23.227283,Grainy_V
nan,nan,-52.907288,2.129150,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.088264,-0.312054,0.157306,5676.894043,6423.572266,6471.566895,6277.271973,6828.312988,6850.079590,2.471131,2.113356,2.441156,9.632630,7.587476,8.024897,-0.145033,-0.426608,1.027448,15.331522,19.307529,22.151924,5765.268066,6019.973145,6333.124512,5.597026,6.634003,7.359260,25.586330,22.977436,24.045786,Grainy_V
