avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1393.963989,78.114410,-36.824333,10.892534,nan,0.018708,0.020677,nan,0.056034,0.022701,nan,0.925258,0.028103,-0.804868,-0.292613,0.375577,10009.792969,5667.929199,6452.279785,8958.812500,7011.118164,7348.118164,1.087589,2.809474,3.730129,3.544420,16.332939,25.555187,-0.032192,-0.316626,0.453209,50.800163,25.717999,30.676195,14843.415039,4842.823730,6855.761719,14.561946,7.874729,9.440228,13.342367,123.890381,158.657852,Harsh
-1393.236694,85.313812,-38.549694,11.890882,nan,0.018701,0.021084,nan,0.056163,0.024652,nan,0.925136,0.027966,-0.787634,-0.384949,0.334090,9421.325195,6308.725098,6954.120605,9026.309570,7472.363770,7717.868164,1.202253,2.400733,3.321231,3.721933,12.555216,20.807678,-0.033139,-0.200891,0.348744,51.725117,29.488064,33.791199,12692.195312,5820.339844,7737.736328,14.318185,8.914433,10.328485,16.797073,105.536263,142.833923,Harsh
-1402.003784,86.582230,-38.960659,11.923064,nan,0.021039,0.021234,nan,0.057690,0.025743,nan,0.921271,0.027303,-0.769269,-0.433403,0.296339,9140.841797,6628.238281,7186.773438,9069.115234,7705.647461,7901.724609,1.159479,2.180889,3.064998,3.617953,10.546659,17.806841,-0.034616,-0.162415,0.368081,50.618191,31.397469,35.334873,12993.366211,6321.144531,8161.966309,13.759563,9.423781,10.749585,15.625477,95.016716,131.557663,Harsh
-1413.603760,86.550110,-39.495007,11.926402,nan,0.024044,0.021049,nan,0.057877,0.027515,nan,0.918079,0.027757,-0.649206,-0.469434,0.263844,8811.363281,6938.244141,7396.690918,8840.764648,7933.151367,8072.588379,1.252125,1.952075,2.736271,3.924011,8.358727,13.378145,-0.036077,-0.124329,0.391224,49.809242,33.272999,36.762836,12692.195312,6809.901855,8547.123047,13.506309,9.925610,11.135361,14.928085,84.912521,120.211311,Harsh
-1423.135498,100.055710,-41.032486,11.651192,nan,0.024551,0.020294,nan,0.062107,0.031312,nan,0.913342,0.025645,-0.333618,-0.530633,0.183566,6733.741699,7443.241211,7699.296387,6751.601074,8210.487305,8262.344727,1.727626,1.618752,2.229913,5.819042,5.562543,6.842172,-2.557644,-0.173246,0.606725,0.835094,34.033470,37.191715,7529.268066,7613.597656,9088.736328,1.942035,10.285498,11.380100,9.827891,63.341934,90.430092,Harsh
-1457.226929,81.870499,-43.195522,11.759413,nan,0.020700,0.020992,nan,0.072707,0.025764,nan,0.906592,0.024378,-0.631551,-0.550903,0.164637,5519.090332,7573.133301,7764.764648,6241.353516,8244.629883,8286.360352,2.043787,1.550175,2.141640,7.316986,5.127040,5.955518,-3.694084,-0.309132,0.880692,0.647200,33.697044,37.161671,6883.902344,7870.022461,9191.967773,1.490408,10.228274,11.385521,15.696849,54.422298,76.820221,Harsh
-1521.961182,70.403687,-47.451015,10.830785,nan,0.000000,0.000000,nan,0.086310,0.029020,nan,0.913690,0.029020,-0.427286,-0.575873,0.128427,6330.807129,7703.877930,7845.704590,7457.555176,8255.792969,8297.219727,1.622514,1.503312,2.105657,5.192663,4.893993,5.638806,-0.187845,-0.325053,0.883880,11.369660,33.161514,37.027973,6195.512207,8188.403320,9289.599609,5.887921,10.194182,11.400296,21.719742,41.953793,55.841663,Harsh
-1592.364868,0.000000,-49.726254,10.114765,nan,0.000000,0.000000,nan,0.115330,0.000000,nan,0.884670,0.000000,-0.467350,-0.579349,0.124198,6981.630859,7807.918945,7920.694336,7499.313965,8266.815430,8306.997070,1.555191,1.472293,2.071661,5.148344,4.766037,5.473486,-0.114233,-0.324397,0.885212,17.929493,33.143707,37.022133,8690.926758,8518.831055,9450.450195,7.318480,10.250433,11.439014,20.962107,36.335541,45.688263,Harsh
nan,nan,-52.143574,8.173650,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.352655,-0.563952,0.147390,6431.084473,7823.960449,7933.478516,7734.168945,8224.933594,8267.558594,1.871425,1.480711,2.065973,6.145159,4.808598,5.507896,-0.079529,-0.324765,0.880703,26.684797,33.024677,36.930183,6668.780273,8990.377930,9651.708008,8.728975,10.243464,11.419483,19.443371,29.906372,35.762417,Harsh
nan,nan,-53.582336,6.933319,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.304922,-0.560403,0.152430,6947.993164,7829.141113,7937.968262,7960.165527,8216.804688,8259.625000,1.741399,1.487153,2.069388,5.591987,4.828444,5.525681,-0.067996,-0.324794,0.879729,30.162666,33.000404,36.906551,7185.073242,9143.543945,9734.995117,9.484814,10.241269,11.414188,15.911843,27.639616,32.796371,Harsh
nan,nan,-54.965034,5.643624,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.402829,-0.554977,0.155497,7082.686035,7790.133789,7900.671387,8011.570312,8187.638672,8229.987305,1.747492,1.500910,2.078171,5.570800,4.876437,5.568223,-0.059708,-0.325130,0.878101,34.038563,32.880726,36.784389,6840.877930,9129.775391,9725.064453,10.107473,10.176606,11.343855,22.756115,26.493715,31.449080,Harsh
nan,nan,-57.428013,2.940130,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.637628,-0.556979,0.155997,8968.357422,7856.228516,7969.111328,8847.798828,8189.869141,8232.374023,1.266774,1.495830,2.075459,3.908010,4.857074,5.553522,-0.036121,-0.323947,0.879313,49.207584,33.734940,37.745544,13294.536133,9589.276367,10124.720703,13.628697,10.336449,11.522603,10.820547,22.974791,26.935104,Harsh
nan,nan,-58.346172,1.770626,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.643996,-0.562601,0.156498,9343.536133,7924.122070,8041.168457,9020.458984,8205.785156,8249.417969,1.197769,1.485316,2.071440,3.703534,4.822552,5.529753,-0.032134,-0.323004,0.881375,53.720314,34.478893,38.626965,13208.488281,9900.773438,10407.376953,14.455099,10.478913,11.690357,11.568076,21.029621,24.165680,Harsh
nan,nan,-59.185818,0.477940,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.762769,-0.571601,0.162448,9183.339844,8035.568848,8159.094238,8830.190430,8227.667969,8272.306641,1.230220,1.468418,2.064692,3.868527,4.768359,5.491171,-0.032934,-0.321390,0.884830,53.029972,35.856232,40.241417,13337.560547,10439.438477,10935.162109,14.022356,10.707932,11.955317,13.501783,18.221176,20.316374,Harsh
nan,nan,-58.966167,0.841773,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.569640,-0.571562,0.162448,9408.670898,8083.305176,8210.492188,8752.046875,8236.980469,8282.023438,1.224725,1.460428,2.057302,3.891237,4.741925,5.468009,-0.031876,-0.320783,0.885184,53.852604,36.411518,40.891346,14068.975586,10639.071289,11144.458008,14.327818,10.805382,12.066282,12.071065,17.399879,19.368113,Harsh
nan,nan,-58.615837,1.507968,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.786651,-0.507854,0.313479,2545.666016,7726.301270,7942.870605,3003.868652,7937.883789,8048.925293,4.308561,1.613981,2.219632,32.708313,6.027802,8.622758,-1.392693,-0.376577,0.881323,1.923541,34.066280,39.280403,3441.951172,10114.172852,10798.534180,0.927021,10.142239,11.542288,31.165558,17.658314,19.654621,Harsh
nan,nan,-58.558235,1.620297,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.606542,-0.462403,0.381916,2098.108154,7442.345703,7738.276367,2867.627441,7696.947266,7870.906738,5.483144,1.784720,2.457119,46.723743,7.744895,12.731680,-1.263485,-0.425594,0.886188,2.167682,32.319927,38.136318,2065.170654,9654.672852,10460.908203,0.917321,9.642486,11.164025,42.885014,18.595663,21.070183,Harsh
nan,nan,-58.497822,1.738506,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.365138,-0.424449,0.413791,2734.008789,7186.486816,7539.529785,5021.447754,7550.228516,7742.017578,3.853451,1.889737,2.547760,19.870140,8.382334,13.311237,-0.269666,-0.434850,0.882592,9.744572,30.875317,37.018093,1720.975586,9160.752930,10081.194336,3.099290,9.233982,10.808287,60.009041,20.450966,24.097687,Harsh
nan,nan,-58.907581,0.949739,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.110905,-0.370048,0.410081,5818.856934,6821.275391,7181.600586,7680.607910,7418.668945,7604.581055,2.011737,1.981778,2.576405,6.575817,8.747192,13.458158,-0.077214,-0.440005,0.883163,28.584902,28.928154,34.993916,3915.219482,8288.218750,9333.586914,8.198783,8.685285,10.193085,22.654650,22.856384,27.444719,Harsh
nan,nan,-59.014721,0.754378,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.082324,-0.341836,0.404607,5572.827148,6667.334961,7019.023926,7228.121094,7346.741211,7527.286133,2.130195,2.018897,2.579734,7.436264,8.895765,13.504362,-0.094850,-0.442473,0.885070,23.596737,27.803020,33.725437,3915.219482,7937.139160,9015.798828,7.343908,8.406314,9.856724,29.877201,23.379589,27.868994,Harsh
nan,nan,-58.676788,1.389630,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.451102,-0.307810,0.392386,6944.625488,6487.650391,6815.093262,8412.787109,7291.072266,7463.381836,1.647484,2.058363,2.575756,5.109976,9.020033,13.525859,-0.051850,-0.444218,0.889069,39.625961,26.723213,32.274185,5722.244141,7329.634766,8385.045898,10.781673,8.130848,9.479225,25.056519,24.193714,28.438200,Harsh
nan,nan,-58.458874,1.814896,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.495399,-0.296183,0.382216,7811.757812,6460.079590,6782.003418,8650.529297,7324.083008,7499.718262,1.463657,2.059395,2.565782,4.494039,9.012019,13.514944,-0.041311,-0.443099,0.891230,46.858624,27.535521,33.182926,8260.682617,7119.675781,8107.887207,12.211529,8.226440,9.582403,25.086750,24.774588,28.796087,Harsh
nan,nan,-58.454365,1.823754,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.484225,-0.298821,0.381387,7337.263184,6626.251953,6957.548340,7527.109375,7460.041016,7633.744141,1.591605,2.024158,2.541054,4.889438,8.842532,13.442651,-0.123274,-0.199288,0.363832,16.201893,30.248781,35.016651,5550.146484,7243.586914,8278.248047,6.737134,8.933152,10.105325,18.450407,25.158501,28.992971,Harsh
nan,nan,-58.453987,1.824500,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.147381,-0.281776,0.378239,6310.915527,6701.174805,7015.169922,6996.988770,7488.872559,7658.752441,1.743772,1.997724,2.500700,5.428902,8.706485,13.355783,-0.358227,-0.191534,0.355784,5.968433,30.313898,35.011890,4431.512207,7314.146484,8308.435547,3.841233,8.963676,10.101068,20.171701,24.150444,27.804386,Harsh
nan,nan,-58.364182,2.461496,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.045475,-0.266504,0.379761,3619.943604,6501.025391,6860.244141,5588.789062,7414.121094,7594.801270,2.815757,2.045454,2.534045,12.064457,8.981357,13.527477,-0.226121,-0.193065,0.351961,10.430509,30.276331,34.986557,4560.585449,7248.748535,8265.979492,4.145231,8.893969,10.050516,26.541716,24.343325,27.959778,Harsh
nan,nan,-58.015751,2.514186,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.296083,-0.216592,0.405261,3390.737793,6375.303711,6768.643066,4305.595215,7150.907715,7391.296875,3.622678,2.207779,2.671176,20.776028,10.299395,14.806865,-0.459357,-0.223787,0.352145,5.526265,29.083141,34.495804,4388.487793,6966.509277,8046.010742,2.334243,8.463536,9.782556,33.270992,24.865585,28.417046,Harsh
nan,nan,-58.133091,2.178733,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.085151,-0.199080,0.408450,3686.099609,6265.504395,6686.060059,5986.623535,7081.004395,7326.109863,2.938938,2.250480,2.696847,12.544086,10.555351,14.958638,-0.161058,-0.227048,0.352209,15.513343,28.636282,34.203804,2366.341553,6794.412109,7948.776855,4.662597,8.300881,9.651514,56.105446,26.332069,30.298929,Harsh
nan,nan,-58.743294,1.214192,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.358902,-0.190544,0.407226,7021.612793,6219.509766,6641.614746,8379.842773,7087.040527,7333.258789,1.657518,2.256897,2.694220,5.206032,10.581915,14.964387,-0.049031,-0.226696,0.353128,41.750610,29.002300,34.590187,6883.902344,6691.153320,7872.322754,11.092707,8.315517,9.664012,19.134602,26.651011,30.524799,Harsh
nan,nan,-58.662960,0.744344,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.483890,-0.188653,0.405747,7924.118652,6199.636230,6617.112793,8660.234375,7087.978516,7334.362793,1.441570,2.259980,2.694324,4.441361,10.592625,14.966241,-0.044993,-0.226791,0.353288,42.670738,28.971254,34.549747,9379.317383,6682.548340,7861.944336,12.217143,8.302751,9.645732,15.495930,26.572260,30.480095,Harsh
nan,nan,-58.678429,0.437513,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.130878,-0.152286,0.383662,3918.982422,5811.607422,6210.577637,6275.598145,6898.203613,7131.444824,2.852796,2.374047,2.750281,11.469057,11.103870,15.187117,-0.159273,-0.235082,0.357555,15.462845,26.283726,31.693323,1505.853638,5766.989258,6930.333984,4.838270,7.614639,8.878262,53.547359,29.299841,32.976200,Harsh
nan,nan,-58.564190,0.372605,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.113095,-0.129440,0.367991,4112.039062,5601.682617,5978.528320,6397.903809,6801.455566,7027.459473,2.790838,2.436366,2.777773,11.100454,11.393704,15.314837,-0.147324,-0.239722,0.363013,16.539301,24.745344,29.879894,1333.756104,5248.975586,6319.721680,5.192842,7.254878,8.450089,61.792835,31.334431,35.136429,Harsh
nan,nan,-59.023262,0.535426,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.144785,-0.104721,0.344632,6182.288574,5333.128906,5626.254883,7644.376465,6754.022949,6971.614746,2.028995,2.468318,2.774997,6.677231,11.506054,15.335693,-0.086194,-0.241852,0.371011,25.775827,23.655176,28.380259,3183.804932,4842.825684,5764.405762,7.911651,7.010450,8.101052,39.078751,32.357510,35.875088,Harsh
nan,nan,-58.740051,0.247813,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.435362,-0.096949,0.337026,6749.182617,5377.901367,5675.290039,8107.207520,6758.357422,6972.745117,1.682973,2.474031,2.768341,5.324355,11.496895,15.316890,-0.060826,-0.242419,0.373823,34.173275,23.034447,27.291960,4130.341309,4397.092773,5061.618164,9.662332,6.876207,7.866109,47.077831,34.852371,38.069828,Harsh
nan,nan,-58.740051,0.247813,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.408711,-0.144763,0.289756,7650.617676,5582.099609,5855.898438,8689.294922,6985.774414,7160.941895,1.413473,2.358228,2.686205,4.314647,10.361149,13.904696,-0.046074,-0.188554,0.257324,42.475807,24.656540,28.627867,7572.292480,4562.306152,5238.333984,11.767575,7.309828,8.256815,25.157084,34.612034,37.934814,Harsh
nan,nan,-58.740051,0.247813,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.500805,-0.228774,0.241507,8149.225586,6021.742676,6231.340820,8658.388672,7358.792969,7474.619629,1.357062,2.098132,2.426663,4.239732,8.048422,9.616624,-0.040989,-0.130686,0.160556,46.103760,27.743252,31.305838,9680.488281,5118.181641,5784.652344,12.229610,8.105130,8.989453,22.416252,32.444275,35.693562,Harsh
nan,nan,-58.740051,0.247813,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.471877,-0.245313,0.243423,8364.647461,6190.444336,6398.487305,8617.355469,7431.015137,7548.810059,1.346574,2.047141,2.395534,4.256410,7.818468,9.453102,-0.039245,-0.127387,0.174309,47.403385,28.838947,32.486675,9938.633789,5443.446289,6105.978516,12.935258,8.383938,9.300136,20.149681,30.663713,33.514503,Harsh
nan,nan,-58.740051,0.247813,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.611029,-0.286840,0.258306,8777.126953,6444.243164,6681.103027,8862.940430,7538.973145,7663.981934,1.275537,1.982889,2.383075,3.989687,7.576035,9.338973,-0.035859,-0.123329,0.209121,50.245426,30.807747,34.779842,11100.292969,6023.415039,6784.544922,13.507652,8.846903,9.865953,17.011906,30.064869,33.131226,Harsh
