avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1449.696533,26.382605,-51.001186,5.569665,-0.000000,0.008231,0.014257,0.081068,0.079092,0.014729,0.918932,0.912677,0.022591,-0.084720,-0.530276,0.242395,2238.128418,8008.852539,8361.430664,5512.758789,8414.666016,8488.385742,3.677224,1.567724,2.237807,17.193211,5.543581,7.268077,-0.222915,-0.048338,0.485108,12.077379,63.132149,67.680946,430.243896,10423.949219,11555.375000,3.136955,13.324728,14.556135,276.258698,53.412575,98.773354,Harsh_V
-1439.639404,31.006842,-49.961090,5.979546,-0.000000,0.006585,0.013170,0.058394,0.074952,0.015560,0.941606,0.918463,0.023285,-0.173227,-0.509194,0.249508,2413.374268,7734.026367,8166.894043,5686.496582,8283.034180,8373.886719,3.516799,1.659376,2.334040,16.027500,6.029807,7.920861,-0.213512,-0.056027,0.457634,12.497224,60.376469,65.700073,430.243896,9909.377930,11245.591797,3.364569,12.806808,14.162581,261.795776,63.115353,111.760811,Harsh_V
-1389.212158,87.197617,-48.727291,5.679846,-0.000000,0.012103,0.019789,0.030845,0.074730,0.026636,0.969155,0.913167,0.042738,-0.168819,-0.462043,0.241624,3289.477783,7223.064941,7762.437988,6716.402344,8078.392090,8181.762207,2.810323,1.803206,2.441921,10.797226,6.673492,8.518774,-0.140280,-0.066587,0.401302,18.168911,55.624947,62.161926,516.292664,8887.118164,10600.780273,4.854555,11.885987,13.398750,201.589981,79.457863,128.666748,Harsh_V
-1401.982910,88.287239,-48.519978,5.285428,-0.000000,0.010590,0.018939,0.065536,0.073581,0.025100,0.934464,0.915830,0.040594,-0.266732,-0.454982,0.244630,3571.658203,6988.214844,7562.979004,6940.619629,8023.469238,8130.392090,2.670008,1.856312,2.488462,9.938435,6.892279,8.707467,-0.131955,-0.070838,0.390269,19.017193,53.720650,60.815231,602.341492,8348.452148,10221.203125,5.222971,11.497028,13.082544,126.969109,84.090157,131.141464,Harsh_V
-1401.982910,88.287239,-48.663250,4.526377,nan,0.010590,0.018939,nan,0.073581,0.025100,nan,0.915830,0.040594,-0.587386,-0.417779,0.222234,7169.940430,6653.036133,7227.886230,6888.598633,7866.635742,7973.710449,1.627815,1.929927,2.516581,5.493992,7.177013,8.879387,-1.247301,-0.123740,0.379007,1.629764,48.115391,56.363457,8647.902344,7560.246094,9521.570312,2.647860,10.476299,12.157331,9.889986,87.831093,132.912125,Harsh_V
-1401.982910,88.287239,-48.917099,4.285939,nan,0.010590,0.018939,nan,0.073581,0.025100,nan,0.915830,0.040594,-0.570846,-0.412413,0.216788,6032.753418,6500.205566,7057.919434,6472.669434,7757.325195,7865.499512,1.872649,1.961007,2.534937,6.532917,7.299662,8.949282,-5.582218,-0.346247,1.097005,0.445155,44.744530,53.725868,7271.122070,7286.611328,9209.169922,1.326398,9.834106,11.624984,12.263175,87.802734,132.905777,Harsh_V
-1401.982910,88.287239,-49.256348,4.152109,nan,0.010590,0.018939,nan,0.073581,0.025100,nan,0.915830,0.040594,-0.719057,-0.418862,0.223317,4724.624512,6305.482910,6857.567383,6104.727051,7636.201172,7747.287109,2.285458,2.005871,2.578544,8.439120,7.493810,9.093202,-1.739925,-0.415028,1.125954,1.375795,41.482670,51.081806,3484.975586,6897.670410,8849.623047,1.965275,9.234330,11.109421,30.531263,88.322174,133.005600,Harsh_V
-1401.982910,88.287239,-50.169102,4.251486,nan,0.010590,0.018939,nan,0.073581,0.025100,nan,0.915830,0.040594,-0.431235,-0.447716,0.209191,5966.723145,6193.993652,6754.291992,7272.832031,7612.759766,7724.886230,1.781834,2.013694,2.612698,5.804920,7.494038,9.118564,-0.204081,-0.433792,1.122064,10.706552,39.093525,49.971973,4732.683105,6579.290039,8636.702148,5.453656,8.866283,10.880890,25.430431,89.208427,133.192719,Harsh_V
-1401.982910,88.287239,-50.898125,4.732798,nan,0.010590,0.018939,nan,0.073581,0.025100,nan,0.915830,0.040594,-0.283481,-0.437475,0.210709,5609.325195,6081.700195,6636.656250,7033.306641,7535.123047,7644.009766,1.935954,2.037452,2.621936,6.725827,7.600529,9.177570,-0.153572,-0.438942,1.120384,14.542570,36.691517,47.751263,4560.585449,6384.819824,8477.797852,6.019367,8.515836,10.516996,29.820580,89.486160,133.241669,Harsh_V
-1401.982910,88.287239,-50.605347,4.746909,nan,0.010590,0.018939,nan,0.073581,0.025100,nan,0.915830,0.040594,-0.433315,-0.415618,0.206871,6755.619141,5855.550781,6367.200195,7652.007812,7398.053711,7496.384766,1.751627,2.090045,2.641068,5.778751,7.822106,9.294206,-0.076471,-0.444654,1.118813,27.158333,32.331627,42.828770,7271.122070,5968.343262,7989.327148,8.757025,7.857370,9.694384,21.034414,89.844910,133.278198,Harsh_V
