avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1895.115479,65.937119,-44.225433,7.128599,-0.000000,0.004898,0.013853,0.048594,0.053624,0.011936,0.951406,0.941479,0.017589,0.260744,-0.340934,0.477457,2018.727417,6761.770020,7719.382324,4574.976074,7311.568848,7649.070312,4.295268,2.441066,3.304543,23.476624,12.756702,18.571981,-0.447566,-0.170364,0.290140,6.093782,70.410728,85.357224,1419.804932,9210.662109,11298.590820,2.113408,12.191678,14.671819,140.467773,60.857315,86.639328,Heavy
-1862.930420,92.733696,-43.488750,6.817397,-0.000000,0.004007,0.012672,0.024771,0.055301,0.019821,0.975229,0.940692,0.022794,0.085540,-0.268154,0.479444,2135.600830,6160.521973,7227.924805,5094.597656,7008.116211,7359.856934,3.880202,2.647772,3.411367,19.103432,13.887101,19.183218,-0.350808,-0.195574,0.244566,7.722699,61.516590,78.312195,602.341492,8097.190430,10490.951172,2.483861,10.864498,13.549385,188.911255,73.532623,99.337715,Heavy
-1845.020142,106.824356,-43.268391,6.576009,-0.000000,0.003673,0.012183,0.065235,0.056129,0.019175,0.934765,0.940198,0.021885,0.009006,-0.235841,0.469714,1887.611328,5862.793945,6993.019043,4809.136230,6833.316895,7191.788574,4.148548,2.765477,3.483647,21.775955,14.610756,19.643017,-0.434259,-0.212354,0.236191,6.323874,57.095459,74.713753,387.219513,7567.129883,10130.384766,2.181284,10.217754,13.010917,221.478622,81.704826,108.707771,Heavy
-1819.828491,116.574883,-43.203999,6.022844,-0.000000,0.003149,0.011352,0.113997,0.062175,0.023854,0.886003,0.934676,0.025059,-0.059226,-0.182092,0.453012,2722.985596,5280.449219,6472.232910,5910.097656,6546.299316,6896.570801,3.195671,2.959275,3.580173,13.681698,15.665808,20.177868,-0.230380,-0.234491,0.234942,11.402039,49.057755,67.904541,387.219513,6457.100586,9289.417969,3.551848,8.994657,11.898939,236.909042,99.661934,127.570732,Heavy
-1814.597534,114.310226,-43.375736,5.768394,0.041792,0.005725,0.014601,0.020937,0.059426,0.025237,0.937271,0.934849,0.024218,-0.525208,-0.173662,0.444508,3460.310547,4999.224609,6161.670410,6520.290527,6449.500488,6787.192871,2.698316,3.028244,3.611368,10.515715,15.951005,20.271729,-0.189456,-0.241458,0.234859,13.336667,45.481972,64.760483,387.219513,5861.643066,8773.117188,4.482801,8.437734,11.335319,166.741257,105.902588,131.841888,Heavy
-1817.945312,111.437271,-44.075924,5.602551,nan,0.005367,0.014205,nan,0.080037,0.083480,nan,0.914596,0.081868,-0.419144,-0.159611,0.430763,5638.885254,4686.141113,5734.009277,6834.996582,6363.983887,6686.847656,1.637569,3.055808,3.610026,5.351727,16.035189,20.279072,-2.419799,-0.337637,0.510653,0.879804,41.351231,61.298248,8002.536621,5569.077637,8375.256836,1.976533,7.808536,10.754641,10.460448,105.751091,131.816193,Heavy
-1817.945312,111.437271,-44.535728,5.718039,nan,0.005367,0.014205,nan,0.080037,0.083480,nan,0.914596,0.081868,-0.636966,-0.162203,0.432799,4343.000000,4469.465820,5461.049805,6078.110840,6143.678711,6431.648438,2.422787,3.141852,3.655708,9.039279,16.377382,20.382607,-0.953086,-0.583429,1.143218,2.537723,32.531235,52.486561,3054.731689,4761.939453,7374.424805,2.375337,6.468200,9.373597,36.737572,106.821213,132.011093,Heavy
-1817.945312,111.437271,-45.043434,5.938146,nan,0.005367,0.014205,nan,0.080037,0.083480,nan,0.914596,0.081868,-0.598937,-0.158703,0.428882,6401.302246,4362.116211,5306.651367,7503.355469,6083.662598,6354.159668,1.527160,3.153322,3.657386,4.688553,16.409105,20.386694,-0.263599,-0.593351,1.144346,8.068948,28.326122,47.363911,5937.365723,4474.536133,6993.152344,4.958445,5.931759,8.667965,24.817575,107.178856,132.063812,Heavy
-1817.945312,111.437271,-46.430519,6.979797,nan,0.005367,0.014205,nan,0.080037,0.083480,nan,0.914596,0.081868,-0.341067,-0.139407,0.412259,6268.300293,4110.248047,4905.461426,7056.036621,5956.729492,6191.434570,1.755020,3.189498,3.655152,6.151426,16.543238,20.402969,-0.126847,-0.603564,1.151295,16.913927,21.177326,37.263645,7572.292480,3898.009033,5982.659668,6.625199,4.999534,7.200607,29.389698,108.404083,132.234528,Heavy
-1817.945312,111.437271,-46.551498,7.174042,nan,0.005367,0.014205,nan,0.080037,0.083480,nan,0.914596,0.081868,-0.398069,-0.122671,0.392449,6552.305176,3991.521484,4706.922363,7625.687012,5905.749512,6123.002930,1.713622,3.211614,3.649381,5.641798,16.618937,20.407166,-0.097985,-0.606816,1.157961,21.496864,17.962086,31.470587,6109.463379,3558.976807,5364.310547,7.819145,4.612550,6.464238,32.995903,109.163292,132.356400,Heavy
