avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.583116,-0.677643,0.113288,9321.912109,9067.346680,9091.221680,8928.222656,9006.764648,9011.544922,1.258495,1.237652,1.919742,3.897656,3.824713,4.521052,-0.020784,-0.024000,0.653661,83.126076,75.387810,76.715370,13036.390625,11936.686523,12083.928711,16.508135,15.651719,16.395729,13.157136,17.357986,18.454300,Heavy_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.751470,-0.684246,0.112585,10099.042969,9105.957031,9131.981445,9223.847656,9015.641602,9020.525391,1.152550,1.234764,1.923520,3.563777,3.817134,4.520351,-0.016671,-0.023727,0.660538,97.316856,76.295441,77.740295,13982.926758,11988.316406,12140.790039,18.569927,15.759613,16.519667,12.517605,17.079481,18.207327,Heavy_V
nan,nan,-59.649994,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.914338,-0.704223,0.121396,10121.664062,9149.157227,9177.772461,8922.502930,9010.590820,9015.449219,1.069798,1.226818,1.935855,3.508166,3.801387,4.524919,-0.019299,-0.023407,0.680836,83.895645,77.275726,78.796715,14499.219727,12046.829102,12207.471680,16.949402,15.838223,16.620804,14.629400,17.221691,18.342478,Heavy_V
nan,nan,-57.980766,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.755292,-0.713465,0.116018,10187.965820,9212.765625,9242.656250,8659.721680,8999.083984,9004.215820,1.081772,1.218334,1.936764,3.711387,3.792000,4.524707,-0.021964,-0.023190,0.690294,73.294701,77.540901,79.043388,14370.146484,12201.715820,12364.246094,15.878572,15.877466,16.667953,9.511905,16.933229,18.132801,Heavy_V
nan,nan,-56.624470,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.823520,-0.724239,0.113196,7808.686523,9184.621094,9217.782227,7090.831543,8928.889648,8941.886719,1.510497,1.225299,1.955176,4.978011,3.826295,4.575139,-0.130514,-0.027259,0.697317,14.812193,75.579979,78.054337,11057.268555,12241.299805,12398.028320,6.544160,15.567611,16.470390,10.535707,16.371824,17.568628,Heavy_V
nan,nan,-54.704681,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.555898,-0.695446,0.176381,5300.971680,8930.563477,9011.426758,6023.125977,8697.710938,8740.910156,2.031727,1.282105,1.991405,7.168494,4.055925,4.831233,-3.268126,-0.281189,0.955980,0.731396,70.418915,75.761078,6754.829102,11921.197266,12148.810547,1.405351,14.504890,15.862103,18.269203,15.646618,16.710644,Heavy_V
nan,nan,-54.183674,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.488212,-0.692864,0.178905,4519.500488,8818.708984,8937.661133,6248.744629,8617.520508,8674.122070,2.232804,1.307652,2.022042,7.854197,4.170041,4.994140,-0.512153,-0.300063,0.946593,4.656088,68.620010,75.094795,2753.561035,11704.355469,12050.873047,2.943181,14.171596,15.694806,39.885761,16.545103,18.218065,Heavy_V
nan,nan,-58.910095,0.777475,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.346690,-0.678848,0.194725,6411.015137,8665.100586,8816.563477,7067.722168,8492.297852,8561.431641,1.686808,1.328166,2.031342,5.800694,4.271245,5.099491,-0.109234,-0.309452,0.935017,19.448610,64.756866,72.966797,8088.585449,11437.603516,11875.360352,6.912716,13.572697,15.278590,20.337418,16.871149,18.634562,Heavy_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.155441,-0.659254,0.220107,5835.549805,8533.417969,8704.073242,6891.839355,8410.832031,8485.803711,2.076368,1.361745,2.050271,7.549882,4.420800,5.263790,-0.094575,-0.312301,0.925605,23.281382,62.684193,71.518867,7443.219727,11217.320312,11684.650391,7.185700,13.230492,14.986010,17.515854,17.047163,18.766542,Heavy_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.412947,-0.630512,0.245598,6720.921387,8338.079102,8533.215820,7922.234375,8299.592773,8377.155273,1.844157,1.418959,2.085302,6.090126,4.651195,5.496779,-0.054436,-0.315526,0.913160,38.271397,59.602085,69.168373,7572.292480,10962.615234,11489.452148,10.273921,12.751801,14.543070,17.006573,16.902237,18.584299,Heavy_V
