avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.882626,-0.687358,0.101712,10349.743164,9560.909180,9576.035156,8637.725586,9087.349609,9090.897461,0.888265,1.125662,1.816399,3.393440,3.591522,4.282780,-0.019206,-0.015673,0.671686,82.725555,108.949158,110.031570,15402.731445,13478.682617,13576.217773,16.048843,18.135164,18.847054,11.499921,16.048468,17.551340,Light
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.774877,-0.685679,0.099891,10658.943359,9630.655273,9647.059570,8585.623047,9061.733398,9065.764648,0.857899,1.110944,1.800658,3.397927,3.579822,4.269527,-0.018865,-0.015704,0.669976,81.976479,108.288620,109.482727,15531.804688,13719.619141,13796.632812,16.133160,18.098122,18.811378,10.701966,15.124512,16.297470,Light
nan,nan,-59.485516,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.734297,-0.678006,0.094542,10430.575195,9704.102539,9723.093750,8578.931641,8998.742188,9003.527344,0.966158,1.095547,1.778225,3.481903,3.579420,4.261467,-0.020866,-0.016142,0.661866,75.557571,105.335274,106.843407,15445.755859,13988.090820,14057.762695,15.563762,17.833242,18.547611,9.756781,14.224107,15.209208,Light
nan,nan,-57.971489,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.646290,-0.673809,0.093523,10362.444336,9758.962891,9777.540039,8535.412109,8982.990234,8988.229492,0.951636,1.083650,1.762101,3.515086,3.561448,4.238601,-0.021816,-0.016362,0.657451,72.724281,103.894363,105.599228,15316.682617,14137.813477,14200.245117,15.462797,17.740925,18.457140,11.191865,13.893019,14.852519,Light
nan,nan,-55.731941,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.322596,-0.666620,0.116300,6139.227051,9569.353516,9624.188477,6620.941406,8810.615234,8835.499023,1.743898,1.114039,1.791091,5.530618,3.660088,4.350683,-4.313784,-0.208303,0.960171,0.542271,95.151741,100.718384,7056.000000,13740.269531,13916.585938,1.368333,16.506184,17.716108,11.593326,13.633751,14.599367,Light
nan,nan,-55.101097,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.623652,-0.667000,0.116144,4710.194824,9402.455078,9505.584961,5935.080566,8687.242188,8730.458008,2.227048,1.152786,1.842851,7.870491,3.821075,4.586137,-2.111165,-0.292084,0.994375,1.141990,90.903748,98.375633,3398.926758,13409.842773,13736.635742,1.576080,15.884988,17.362013,25.309372,14.061184,15.191814,Light
nan,nan,-57.321022,2.631409,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.301771,-0.640229,0.138126,6010.855469,9094.025391,9261.387695,7076.484375,8502.246094,8557.296875,1.676664,1.206086,1.879057,5.432489,4.011925,4.784928,-0.151655,-0.310004,0.975521,14.367660,82.564232,92.813423,5765.268066,12719.731445,13297.193359,5.871079,14.779855,16.531410,24.393488,15.464543,17.388016,Light
nan,nan,-58.989105,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.302490,-0.627908,0.153148,5885.222656,8957.800781,9149.073242,6812.442871,8402.626953,8462.953125,1.881168,1.233752,1.898738,6.674842,4.133103,4.917703,-0.112108,-0.313891,0.969158,19.584982,78.704475,89.909981,7099.024414,12563.122070,13190.077148,6.465359,14.284883,16.117102,17.578979,15.300591,17.184418,Light
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.286894,-0.620048,0.164951,5717.289551,8822.284180,9038.613281,6992.361816,8320.676758,8384.950195,2.115038,1.269390,1.933701,7.539726,4.282539,5.097988,-0.086660,-0.316709,0.964981,25.598396,75.394264,87.378731,6582.731934,12284.324219,12975.509766,7.298073,13.861837,15.759214,14.749775,15.360112,17.227741,Light
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.269365,-0.586981,0.205680,6298.672852,8552.646484,8811.348633,7628.479980,8182.370605,8250.189453,1.948051,1.344844,1.988884,6.529927,4.585209,5.428487,-0.054677,-0.320605,0.952873,39.131374,69.378181,82.183449,6840.877930,11666.494141,12520.916992,9.468787,13.118224,15.061010,16.757496,15.906454,17.759569,Light
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.459522,-0.582400,0.207187,7136.497559,8460.429688,8724.154297,8231.269531,8145.433105,8211.170898,1.717136,1.367769,2.007554,5.421064,4.657366,5.491568,-0.040221,-0.321624,0.951008,50.354561,66.746796,79.449997,6969.951172,11370.486328,12266.052734,11.533891,12.824203,14.745249,22.652481,16.215321,18.089203,Light
nan,nan,-58.330223,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.759884,-0.577329,0.213847,9402.402344,8393.258789,8655.562500,9126.056641,8114.399902,8176.551270,1.208677,1.385447,2.018778,3.691127,4.705586,5.525679,-0.023990,-0.322670,0.949018,71.642990,62.827217,74.843048,11530.536133,11088.246094,11994.280273,15.921255,12.503592,14.362288,21.199747,16.343531,18.222839,Light
nan,nan,-57.459949,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.504538,-0.567947,0.211678,8487.570312,8310.342773,8563.826172,8737.144531,8086.677734,8145.685059,1.363553,1.401305,2.023288,4.170694,4.745418,5.547244,-0.028384,-0.323284,0.946189,64.961723,60.635494,72.062164,9680.488281,10843.867188,11731.916016,14.380085,12.269476,14.059181,14.261982,16.475897,18.309624,Light
nan,nan,-55.973988,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.059759,-0.529763,0.238568,3912.870361,8031.451660,8325.833008,4507.812012,7874.549805,7958.774414,3.325836,1.497253,2.111262,17.939274,5.348747,6.601772,-0.264756,-0.333896,0.932536,9.307489,54.036545,64.907646,4259.414551,10291.434570,11235.035156,3.057507,11.417454,13.211861,18.171947,16.852179,18.602955,Light
nan,nan,-55.396889,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.824367,-0.469478,0.354529,2788.875000,7767.846680,8130.852051,2995.394287,7634.283691,7775.496582,3.170675,1.577173,2.153793,19.485622,5.979414,7.622649,-2.495623,-0.433052,1.002823,1.083132,49.966129,61.478298,3441.951172,9856.027344,10885.202148,0.629665,10.733487,12.645853,24.858952,17.331232,19.039640,Light
nan,nan,-54.824188,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.468200,-0.418887,0.392455,2150.391602,7478.528320,7922.929199,2829.646973,7388.643066,7586.747559,4.660051,1.717846,2.317006,36.559929,7.295247,10.558661,-1.453858,-0.490544,1.020245,1.885399,45.887970,57.791874,2710.536621,9379.316406,10498.600586,0.814284,10.068726,12.087155,43.007610,18.457170,20.659309,Light
nan,nan,-55.236488,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.213906,-0.336496,0.422689,3881.214844,6901.231934,7409.793457,6216.865234,7111.771484,7327.610352,2.844054,1.920570,2.467309,11.749625,8.424313,11.716419,-0.129996,-0.506575,1.026163,19.008116,38.909393,50.247120,2280.292725,8298.543945,9564.929688,5.248607,8.980470,10.968388,58.605137,21.963364,25.857758,Light
nan,nan,-59.319298,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.121564,-0.319362,0.422373,4949.946777,6672.275391,7164.321777,6988.726074,7047.388184,7258.791992,2.352146,1.979340,2.497643,8.548760,8.630251,11.813844,-0.089262,-0.509453,1.028398,26.041492,36.382599,47.229160,3872.195068,7832.160645,9079.514648,7.089778,8.599560,10.522110,31.575516,22.682344,26.472628,Light
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.348324,-0.275652,0.394912,7010.948242,6371.882324,6793.187988,8127.526855,7002.955078,7207.575684,1.539580,2.040248,2.495233,4.861524,8.773489,11.836513,-0.055176,-0.512621,1.036644,37.014565,32.637421,42.237152,7701.365723,7080.093750,8152.006836,9.875182,8.083002,9.816734,18.512638,23.410618,26.873924,Light
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.504476,-0.268734,0.389288,7879.602051,6264.449219,6645.723145,8426.574219,7000.651367,7204.865723,1.292940,2.055335,2.497124,4.067513,8.796680,11.839155,-0.049154,-0.513786,1.037984,39.153042,31.088543,40.017838,14456.195312,7037.068848,8072.476562,10.807285,7.884251,9.532177,18.590452,23.683420,27.024233,Light
