avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-58.329315,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.508097,-0.484733,0.175537,7551.645508,7602.312500,7706.262207,8167.438965,7826.919922,7869.509277,1.487081,1.625340,2.138754,4.740472,5.567327,6.356689,-0.059341,-0.072502,0.416028,33.170250,34.495529,36.706448,8776.975586,9566.903320,9967.970703,10.299495,10.240437,11.038577,21.161097,20.671263,23.062679,Light_V
nan,nan,-56.509056,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.466676,-0.479731,0.174193,7818.864746,7564.817383,7665.826172,8584.483398,7830.353516,7873.229980,1.425268,1.630040,2.137881,4.380972,5.577717,6.359661,-0.048864,-0.072991,0.410552,39.541569,34.106949,36.223408,8733.951172,9424.062500,9816.057617,11.518545,10.187593,10.972923,17.277937,20.768373,23.127661,Light_V
nan,nan,-54.831013,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.633395,-0.475291,0.169496,8242.143555,7539.938965,7637.950195,8603.084961,7852.358887,7897.268555,1.305627,1.623634,2.128260,4.085172,5.551629,6.336915,-0.047140,-0.073495,0.405616,39.768257,33.654613,35.657032,9336.292969,9265.732422,9631.403320,11.604407,10.125906,10.896185,31.452446,21.915308,24.149147,Light_V
nan,nan,-54.243305,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.757429,-0.483751,0.177881,8451.256836,7523.504883,7619.310059,8670.447266,7868.773926,7914.853027,1.276765,1.619917,2.133457,3.994626,5.536257,6.333637,-0.047169,-0.073858,0.413610,39.145111,33.340141,35.278961,10540.975586,9174.520508,9520.140625,11.873881,10.087952,10.859658,27.088972,22.519846,24.652807,Light_V
nan,nan,-56.610657,2.994284,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.676940,-0.488431,0.181330,7608.976074,7482.781738,7575.798340,6857.448242,7814.514160,7863.024414,1.491304,1.621861,2.139850,4.893711,5.546114,6.346260,-0.342653,-0.085981,0.409540,5.722646,31.727306,34.056656,11659.609375,9126.333008,9457.874023,4.410148,9.757511,10.586030,9.891217,22.411030,24.605307,Light_V
nan,nan,-56.975708,2.869977,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.614405,-0.473937,0.185022,5154.645020,7221.962402,7317.192383,5947.377441,7644.311035,7704.504883,2.082373,1.669021,2.171660,7.455659,5.736064,6.510147,-2.544989,-0.345739,0.904649,0.929903,28.267307,31.632599,5378.048828,8622.087891,8924.218750,1.624917,8.872601,9.914764,19.566565,22.499901,24.661224,Light_V
nan,nan,-57.413399,2.668733,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.559405,-0.479958,0.185256,4748.688477,7086.131836,7196.525391,6688.205566,7584.595703,7646.666504,2.180763,1.697933,2.207920,7.400436,5.844934,6.623926,-0.391736,-0.359561,0.901529,6.004848,26.872051,30.564739,2882.634033,8310.590820,8684.460938,3.622236,8.547788,9.649490,41.647854,23.662121,25.934677,Light_V
nan,nan,-58.595203,0.862306,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.202135,-0.466072,0.190095,6239.227539,6960.929199,7073.532715,6997.002441,7526.178711,7589.411621,1.805750,1.708648,2.204709,6.353675,5.897703,6.659779,-0.119950,-0.366937,0.896794,17.902012,25.135889,28.992636,7486.244141,8147.098145,8533.351562,6.708543,8.198719,9.309642,18.558807,24.229431,26.393187,Light_V
nan,nan,-59.089703,0.247139,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.252970,-0.451893,0.192229,6281.847656,6872.685547,6980.775879,7197.008789,7485.870605,7548.383789,1.911788,1.730318,2.211328,6.688520,5.987670,6.727172,-0.095474,-0.368881,0.894511,22.435427,24.462339,28.243118,7443.219727,7952.628906,8305.254883,7.579409,8.030994,9.111889,23.837723,24.696358,26.704546,Light_V
nan,nan,-59.103466,0.276308,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.316287,-0.439827,0.190789,6617.567383,6813.329590,6913.018555,7702.036133,7483.863281,7545.141602,1.800206,1.739664,2.207041,5.865767,6.005314,6.722832,-0.079141,-0.370244,0.892895,26.481895,23.859621,27.500467,7012.975586,7792.578125,8100.936035,8.594363,7.915098,8.960888,18.585194,24.969097,26.836306,Light_V
