avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.615158,-0.632005,0.129880,9496.948242,9048.189453,9079.137695,9098.740234,8921.117188,8924.683594,1.151194,1.260439,1.896954,3.590599,3.935180,4.585604,-0.016227,-0.016995,0.615018,105.025024,105.571358,106.638657,14714.341797,12265.392578,12515.504883,17.731363,17.485832,18.175392,15.719900,17.383648,19.710155,Narrow
nan,nan,-58.952393,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.804630,-0.619850,0.119230,10250.602539,9048.174805,9079.445312,9300.887695,8916.125977,8919.775391,1.016073,1.256035,1.880846,3.239787,3.931576,4.570740,-0.014071,-0.016981,0.602878,113.781525,105.685944,106.748535,14628.292969,12334.228516,12591.666992,19.334108,17.506027,18.184910,15.874327,17.475094,19.772327,Narrow
nan,nan,-57.251953,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.708311,-0.618565,0.118091,10077.795898,9064.740234,9097.435547,8913.820312,8906.371094,8909.885742,0.993383,1.247995,1.872224,3.433427,3.921378,4.560123,-0.016524,-0.017034,0.601539,98.357407,105.190117,106.257622,15402.731445,12458.138672,12727.272461,17.473803,17.459127,18.135387,13.404939,17.452749,19.754980,Narrow
nan,nan,-54.204521,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.094908,-0.603976,0.162936,6571.629883,8953.458984,8999.223633,6702.341797,8793.394531,8807.943359,1.814552,1.269130,1.882041,6.049309,4.008867,4.651380,-2.358048,-0.111096,0.673283,0.910791,99.333206,102.638290,7572.292480,12353.161133,12670.318359,1.861223,16.661087,17.596899,11.484086,17.206333,19.526699,Narrow
nan,nan,-56.235336,3.266106,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.623845,-0.612054,0.158659,5440.879395,8915.576172,8974.297852,6213.233887,8710.615234,8739.562500,2.127883,1.286588,1.913230,7.561362,4.098197,4.792773,-5.653280,-0.336051,1.210090,0.457121,96.456932,101.603447,6496.683105,12475.351562,12718.165039,1.195731,16.220011,17.420429,13.631713,15.753467,16.953484,Narrow
nan,nan,-54.998505,3.155069,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.640503,-0.619849,0.155036,3982.872314,8767.590820,8877.592773,5546.437012,8588.913086,8640.580078,2.690818,1.334259,1.987195,10.883721,4.347168,5.217530,-1.076858,-0.378266,1.209427,2.294154,92.912537,99.950226,3097.756104,12310.138672,12650.918945,1.930398,15.698862,17.154758,36.981678,15.920523,17.307264,Narrow
nan,nan,-56.738060,1.575930,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.428596,-0.607958,0.158556,6583.174316,8532.097656,8680.083008,7144.837891,8445.402344,8508.835938,1.536744,1.364816,2.009096,5.058739,4.474543,5.343705,-0.145507,-0.394118,1.200802,14.445111,85.667107,95.712967,8647.902344,11873.011719,12356.922852,5.799531,14.724104,16.470406,16.703764,16.848003,18.424351,Narrow
nan,nan,-57.647236,0.666131,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.381407,-0.602562,0.163792,6169.895508,8438.455078,8600.514648,6855.248047,8377.344727,8446.964844,1.738972,1.380355,2.020381,6.119075,4.545681,5.415733,-0.108735,-0.397732,1.198229,19.845423,82.460274,93.657875,8045.561035,11733.611328,12245.992188,6.465360,14.325789,16.171331,16.310795,16.683023,18.248482,Narrow
nan,nan,-57.742413,0.732279,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.197862,-0.582204,0.194911,5742.375488,8198.669922,8402.656250,6827.694336,8204.117188,8286.251953,2.250037,1.453541,2.086481,8.346306,4.895545,5.832020,-0.073520,-0.402885,1.192627,30.130993,76.738747,89.648705,7185.073242,11459.977539,12060.777344,7.829536,13.569958,15.553012,19.094387,16.824003,18.364323,Narrow
nan,nan,-57.742641,0.732057,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.403945,-0.577931,0.197583,6280.356934,8095.145508,8308.802734,7471.581543,8156.506836,8239.766602,1.979890,1.479507,2.109976,6.671523,4.994896,5.929534,-0.063908,-0.404771,1.191141,33.513084,73.801239,87.293877,5205.951172,11155.363281,11830.916016,8.892337,13.231355,15.247808,21.080416,17.116915,18.645174,Narrow
