avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.643598,-0.698745,0.081273,10038.020508,9680.677734,9684.955078,9380.316406,9225.691406,9227.159180,1.139801,1.157643,1.857130,3.532602,3.577913,4.279099,-0.013372,-0.014755,0.683991,121.986450,114.089508,114.893951,14284.097656,13210.209961,13247.950195,19.836878,18.787689,19.494661,12.552442,14.201788,15.096522,Narrow_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.678968,-0.704362,0.074584,10190.973633,9690.083008,9694.737305,9382.765625,9225.158203,9226.621094,1.056646,1.156178,1.861346,3.348238,3.575343,4.282261,-0.013244,-0.014747,0.689616,121.565834,114.069748,114.878471,14542.244141,13223.977539,13262.881836,19.742170,18.786455,19.498980,14.632157,14.247577,15.146763,Narrow_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.737831,-0.689481,0.075576,9622.957031,9694.717773,9699.498047,9271.162109,9217.454102,9218.728516,1.160199,1.153979,1.844278,3.556072,3.568761,4.260810,-0.014811,-0.014753,0.674729,113.903419,113.978836,114.773567,13036.390625,13222.254883,13260.369141,18.582203,18.782082,19.480497,15.167545,14.191463,15.071963,Narrow_V
nan,nan,-58.510448,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.699621,-0.689024,0.075479,9710.783203,9687.436523,9692.136719,9294.399414,9216.990234,9218.260742,1.113495,1.153753,1.843599,3.422546,3.567256,4.258893,-0.014179,-0.014780,0.674244,118.162033,113.819969,114.605713,13853.853516,13258.396484,13296.847656,19.108067,18.768763,19.466387,13.195058,14.218971,15.096205,Narrow_V
nan,nan,-56.967522,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.771478,-0.691652,0.077142,8335.340820,9635.283203,9643.654297,7481.555664,9143.976562,9151.527344,1.459114,1.166121,1.859551,4.745077,3.616264,4.316641,-0.058272,-0.016529,0.675177,31.947926,110.462753,112.401703,13337.560547,13291.094727,13328.606445,9.614348,18.413240,19.197775,10.387677,14.030789,14.930459,Narrow_V
nan,nan,-54.284992,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.721971,-0.659242,0.161284,5533.020996,9339.413086,9397.505859,6192.277344,8921.026367,8959.321289,2.007219,1.222832,1.893468,7.026789,3.837135,4.568398,-4.510120,-0.310764,1.081361,0.544421,101.254082,107.437340,6926.926758,12831.594727,12967.503906,1.242313,17.007200,18.349394,15.550286,13.755798,14.632144,Narrow_V
nan,nan,-56.362068,3.235571,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.488969,-0.647920,0.162896,4197.201660,9104.961914,9217.933594,5887.286133,8785.241211,8843.602539,2.446303,1.278193,1.951591,9.206923,4.072291,4.901119,-0.721595,-0.339085,1.070373,3.370628,96.590302,104.686302,3011.707275,12360.047852,12639.462891,2.443460,16.318565,17.893782,43.716930,14.927335,16.834814,Narrow_V
nan,nan,-57.828686,1.014676,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.248503,-0.612840,0.185003,5733.775391,8778.528320,8950.591797,6723.420410,8592.575195,8670.027344,1.890549,1.341023,1.987396,6.576701,4.322159,5.159295,-0.132267,-0.352468,1.054379,16.756121,88.819855,99.907738,6195.512207,11719.843750,12177.864258,5.904737,15.273504,17.124041,19.357367,15.811249,17.925308,Narrow_V
nan,nan,-58.832802,0.160887,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.169750,-0.590932,0.202884,5293.499023,8612.445312,8812.751953,6726.781250,8495.242188,8580.358398,2.153946,1.378837,2.009093,7.814831,4.486039,5.337249,-0.104391,-0.356008,1.047391,21.801100,85.380821,97.611237,5033.853516,11410.067383,11949.130859,6.381864,14.797970,16.740734,24.402170,16.129818,18.275242,Narrow_V
nan,nan,-58.305683,0.803339,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.084185,-0.542169,0.236664,5726.533203,8272.671875,8511.281250,7224.026367,8310.308594,8403.064453,2.176326,1.471582,2.063521,7.673346,4.873496,5.738093,-0.063684,-0.360770,1.035261,34.811108,78.837196,92.608887,5248.975586,10793.958984,11443.278320,8.429622,13.928739,15.963606,19.232418,16.674614,18.750759,Narrow_V
