avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.741678,-0.635643,0.131552,8949.733398,8568.469727,8633.471680,8963.130859,8942.660156,8946.077148,1.130228,1.204870,1.848614,3.680611,3.825052,4.488801,-0.026446,-0.027641,0.608057,67.395653,69.339455,70.850739,13122.439453,9773.418945,10953.880859,14.484882,14.424215,15.173108,39.172081,45.237450,54.418869,Open
nan,nan,-59.827515,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.545775,-0.623926,0.125868,8675.770508,8554.782227,8619.421875,8835.682617,8928.500977,8931.789062,1.174898,1.207175,1.839169,3.817016,3.837370,4.488937,-0.025625,-0.027819,0.596163,71.163658,68.844757,70.292549,10024.682617,9768.256836,10949.113281,14.396127,14.373968,15.109533,42.544704,45.393833,54.527321,Open
nan,nan,-58.415138,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.621562,-0.614937,0.117406,9220.898438,8560.290039,8625.259766,8940.641602,8929.422852,8932.702148,1.206149,1.209751,1.832736,3.847665,3.843163,4.485677,-0.020818,-0.027781,0.587213,83.947357,68.965790,70.426529,14198.048828,9776.862305,10960.174805,16.181238,14.395582,15.124246,17.150738,45.046490,54.378700,Open
nan,nan,-56.523701,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.722742,-0.606287,0.108100,7686.182129,8503.169922,8564.604492,7014.647949,8844.395508,8855.463867,1.514277,1.228367,1.843027,5.067378,3.909977,4.548507,-0.267519,-0.037591,0.570685,7.290230,65.938255,68.353157,13165.463867,9978.216797,11114.990234,4.796942,13.969887,14.805141,10.837375,44.085224,53.893238,Open
nan,nan,-54.486523,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.605167,-0.584039,0.144075,5111.467285,8373.962891,8466.613281,5921.495117,8624.109375,8664.707031,2.188655,1.279333,1.883709,8.164264,4.157421,4.861272,-3.002922,-0.314889,0.987543,0.800812,60.886829,65.842674,5335.024414,10379.204102,11262.193359,1.411250,13.060143,14.299459,20.900455,37.799976,46.650185,Open
nan,nan,-56.776924,3.079355,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.517064,-0.582526,0.144571,4543.152832,8352.609375,8454.470703,6347.126465,8556.482422,8608.382812,2.331847,1.297430,1.907884,8.540338,4.259754,5.022246,-0.402186,-0.328572,0.982249,5.917050,59.581554,65.387383,2796.585449,10477.299805,11275.869141,3.406523,12.863908,14.209327,46.195930,34.634224,40.365776,Open
nan,nan,-56.189735,2.842550,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.326725,-0.584439,0.140811,5516.856934,8306.646484,8421.288086,6726.439941,8478.030273,8537.850586,1.934305,1.315641,1.931491,6.814183,4.351528,5.137015,-0.174885,-0.333890,0.980166,12.842404,58.093521,64.656212,5033.853516,10656.281250,11320.181641,5.296956,12.636395,14.070754,24.221161,31.714643,35.659325,Open
nan,nan,-59.773022,0.141975,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.180942,-0.556455,0.172698,5707.239258,8040.042969,8187.326660,6697.454102,8293.575195,8366.328125,2.060511,1.392520,1.988370,7.673950,4.672246,5.481109,-0.096582,-0.340404,0.970112,23.009039,54.319542,61.941532,7357.170898,10226.037109,10943.069336,6.771001,11.963773,13.493611,21.746342,30.512310,34.479305,Open
nan,nan,-59.485153,0.312391,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.167415,-0.544983,0.187960,5221.906738,7888.290527,8054.277344,6692.527344,8212.772461,8291.584961,2.361317,1.442269,2.033796,9.077110,4.885858,5.735222,-0.085611,-0.342697,0.966464,26.718163,52.883530,60.873970,5937.365723,9871.516602,10601.800781,7.094713,11.685024,13.250992,21.370790,30.394066,34.388626,Open
nan,nan,-58.586578,1.586614,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.069006,-0.522313,0.208680,5426.270508,7740.845703,7920.051758,7151.681152,8143.675781,8224.491211,2.265033,1.489681,2.062728,8.293631,5.076629,5.924597,-0.067030,-0.344291,0.961187,33.730732,51.647274,59.835766,4818.731934,9472.250000,10225.658203,8.247014,11.439679,13.008722,27.102066,30.164522,34.163960,Open
