avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.720422,-0.717595,0.080773,9387.449219,9717.403320,9720.672852,9162.886719,9070.759766,9074.625000,1.133199,1.133519,1.851753,3.517354,3.565423,4.285901,-0.024014,-0.025871,0.691729,71.562096,65.339119,66.351433,13380.584961,13690.362305,13723.818359,15.954883,15.657850,16.391933,17.415537,13.672218,14.589050,Open_V
nan,nan,-59.424030,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.634715,-0.724998,0.074026,9656.871094,9743.184570,9746.339844,9021.041992,9065.128906,9068.875000,1.144319,1.126711,1.852129,3.634752,3.550468,4.277534,-0.024799,-0.025480,0.699522,67.865776,66.123283,67.109032,14800.390625,13907.206055,13933.439453,15.738574,15.719272,16.459679,11.979949,13.306749,14.225204,Open_V
nan,nan,-58.015003,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.938095,-0.733615,0.084981,10643.297852,9789.342773,9793.909180,9339.233398,9071.780273,9075.668945,0.973062,1.119088,1.853348,3.138652,3.531064,4.267478,-0.021394,-0.025240,0.708379,72.394058,66.528633,67.527405,15316.682617,13945.067383,13973.726562,17.378185,15.795521,16.547544,11.479865,13.126299,14.049073,Open_V
nan,nan,-55.383808,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.850499,-0.739610,0.089494,8786.260742,9792.190430,9799.714844,8208.851562,9043.211914,9048.805664,1.370523,1.123410,1.864404,4.407547,3.554516,4.300697,-0.040002,-0.025412,0.714209,45.006264,66.606102,67.768593,14198.048828,14077.581055,14096.568359,12.286020,15.798176,16.572681,12.639832,13.005252,13.928167,Open_V
nan,nan,-54.094166,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.140425,-0.718458,0.147393,6984.052246,9681.874023,9705.085938,6850.922852,8947.156250,8962.898438,1.620099,1.141240,1.863621,5.286494,3.623004,4.361198,-2.505821,-0.124594,0.767431,0.837259,64.095558,66.515800,8174.634277,13891.714844,13957.435547,1.810645,15.233820,16.221514,9.979348,12.779874,13.686524,Open_V
nan,nan,-56.261589,3.144300,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.646188,-0.711875,0.146797,5799.006836,9520.157227,9573.868164,6438.887695,8834.647461,8863.857422,1.926620,1.173973,1.895940,6.582695,3.748766,4.516889,-4.981509,-0.322825,1.136457,0.494981,61.539242,65.222382,6969.951172,13612.917969,13746.991211,1.278116,14.648955,15.876023,14.133566,12.832195,13.734199,Open_V
nan,nan,-57.060085,3.111229,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.586428,-0.701817,0.145973,5567.781250,9122.125977,9256.491211,7324.816406,8642.300781,8689.959961,1.831538,1.256173,1.983716,5.764138,4.045817,4.896396,-0.249917,-0.366805,1.121129,8.961828,56.828156,62.567535,3441.951172,12718.008789,13151.348633,4.620153,13.636992,15.181391,29.015471,14.414792,16.305738,Open_V
nan,nan,-58.934326,0.763963,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.284303,-0.686630,0.169139,6197.903809,8865.929688,9028.546875,7088.563965,8482.825195,8538.273438,1.830533,1.300672,2.015651,6.386870,4.219049,5.069311,-0.105699,-0.374003,1.112708,20.365883,53.012516,59.875755,6969.951172,12193.111328,12703.151367,7.057070,12.909401,14.576097,20.432442,14.928244,16.897297,Open_V
nan,nan,-58.793709,0.762690,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.231883,-0.667239,0.190965,5999.000488,8723.091797,8904.509766,7088.496582,8402.675781,8461.961914,2.024739,1.335580,2.035592,7.214990,4.364851,5.222553,-0.087344,-0.376432,1.106077,24.951515,51.462303,58.681488,7099.024414,11926.360352,12482.106445,7.541516,12.595550,14.294071,17.050373,15.135842,17.064358,Open_V
nan,nan,-58.795479,0.761177,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.270865,-0.651178,0.206139,6191.645508,8596.923828,8793.720703,7418.737793,8336.398438,8397.098633,2.009117,1.368643,2.056244,6.914938,4.494040,5.352695,-0.070121,-0.378174,1.101009,30.702391,50.092720,57.524483,6883.902344,11668.213867,12271.193359,8.650623,12.325497,14.037361,23.867298,15.559374,17.520536,Open_V
