avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-48.481709,5.930749,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.542542,-0.629217,0.119243,9099.636719,8638.989258,8720.410156,8742.709961,8902.533203,8908.246094,1.246984,1.292663,1.934186,3.923752,4.043293,4.725943,-0.031090,-0.039491,0.589918,56.551258,49.413212,50.853371,14112.000000,10520.324219,11447.010742,14.156545,13.261550,14.028691,11.176088,31.645235,40.534370,Pure
nan,nan,-51.263214,5.038280,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.742346,-0.657491,0.091756,8764.339844,8918.746094,8953.879883,9074.394531,8989.083984,8991.385742,1.249785,1.239101,1.900928,3.852263,3.859652,4.531223,-0.031023,-0.035278,0.622264,58.175415,52.000874,53.089218,11315.415039,11441.045898,12001.807617,14.272396,13.792856,14.510969,18.803400,26.910303,34.522305,Pure
nan,nan,-52.160954,4.333436,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.639080,-0.663594,0.085005,9107.802734,9019.922852,9042.083984,8806.011719,8996.547852,8998.623047,1.194300,1.222462,1.888906,3.884220,3.819856,4.492839,-0.030070,-0.034018,0.629604,58.452572,52.974106,53.949013,13853.853516,11938.409180,12314.249023,14.593512,13.984952,14.686177,16.175243,23.511631,28.087233,Pure
nan,nan,-53.048092,3.669821,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.692138,-0.675212,0.066179,9429.344727,9125.219727,9136.092773,9192.147461,9014.800781,9016.799805,1.089903,1.202071,1.878709,3.459754,3.761892,4.441459,-0.027227,-0.032913,0.642314,62.949467,53.982445,54.905693,13724.780273,12382.418945,12605.586914,15.527032,14.185281,14.883300,18.893185,21.565590,24.871988,Pure
nan,nan,-56.157043,2.931963,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.415388,-0.658808,0.097714,5533.262207,8946.613281,8995.177734,6236.094727,8816.208008,8845.291992,2.133517,1.255607,1.928040,7.604553,3.987759,4.731941,-5.078443,-0.281369,1.074594,0.491726,50.336670,53.230785,6625.755859,12237.857422,12511.573242,1.277007,13.304997,14.383395,12.147281,20.046906,23.385796,Pure
nan,nan,-56.924915,2.765297,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.655410,-0.658292,0.097696,4073.879150,8747.630859,8848.831055,5474.668945,8669.450195,8723.166016,2.698363,1.317910,2.009125,11.096544,4.289625,5.215858,-1.464079,-0.338459,1.079298,1.688135,48.486008,52.336937,3312.877930,11974.548828,12371.789062,1.774241,12.833231,14.107034,30.002623,19.699707,22.859781,Pure
nan,nan,-57.398708,1.653808,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.326715,-0.635006,0.126320,6001.328125,8512.797852,8662.218750,7135.031250,8501.250977,8566.432617,1.781545,1.368849,2.043219,5.942459,4.493197,5.419973,-0.149579,-0.352965,1.065981,14.574804,45.699512,50.740295,6066.438965,11755.986328,12273.744141,6.019463,12.212463,13.655351,21.423798,17.941944,19.594872,Pure
nan,nan,-58.172405,0.862278,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.189711,-0.620096,0.153152,5874.545898,8398.003906,8564.782227,7065.875977,8433.041016,8503.127930,1.901297,1.393457,2.055278,6.574658,4.596181,5.517258,-0.104475,-0.355588,1.060778,21.039801,44.682827,50.033115,6066.438965,11549.468750,12127.336914,6.966699,11.968573,13.449830,21.606796,17.700459,19.266874,Pure
nan,nan,-58.136761,0.921760,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.322416,-0.587040,0.168314,6232.800781,8174.813965,8365.784180,7564.789551,8288.651367,8360.812500,1.916337,1.448938,2.082107,6.400615,4.819913,5.719237,-0.067657,-0.358808,1.051394,31.755442,42.876488,48.502384,6453.658691,11163.969727,11842.550781,8.812424,11.509934,13.009102,17.805513,17.595753,19.121351,Pure
nan,nan,-58.136902,0.921623,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.347993,-0.578927,0.174635,6535.673340,8064.198730,8260.407227,7724.964844,8245.971680,8318.537109,1.856006,1.474941,2.100458,6.091774,4.909476,5.797961,-0.062389,-0.359969,1.049075,33.759274,42.151630,47.842030,6711.804688,10876.567383,11589.757812,9.415064,11.323936,12.824115,19.134266,17.652050,19.169544,Pure
