avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-59.352856,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.532602,-0.575541,0.065001,8657.952148,8562.774414,8571.690430,8276.076172,8286.309570,8295.264648,1.369241,1.370016,1.947114,4.465466,4.447265,5.033360,-0.041332,-0.051808,0.523890,43.999958,37.230576,38.594021,12649.170898,12508.049805,12549.926758,12.523538,11.682467,12.341551,10.978767,13.309044,14.149652,Pure_V
nan,nan,-56.808941,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.679458,-0.580107,0.068059,9116.749023,8610.253906,8618.779297,8398.887695,8316.531250,8324.442383,1.327083,1.362685,1.944153,4.333016,4.416192,5.005111,-0.038629,-0.050230,0.530011,45.479946,38.067741,39.362953,13552.682617,12582.052734,12624.174805,13.282178,11.849693,12.504519,13.292519,13.140968,13.963161,Pure_V
nan,nan,-54.076141,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.738430,-0.592348,0.073816,9147.238281,8669.964844,8679.483398,8825.792969,8400.000977,8406.618164,1.225435,1.347637,1.941410,3.839318,4.341674,4.942451,-0.034942,-0.047356,0.545095,50.135185,39.905552,41.105152,12907.317383,12600.983398,12643.666992,13.752282,12.169199,12.826672,13.370831,13.303967,14.123673,Pure_V
nan,nan,-56.266678,3.123756,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.724685,-0.603950,0.070852,9462.969727,8729.341797,8738.954102,8910.500977,8449.283203,8455.117188,1.194955,1.336129,1.941522,3.742337,4.291261,4.903130,-0.029630,-0.045585,0.558448,57.697926,41.179565,42.409317,13724.780273,12638.844727,12683.298828,14.608438,12.375284,13.039482,13.383831,13.373646,14.199601,Pure_V
nan,nan,-56.914032,3.224314,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.376596,-0.600168,0.079798,7274.563965,8698.133789,8711.534180,7031.991699,8416.521484,8426.227539,1.561029,1.340127,1.942094,4.962808,4.296970,4.905750,-1.353167,-0.096912,0.564883,1.492789,40.153481,42.043049,8303.707031,12482.236328,12555.947266,2.536749,12.081193,12.881094,9.264173,13.280770,14.123561,Pure_V
nan,nan,-56.995796,3.128610,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.696691,-0.609004,0.082080,4630.557129,8438.868164,8503.034180,6025.203125,8285.048828,8314.370117,2.313384,1.397538,2.019096,8.523397,4.520335,5.212538,-1.446845,-0.360215,1.093084,1.654325,37.758602,41.091190,3484.975586,11871.289062,12105.456055,2.016629,11.367458,12.509274,30.463121,14.075602,15.278470,Pure_V
nan,nan,-56.888042,3.009097,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.612277,-0.610097,0.081934,5155.672363,8290.496094,8379.806641,7085.123047,8245.971680,8278.695312,1.994625,1.424680,2.050393,6.587545,4.607336,5.314596,-0.321907,-0.371020,1.089143,7.133985,36.661205,40.515011,3011.707275,11432.440430,11793.365234,4.155841,11.075365,12.312228,37.739376,15.108660,16.912067,Pure_V
nan,nan,-58.213455,1.189900,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.266811,-0.596716,0.105944,5885.313477,8115.626953,8227.457031,7066.264160,8172.728516,8210.029297,1.901006,1.454239,2.068957,6.552706,4.711780,5.418615,-0.123355,-0.377501,1.083296,17.803581,35.235184,39.593498,6281.561035,10979.825195,11435.616211,6.632843,10.699560,12.009042,19.972660,15.738237,17.581675,Pure_V
nan,nan,-58.006596,1.174938,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.089610,-0.581046,0.143988,6238.966309,8036.292969,8157.416016,7057.416016,8123.024902,8163.391113,2.013237,1.478702,2.080509,7.182559,4.818851,5.529121,-0.087044,-0.378795,1.079623,24.674734,34.849201,39.284874,7529.268066,10819.773438,11301.428711,7.814600,10.566216,11.881908,19.425797,15.989654,17.806835,Pure_V
nan,nan,-58.007870,1.173600,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.303040,-0.551039,0.171599,6535.536621,7908.145020,8042.229492,7794.584961,8067.522461,8109.221680,1.858761,1.515743,2.090764,6.098218,4.963552,5.658315,-0.066241,-0.380241,1.073749,31.801506,34.371563,38.851421,6840.877930,10509.999023,11048.586914,9.338814,10.385634,11.691841,16.587105,16.315140,18.096571,Pure_V
