avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.705476,-0.686948,0.061940,9282.567383,9329.208008,9340.056641,8722.759766,8633.452148,8635.049805,1.202486,1.152717,1.840900,3.823498,3.775302,4.465273,-0.034620,-0.040873,0.646084,50.052097,42.445953,43.207794,14327.122070,14574.940430,14588.969727,13.836349,12.861783,13.561476,16.478966,15.891606,17.798899,Resonant
nan,nan,-59.724926,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.714452,-0.690105,0.061246,9577.577148,9371.936523,9381.343750,8779.499023,8644.241211,8645.848633,1.064020,1.145477,1.836799,3.508983,3.754042,4.447134,-0.034424,-0.040280,0.649832,49.178478,42.919281,43.689739,15101.560547,14647.221680,14659.151367,13.678555,12.953037,13.653328,12.699189,15.018864,16.567820,Resonant
nan,nan,-57.568989,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.634309,-0.693418,0.055641,9785.789062,9418.079102,9426.536133,8723.375000,8644.462891,8646.076172,1.117880,1.142063,1.836666,3.689257,3.747728,4.444111,-0.033452,-0.039826,0.653601,49.762699,43.283371,44.073902,15230.633789,14724.666016,14734.314453,14.410246,13.039955,13.745564,12.364679,14.294960,15.575308,Resonant
nan,nan,-55.130249,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.558720,-0.689659,0.059692,9619.513672,9478.693359,9484.810547,8748.474609,8644.261719,8645.887695,1.146611,1.136000,1.826594,3.736560,3.729200,4.420975,-0.030212,-0.038853,0.650816,55.871403,44.256748,45.111237,15144.584961,14826.205078,14831.748047,14.663822,13.186612,13.890409,11.743790,13.482495,14.578006,Resonant
nan,nan,-54.277912,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.836120,-0.695834,0.066185,9548.746094,9475.252930,9481.337891,8723.181641,8645.964844,8647.608398,1.166697,1.138099,1.834869,3.767895,3.731618,4.429566,-0.033705,-0.038695,0.657149,50.361439,44.481148,45.356743,15058.536133,14831.367188,14836.972656,13.962168,13.209219,13.919942,12.771868,13.428844,14.531905,Resonant
nan,nan,-55.831207,2.982687,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.599011,-0.676396,0.115170,5751.217285,9205.112305,9250.447266,6461.513672,8473.159180,8491.260742,1.867920,1.189764,1.873934,6.265099,3.902162,4.612786,-4.725013,-0.299614,1.042644,0.518427,41.026955,43.543446,6711.804688,14227.306641,14376.249023,1.257727,12.260180,13.326542,14.764671,12.984851,13.915976,Resonant
nan,nan,-56.566509,3.070375,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.665138,-0.674597,0.114981,4135.424316,9000.818359,9101.503906,5830.503906,8356.005859,8389.998047,2.561257,1.246898,1.947579,9.920841,4.151349,4.998947,-0.954252,-0.335986,1.035869,2.563648,39.581287,42.828377,3097.756104,13752.316406,14074.539062,2.198501,11.853220,13.079422,36.475323,13.628005,15.200341,Resonant
nan,nan,-57.864758,1.247580,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.406592,-0.655497,0.132737,6977.535645,8754.085938,8883.570312,7471.675293,8259.702148,8297.875000,1.466095,1.286737,1.969489,4.725190,4.263990,5.092985,-0.126841,-0.347392,1.023883,16.147390,37.312767,41.341843,9293.268555,13074.252930,13566.255859,6.672766,11.297750,12.637165,17.360014,14.275597,16.006121,Resonant
nan,nan,-58.739521,0.578184,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.436810,-0.644694,0.138960,7014.616211,8651.800781,8787.545898,7582.005371,8210.795898,8249.430664,1.531193,1.304220,1.976229,5.095362,4.324339,5.141410,-0.092414,-0.349558,1.019454,22.099178,36.426987,40.600739,8561.853516,12826.431641,13351.544922,7.878548,11.078640,12.429985,17.502779,14.424914,16.147306,Resonant
nan,nan,-58.588043,0.511219,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.290787,-0.629975,0.155226,6797.409668,8549.801758,8693.321289,7735.998047,8171.772949,8210.418945,1.710212,1.326804,1.985264,5.630137,4.401445,5.206225,-0.079345,-0.351184,1.014375,26.106615,35.688530,39.927544,8088.585449,12563.122070,13125.171875,8.828604,10.907396,12.255080,21.061026,14.829443,16.545401,Resonant
nan,nan,-58.589981,0.509718,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.509526,-0.615809,0.153798,7082.155762,8354.112305,8507.147461,8011.640137,8138.455078,8176.839355,1.653553,1.373850,2.019267,5.284648,4.534600,5.324420,-0.059961,-0.353013,1.009554,33.892395,34.907455,39.171127,7400.195312,11940.129883,12598.149414,9.778065,10.662946,12.004778,15.326647,15.036413,16.698761,Resonant
nan,nan,-58.590000,0.509705,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.675057,-0.618901,0.154180,8569.966797,8337.206055,8489.679688,8451.507812,8133.483887,8171.665039,1.300803,1.378141,2.026270,4.126215,4.546526,5.337691,-0.045376,-0.353162,1.010278,40.325699,34.816673,39.076298,14068.975586,11912.593750,12566.608398,11.884409,10.631462,11.973821,21.034220,15.390899,17.063272,Resonant
nan,nan,-58.456787,0.528039,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.785495,-0.618113,0.155361,9343.527344,8331.367188,8483.276367,8887.345703,8144.427734,8183.355469,1.239182,1.377681,2.025067,3.894704,4.539906,5.331222,-0.030297,-0.352497,1.010454,56.964569,35.688034,40.136940,14068.975586,11891.941406,12542.721680,14.370352,10.689165,12.041531,20.242430,16.144279,17.735176,Resonant
nan,nan,-58.353249,0.657304,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.679242,-0.614379,0.152703,9648.192383,8310.766602,8459.180664,8883.051758,8153.415039,8192.978516,1.162468,1.382689,2.025630,3.696104,4.546707,5.333002,-0.028352,-0.352131,1.009690,59.399479,36.343452,40.971107,14886.439453,11862.683594,12507.087891,15.122600,10.760341,12.125493,11.005859,16.187416,17.758585,Resonant
