avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.623955,-0.605680,0.115111,8537.046875,8514.035156,8544.313477,8762.784180,8434.025391,8438.809570,1.363866,1.368300,1.977828,4.203111,4.360358,4.982310,-0.034603,-0.048124,0.557720,53.062511,40.534332,42.054089,10454.926758,11251.740234,11661.537109,13.651649,11.941538,12.640731,14.729902,20.714497,25.979748,Resonant_V
nan,nan,-56.779572,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.564603,-0.606569,0.114396,8846.046875,8524.963867,8555.442383,8722.715820,8484.039062,8488.688477,1.337387,1.359359,1.969738,4.150034,4.315334,4.938040,-0.031830,-0.046773,0.559974,56.372192,42.018532,43.671864,11659.609375,11317.136719,11731.909180,14.209388,12.132757,12.841550,14.913421,20.399712,25.776194,Resonant_V
nan,nan,-55.335426,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.555117,-0.602108,0.114141,8666.282227,8510.820312,8540.805664,8661.277344,8486.162109,8490.843750,1.406163,1.363890,1.969780,4.358316,4.326510,4.944501,-0.033374,-0.046255,0.556040,54.435638,42.668716,44.360493,11401.463867,11270.668945,11684.347656,13.931055,12.196028,12.904676,12.091375,20.427778,25.785995,Resonant_V
nan,nan,-56.056496,3.120943,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.639881,-0.593738,0.127520,7945.771484,8463.533203,8495.863281,7786.791504,8469.438477,8474.816406,1.527606,1.377563,1.976116,4.986868,4.378855,4.993358,-0.065418,-0.045358,0.548542,29.287973,43.243332,44.779228,10196.780273,11148.480469,11576.439453,9.859406,12.225651,12.920694,12.201962,20.426109,25.777657,Resonant_V
nan,nan,-56.598209,3.337591,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.136312,-0.577803,0.155684,6648.856445,8423.362305,8461.965820,6674.664551,8410.212891,8422.817383,1.811162,1.387999,1.972209,6.154294,4.428305,5.037864,-2.996231,-0.162640,0.712092,0.722631,42.053810,44.331867,7959.512207,11145.037109,11574.044922,1.753579,11.892544,12.736126,10.654113,19.771852,25.266968,Resonant_V
nan,nan,-56.493034,3.256397,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.630084,-0.601672,0.147380,4506.437500,8268.235352,8351.947266,6394.734863,8273.012695,8305.193359,2.334597,1.437541,2.057510,8.369111,4.653300,5.371297,-0.855059,-0.397555,1.157559,2.799169,39.909298,43.587547,2968.682861,11103.735352,11551.396484,2.502209,11.299006,12.467854,44.245922,17.934036,22.447128,Resonant_V
nan,nan,-56.354359,3.124333,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.581697,-0.604143,0.146503,5429.387695,8203.516602,8303.462891,7144.567383,8230.048828,8265.358398,1.833963,1.448642,2.072313,5.958391,4.695181,5.420577,-0.288679,-0.406420,1.154729,7.823818,39.006466,43.179607,3054.731689,11084.804688,11546.001953,4.398841,11.101576,12.351367,29.480774,16.713846,19.832428,Resonant_V
nan,nan,-56.853970,1.851026,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.404127,-0.597615,0.151548,6159.429199,8139.776855,8249.881836,7096.960938,8183.217285,8221.705078,1.685970,1.458853,2.076475,5.674636,4.739749,5.461037,-0.152874,-0.410157,1.152036,14.118133,38.264359,42.759232,6496.683105,11045.221680,11522.000000,6.025039,10.931609,12.224156,22.160286,15.709309,17.948524,Resonant_V
nan,nan,-57.353897,2.065708,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.244816,-0.559819,0.174725,6381.592773,7908.691406,8037.107422,7224.423828,8071.006836,8114.582520,1.887129,1.511554,2.092838,6.551248,4.945333,5.639706,-0.089981,-0.415365,1.144319,23.663134,36.772331,41.670601,7615.316895,10480.741211,11001.592773,7.926708,10.539076,11.860970,15.104152,15.595454,17.671669,Resonant_V
nan,nan,-57.403908,2.227477,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.255401,-0.544651,0.183799,6026.382812,7786.604980,7921.529297,7317.683594,8025.260742,8069.963867,1.999585,1.541923,2.109227,6.895486,5.057626,5.744146,-0.085471,-0.417038,1.141800,25.483082,36.176868,41.175781,6367.609863,10158.918945,10693.299805,7.829695,10.354183,11.678820,20.281328,15.942434,17.978891,Resonant_V
