avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.718284,-0.686047,0.093769,9825.523438,9619.123047,9626.582031,9216.750977,9143.233398,9144.819336,1.115610,1.145080,1.832048,3.492444,3.568508,4.257425,-0.014157,-0.015609,0.670441,117.238503,109.363556,110.535019,14284.097656,13661.103516,13697.379883,19.175997,18.435766,19.142933,11.572995,13.791278,14.721762,Restricted
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.823242,-0.689878,0.097275,9767.682617,9629.882812,9637.346680,9338.952148,9149.774414,9151.439453,1.117204,1.143482,1.834287,3.466532,3.565323,4.258117,-0.014060,-0.015437,0.674444,118.601196,110.394226,111.526588,13853.853516,13697.244141,13732.701172,19.070560,18.492823,19.203438,19.048752,14.032853,14.997299,Restricted
nan,nan,-58.167187,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.578490,-0.690026,0.094336,9407.848633,9656.880859,9663.416016,8924.295898,9160.708008,9162.189453,1.189735,1.140213,1.831044,3.768411,3.556538,4.249046,-0.015777,-0.015011,0.675016,108.744766,112.566452,113.460030,14198.048828,13712.732422,13748.262695,18.072149,18.658684,19.359240,11.230762,14.014274,14.981194,Restricted
nan,nan,-56.392040,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.673382,-0.688746,0.094336,9041.295898,9626.884766,9634.137695,9084.799805,9155.191406,9156.673828,1.183708,1.141486,1.831055,3.654557,3.561422,4.252687,-0.017060,-0.015033,0.673714,103.491608,112.673347,113.555588,12348.000000,13650.777344,13688.995117,16.992218,18.602083,19.304121,19.586952,14.323037,15.314564,Restricted
nan,nan,-53.541187,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.405232,-0.662446,0.137184,5835.093750,9333.335938,9380.946289,6313.020020,8942.652344,8972.702148,1.901651,1.192123,1.863289,6.445437,3.745050,4.456210,-4.722167,-0.241272,1.023959,0.512456,104.089668,109.239861,7185.073242,13096.624023,13231.695312,1.232047,17.215393,18.458511,12.358039,14.334339,15.291763,Restricted
nan,nan,-55.710060,3.092848,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.557247,-0.653920,0.136834,4277.034668,9132.109375,9234.074219,5470.765137,8794.842773,8851.304688,2.513919,1.244349,1.924317,9.880191,3.992468,4.844069,-1.567990,-0.303286,1.028887,1.559703,100.228729,107.432762,3528.000000,12736.940430,13011.719727,1.599971,16.574228,18.089899,28.442184,14.841015,16.020267,Restricted
nan,nan,-57.718697,1.447021,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.286769,-0.623478,0.158605,6046.190918,8785.808594,8943.606445,6807.855469,8596.738281,8672.713867,1.730037,1.307686,1.964422,5.919738,4.233580,5.088637,-0.137465,-0.319272,1.011141,15.819270,92.292450,102.710800,7314.146484,12039.945312,12492.661133,5.878246,15.487587,17.308804,18.580204,16.070660,17.654478,Restricted
nan,nan,-58.956261,0.617989,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.210902,-0.607283,0.178044,5437.520996,8643.738281,8828.252930,6490.905762,8487.548828,8573.216797,2.183015,1.346655,1.994033,8.283029,4.419188,5.308120,-0.108801,-0.322953,1.004393,20.740482,88.892380,100.560028,6023.414551,11835.150391,12351.124023,6.258992,15.025670,16.952749,22.356905,16.380285,17.971197,Restricted
nan,nan,-58.723251,0.471252,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.069249,-0.589099,0.206567,5190.025391,8304.574219,8540.076172,6642.747559,8397.112305,8490.797852,2.420619,1.395917,2.035018,9.293027,4.641894,5.581697,-0.087060,-0.325790,0.997871,26.098089,85.659538,98.362755,6453.658691,11559.793945,12128.473633,6.896593,14.583706,16.592991,21.892223,16.675682,18.260527,Restricted
nan,nan,-58.723495,0.471057,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.255344,-0.544110,0.231978,6565.760254,8184.365234,8425.689453,7887.641113,8246.269531,8344.573242,1.847530,1.479033,2.080377,6.028825,4.970923,5.901217,-0.045677,-0.329527,0.985047,46.067001,79.676102,93.629768,6625.755859,10974.662109,11640.393555,10.545033,13.814959,15.885321,19.411131,16.883278,18.454803,Restricted
nan,nan,-58.723522,0.471038,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.485784,-0.535494,0.229975,7357.909180,8103.666016,8345.158203,8302.845703,8221.749023,8319.225586,1.646878,1.494914,2.087149,5.160643,5.018451,5.934171,-0.034790,-0.330315,0.982797,57.359913,77.410797,91.512619,7228.097656,10723.398438,11414.363281,12.555029,13.582254,15.641290,18.196625,17.138832,18.660683,Restricted
