avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.342979,-0.576855,0.228064,7181.070801,8674.446289,8915.435547,8655.780273,8737.837891,8762.884766,1.433088,1.333935,1.964132,4.410332,4.365444,5.234285,-0.037295,-0.026104,0.551009,54.192467,84.759186,88.708870,3398.926758,11289.599609,12561.666016,11.945418,15.570728,16.620594,56.352104,27.644386,37.358982,Restricted_V
nan,nan,-58.726482,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.639167,-0.575962,0.227774,8551.141602,8635.113281,8875.447266,8939.280273,8740.295898,8765.380859,1.237596,1.338558,1.967393,3.857019,4.374690,5.241064,-0.026134,-0.026352,0.549866,70.198746,84.156425,88.174294,9981.658203,11095.129883,12368.001953,14.510677,15.483384,16.534483,24.083618,28.138983,37.602135,Restricted_V
nan,nan,-57.465282,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.770000,-0.576202,0.227975,8148.023438,8578.688477,8818.981445,8743.917969,8724.497070,8749.250000,1.340261,1.348787,1.976903,4.207475,4.406129,5.267561,-0.029529,-0.026793,0.549664,63.991013,83.054176,87.189667,8733.951172,10861.077148,12145.339844,13.533476,15.342103,16.398506,27.431341,28.586637,37.868187,Restricted_V
nan,nan,-56.898376,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.678258,-0.575763,0.227768,9194.149414,8587.947266,8828.506836,8664.366211,8712.797852,8737.459961,1.198070,1.348143,1.975895,3.821542,4.408394,5.269026,-0.026149,-0.026981,0.549037,66.765831,82.410332,86.630730,14025.951172,10864.519531,12149.301758,14.857813,15.299511,16.356558,16.413158,28.561705,37.856453,Restricted_V
nan,nan,-54.331078,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.810271,-0.577725,0.230030,7636.026855,8464.750977,8701.919922,6879.886719,8613.764648,8645.774414,1.582435,1.376890,2.004577,5.350518,4.504258,5.358246,-0.203578,-0.034763,0.544305,9.612197,78.024658,83.616898,11315.415039,10639.072266,11898.166992,5.285316,14.708884,15.892360,10.195939,28.431900,37.814941,Restricted_V
nan,nan,-56.327816,3.305496,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.061586,-0.556190,0.251170,6541.525391,8365.209961,8612.370117,6434.188477,8513.907227,8556.554688,1.767156,1.400905,2.007929,6.107596,4.600143,5.435113,-3.891679,-0.189644,0.840744,0.573672,74.445305,81.608925,8045.561035,10425.670898,11704.414062,1.508063,14.125033,15.523425,9.902259,28.123247,37.681343,Restricted_V
nan,nan,-55.448711,3.317834,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.549735,-0.551686,0.249937,4507.343262,7988.553223,8286.728516,6257.752930,8272.125977,8337.902344,2.303725,1.484561,2.093992,8.331188,4.950941,5.823985,-0.522860,-0.346835,1.007369,4.564569,66.862839,76.759781,3097.756104,9706.302734,11121.080078,3.023854,12.875299,14.642170,43.293995,29.269260,38.565975,Restricted_V
nan,nan,-55.503353,3.274830,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.330338,-0.541135,0.253466,5470.038574,7805.126465,8113.056152,6521.861816,8164.694824,8235.926758,1.918119,1.519614,2.117459,6.776680,5.086484,5.943673,-0.259840,-0.356602,1.001350,8.670285,63.052700,73.875015,7142.048828,9393.085938,10805.148438,4.405553,12.302825,14.151079,23.880711,29.515387,38.693825,Restricted_V
nan,nan,-57.416302,1.297910,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.033487,-0.493626,0.278899,5743.157715,7469.122559,7766.014648,5846.076172,7925.718262,8013.261230,2.296891,1.604482,2.153515,9.742709,5.484534,6.322481,-0.136168,-0.366840,0.989424,16.262241,56.302174,68.347656,8045.561035,8826.884766,10173.435547,5.348175,11.285849,13.191458,16.326296,29.809570,38.767384,Restricted_V
nan,nan,-57.282143,0.929882,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.009831,-0.461028,0.285828,5252.163574,7268.508301,7562.859375,6102.618164,7806.207520,7899.114258,2.529262,1.663855,2.183771,10.464197,5.769342,6.616674,-0.124898,-0.371235,0.984032,18.264273,52.774029,64.995193,7916.487793,8537.760742,9840.245117,5.632330,10.755254,12.638953,25.999332,30.386713,39.027569,Restricted_V
