avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-59.505684,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.718352,-0.561875,0.166130,8824.406250,8635.625000,8650.560547,8893.889648,8556.935547,8592.608398,1.255197,1.387321,1.967452,3.893741,4.535439,5.308976,-0.023699,-0.029007,0.532995,75.765945,68.469070,70.623253,9723.511719,10583.999023,10692.295898,15.355003,14.317759,15.049904,34.406818,23.665197,25.532965,Rich4notes
nan,nan,-55.835743,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.600494,-0.574642,0.156336,7915.946777,8622.087891,8636.807617,8604.814453,8656.519531,8678.305664,1.471100,1.360907,1.947688,4.557066,4.359010,5.071725,-0.030900,-0.028032,0.546698,62.122482,69.329124,71.129433,7658.341309,10396.414062,10520.125000,13.492630,14.485259,15.178159,38.261219,25.353020,27.321720,Rich4notes
nan,nan,-54.548412,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.597133,-0.598838,0.101532,8428.390625,8662.215820,8673.583984,8610.903320,8762.358398,8766.768555,1.271221,1.320087,1.921825,4.016891,4.126567,4.739745,-0.028652,-0.026426,0.572434,64.529671,70.755913,72.095322,8217.658203,10386.087891,10511.953125,13.720139,14.735586,15.385321,44.583244,26.376328,28.531086,Rich4notes
nan,nan,-55.734726,3.021797,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.406121,-0.605646,0.098585,5507.678223,8481.637695,8523.734375,6028.632812,8602.189453,8632.902344,2.145123,1.360071,1.976839,7.785633,4.300816,4.983502,-5.532761,-0.272889,1.131637,0.457054,66.268379,70.175446,6797.853516,10136.545898,10298.517578,1.166301,13.844744,14.908868,13.263371,26.299973,28.497341,Rich4notes
nan,nan,-56.480518,3.057180,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.801200,-0.618162,0.102671,4488.232422,8302.210938,8380.845703,5705.775391,8482.494141,8532.466797,2.551567,1.411057,2.053164,9.997439,4.539247,5.347823,-2.557034,-0.374157,1.193901,0.964309,63.503399,68.748726,3528.000000,9763.093750,9996.875977,1.482354,13.291216,14.582558,24.489536,26.674685,28.776346,Rich4notes
nan,nan,-56.767830,2.906888,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.714847,-0.625226,0.103004,5498.226562,8161.290527,8257.869141,7301.691895,8418.655273,8471.651367,1.890188,1.437331,2.087852,6.013592,4.626398,5.444208,-0.371970,-0.388065,1.190385,6.049983,60.831558,67.180016,3140.780518,9439.550781,9761.552734,4.117438,12.844330,14.269408,40.029732,27.310768,29.496927,Rich4notes
nan,nan,-57.935482,0.901031,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.301354,-0.606388,0.128014,5974.452148,7919.265137,8034.703613,6963.434082,8260.188477,8320.304688,1.841791,1.479867,2.112507,6.426847,4.805432,5.607768,-0.128171,-0.398585,1.182206,17.034260,55.895405,63.677532,6582.731934,9048.889648,9398.512695,6.354585,12.066302,13.618169,29.060957,28.199152,30.219538,Rich4notes
nan,nan,-58.490856,0.562719,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.231181,-0.589032,0.146901,5603.628906,7795.016113,7923.231934,6868.249023,8169.187012,8232.252930,2.120958,1.513434,2.131744,7.615388,4.955124,5.758089,-0.103317,-0.401801,1.177844,21.625341,53.599499,61.798737,6453.658691,8890.559570,9255.334961,6.792390,11.705774,13.283182,23.428286,28.335838,30.303785,Rich4notes
nan,nan,-58.395203,0.551807,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.269379,-0.544753,0.179316,6129.770996,7557.301270,7696.727051,7390.827637,8033.177734,8097.463379,1.968361,1.575792,2.153191,6.682595,5.213212,5.983933,-0.076176,-0.406737,1.169550,28.375694,49.298050,57.906158,6668.780273,8523.992188,8896.438477,8.111168,11.072824,12.640738,19.939219,28.833742,30.580290,Rich4notes
nan,nan,-58.395344,0.551795,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.432770,-0.538493,0.180381,7393.237305,7472.681152,7603.233398,7955.364258,7997.550781,8060.408691,1.586064,1.591228,2.160869,5.056379,5.262685,6.018954,-0.053925,-0.408071,1.168256,36.906670,47.463516,55.955090,8131.609863,8312.312500,8636.171875,10.233161,10.816610,12.348359,17.818403,29.052429,30.685822,Rich4notes
nan,nan,-58.395363,0.551793,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.522523,-0.525921,0.176598,8118.396484,7381.846680,7503.158203,8416.029297,7946.319824,8005.186523,1.420907,1.608930,2.164123,4.399421,5.316254,6.049757,-0.043924,-0.410114,1.166059,43.060287,44.152451,52.112843,10325.853516,8153.982910,8455.482422,11.827528,10.445844,11.903742,16.598686,28.591219,30.303041,Rich4notes
nan,nan,-58.395363,0.551793,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.540023,-0.524779,0.176411,8941.877930,7395.345215,7518.924316,8540.551758,7936.663086,7994.727539,1.267438,1.607904,2.162140,4.024135,5.314960,6.047677,-0.035596,-0.410571,1.165752,49.988621,43.131313,50.856815,13036.390625,8310.591797,8658.254883,13.018955,10.359100,11.795604,17.125988,27.773840,29.540661,Rich4notes
nan,nan,-58.456120,0.521714,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.562948,-0.529800,0.175749,8891.636719,7443.616699,7573.480469,8507.308594,7946.948730,8005.288574,1.253091,1.602350,2.161773,4.037834,5.301409,6.039573,-0.034418,-0.410144,1.166435,51.905781,43.528194,51.249989,12864.292969,8446.548828,8833.605469,13.197954,10.460958,11.913991,14.964848,26.572206,28.632212,Rich4notes
nan,nan,-58.084148,0.859073,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.530948,-0.532783,0.175109,8218.249023,7438.631836,7568.031738,8486.579102,7933.776855,7991.043945,1.364384,1.603084,2.165355,4.301844,5.307815,6.047491,-0.038624,-0.410588,1.166554,48.619118,42.766674,50.373268,10024.682617,8518.830078,8907.934570,12.520656,10.378177,11.818474,26.432915,26.141844,28.144714,Rich4notes
nan,nan,-57.834240,1.352048,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.501630,-0.532029,0.175201,8266.728516,7451.462402,7581.761230,8373.881836,7922.391113,7978.898926,1.449220,1.602361,2.163946,4.614354,5.310938,6.049399,-0.037591,-0.410941,1.166324,49.792751,42.095325,49.583889,10584.000000,8628.972656,9021.065430,12.718950,10.332669,11.764440,21.693357,25.572632,27.544195,Rich4notes
nan,nan,-57.676788,2.034138,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.085979,-0.495315,0.181853,4062.437012,7237.333008,7391.517090,4613.200195,7737.645508,7817.738770,3.306517,1.687280,2.234813,17.462509,5.864837,6.957870,-0.282048,-0.421888,1.159796,8.662887,38.430241,45.936279,4044.292725,8343.290039,8779.234375,3.045636,9.755671,11.212893,13.985950,24.523413,26.637897,Rich4notes
nan,nan,-57.505222,2.629253,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.630782,-0.444917,0.283792,2851.418457,7013.180176,7217.976074,2919.684326,7505.916992,7643.327637,3.170023,1.758712,2.272843,20.698719,6.519799,8.046464,-3.257802,-0.551219,1.284402,0.843929,35.454296,43.326012,3571.024414,8100.632324,8594.694336,0.560111,9.186596,10.745151,22.662865,24.150642,26.198406,Rich4notes
nan,nan,-56.564953,3.855029,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.132588,-0.394908,0.294397,3284.895020,6538.886719,6820.121582,5406.804199,7153.337402,7330.065430,2.952076,1.930660,2.431316,12.687506,7.639169,9.572836,-0.429972,-0.653538,1.333591,5.939959,29.553139,37.301205,1419.804932,7472.475586,8129.627441,2.778281,8.093197,9.731573,66.692886,26.138647,29.460407,Rich4notes
nan,nan,-55.928856,4.383106,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.008858,-0.370327,0.301346,3622.390137,6363.063965,6668.354980,5678.265625,7034.837402,7213.364746,3.008365,1.994159,2.475046,13.260463,7.993224,9.887520,-0.218636,-0.661084,1.337188,11.465980,27.469915,35.101238,2968.682861,7257.353516,7978.479492,4.059591,7.711926,9.342092,52.728329,26.748350,30.365555,Rich4notes
nan,nan,-55.555260,3.659834,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.465366,-0.341780,0.301874,6027.239258,6129.966309,6432.560547,7330.636719,6908.231445,7075.333984,1.823099,2.059700,2.505972,6.107460,8.285420,10.065845,-0.104146,-0.667989,1.342306,20.924046,23.987514,30.637383,4732.683105,6940.694336,7740.847168,7.168985,7.145626,8.663539,25.385599,25.710686,29.107683,Rich4notes
nan,nan,-55.597527,3.341289,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.163275,-0.321847,0.296503,7045.145508,6146.540039,6450.136230,6622.393066,6912.446289,7079.226074,1.334892,2.040189,2.471921,4.467987,8.215287,10.009141,-0.307215,-0.652531,1.345238,6.636888,24.132086,30.645868,12993.366211,7143.770020,8010.420898,4.096240,7.192595,8.667105,21.168139,26.033918,29.283092,Rich4notes
nan,nan,-55.715286,3.105522,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.359588,-0.359986,0.359516,10081.793945,6329.504395,6667.621582,9772.241211,7062.189941,7244.458496,1.032349,1.995678,2.473568,2.848225,8.017791,9.929411,-0.360872,-0.445655,0.845927,4.505804,24.294035,30.691305,9336.292969,7245.307617,8112.070801,6.034458,7.387321,8.788385,19.234247,26.272755,29.452419,Rich4notes
nan,nan,-56.159878,2.851953,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.168257,-0.419827,0.476498,7576.787598,6739.221680,7151.445312,9962.631836,7386.048828,7614.706543,1.509379,1.901304,2.454739,4.083614,7.620443,9.728688,-0.466655,-0.374322,0.727254,4.225006,24.257929,30.728415,3743.122070,7830.439453,8820.468750,5.442558,7.603143,8.944266,33.186516,25.484936,28.833326,Rich4notes
nan,nan,-56.525715,2.856024,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.913136,-0.440806,0.486113,8290.255859,6830.819336,7242.410645,9038.573242,7464.240234,7697.062012,1.318557,1.884772,2.461415,3.838370,7.543271,9.704422,-0.202027,-0.375138,0.728588,9.274203,24.148775,30.705902,8733.951172,7926.813965,8902.378906,7.149725,7.673854,9.015843,23.233952,25.173725,28.553301,Rich4notes
nan,nan,-56.336941,2.922802,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.571858,-0.468166,0.485150,6696.105469,6917.482422,7317.784180,8410.461914,7540.277344,7771.276367,1.638250,1.859910,2.463943,5.055859,7.415751,9.637916,-0.074063,-0.378333,0.730465,28.369625,24.081333,30.805477,4173.365723,7944.022949,8944.540039,9.046338,7.735984,9.103835,32.475380,25.082373,28.559256,Rich4notes
nan,nan,-56.336983,2.922840,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.415603,-0.481363,0.479015,6713.035645,6954.483887,7349.335938,8271.945312,7587.242676,7817.597168,1.635525,1.839715,2.457019,5.176657,7.320264,9.580668,-0.057524,-0.376963,0.732965,36.449364,24.576801,31.306297,4818.731934,7876.904785,8901.992188,10.194714,7.843986,9.225560,43.129353,25.860619,29.479549,Rich4notes
nan,nan,-56.137020,2.910801,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.707621,-0.504778,0.479011,9477.255859,7118.163086,7521.004395,8920.489258,7677.982422,7912.355469,1.196429,1.798787,2.444952,3.773728,7.168905,9.511167,-0.031458,-0.374716,0.738043,54.409740,25.928833,33.078346,13552.682617,8184.959961,9239.738281,14.492643,8.177023,9.661806,12.546641,25.898911,29.587187,Rich4notes
nan,nan,-55.967323,2.940410,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.644582,-0.511133,0.479769,9300.586914,7191.143066,7601.974121,8963.789062,7706.178223,7942.991211,1.171782,1.783923,2.439581,3.657242,7.122559,9.493144,-0.033221,-0.374029,0.739626,52.117878,26.442661,33.793442,13466.633789,8412.128906,9497.438477,14.227730,8.312354,9.848466,12.758990,25.548931,29.383446,Rich4notes
