avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-704.202576,19.494955,-48.891338,4.350643,0.031691,0.018647,0.013302,0.065784,0.043632,0.016298,0.902525,0.937721,0.020544,-0.127835,-0.080899,0.501850,3810.246826,5806.800781,6339.266113,6499.591797,6816.940430,7169.251465,2.823059,2.590171,2.969047,11.157293,13.266169,17.041534,-0.158145,-0.197641,0.239260,15.667458,32.569271,40.483791,1764.000000,5582.845215,6278.685547,4.883357,8.199556,9.895259,125.448334,61.243031,70.085983,Rich
-701.175232,18.814936,-48.777382,4.028570,-0.000000,0.017605,0.013416,0.043468,0.045463,0.015857,0.956532,0.936932,0.021109,-0.199269,-0.046296,0.477840,4194.403809,5461.337402,5989.204102,7002.470215,6640.959961,6971.046875,2.531354,2.696648,3.009448,9.202601,13.738765,17.204140,-0.132373,-0.206061,0.259281,18.319855,29.727310,37.887909,1764.000000,5216.277344,6036.893555,5.577473,7.569074,9.249692,124.317749,66.882614,76.730850,Rich
-700.701843,18.082235,-48.806351,3.853541,0.022759,0.018035,0.012924,0.035748,0.044653,0.015418,0.941493,0.937312,0.020249,-0.156538,-0.032378,0.469283,4091.929932,5303.615723,5827.326172,6973.457520,6563.245117,6881.892090,2.558147,2.743887,3.028132,9.372571,13.946400,17.275032,-0.123643,-0.209633,0.268702,19.730427,28.299665,36.431885,1720.975586,5013.202148,5891.855957,5.723437,7.271253,8.927441,126.775520,70.009796,80.214592,Rich
-705.319702,21.871086,-48.994209,3.574979,-0.000000,0.016811,0.012844,0.166126,0.054649,0.034382,0.833874,0.928540,0.032643,-0.062405,-0.013186,0.457888,6268.149414,5139.135254,5632.367676,6718.434570,6403.990723,6695.626953,1.966325,2.794667,3.039770,6.570433,14.161705,17.329275,-3.038314,-0.333994,0.667876,0.730552,24.671825,33.247894,7056.000000,4940.921387,5852.802246,1.725280,6.539387,8.205646,13.171144,70.622063,81.251923,Rich
-705.319702,21.871086,-49.131027,3.486277,nan,0.016811,0.012844,nan,0.054649,0.034382,nan,0.928540,0.032643,-0.609274,-0.011538,0.455660,5259.373535,5011.892090,5475.429688,6177.042480,6292.629395,6568.532227,2.275273,2.832916,3.060933,8.217669,14.329776,17.387268,-4.470884,-0.511545,1.114689,0.555310,22.392021,31.190044,3958.243896,4749.892578,5641.870605,1.353331,6.042768,7.732375,14.230654,69.750916,80.980583,Rich
-705.319702,21.871086,-49.469685,3.405441,nan,0.016811,0.012844,nan,0.054649,0.034382,nan,0.928540,0.032643,-0.461070,-0.001700,0.442742,5429.287598,4692.187988,5066.177246,7342.815918,6104.430176,6340.795898,1.979220,2.917194,3.102524,6.410572,14.690277,17.514290,-0.231304,-0.545145,1.128001,9.765969,18.246593,26.507586,3226.829346,4204.343750,4963.435059,5.004920,5.198372,6.654293,31.787502,69.881989,81.024902,Rich
-705.319702,21.871086,-49.779724,3.431671,nan,0.016811,0.012844,nan,0.054649,0.034382,nan,0.928540,0.032643,-0.267940,0.012347,0.428265,5828.641113,4587.023926,4915.649414,7382.960938,6034.808594,6249.506348,1.886067,2.939663,3.100876,6.222141,14.780852,17.528767,-0.156223,-0.550118,1.135302,14.109566,16.496862,24.005575,4302.438965,4013.315430,4698.883301,6.198898,4.892738,6.165775,37.792355,70.369667,81.203293,Rich
-705.319702,21.871086,-50.157539,3.685049,nan,0.016811,0.012844,nan,0.054649,0.034382,nan,0.928540,0.032643,-0.281799,0.018878,0.422444,5599.614746,4496.017090,4789.289551,7151.246094,5972.237305,6169.557617,2.020879,2.962297,3.107258,7.090766,14.883945,17.557253,-0.124132,-0.553727,1.138862,17.995016,14.946992,21.454105,3484.975586,3824.008057,4456.912109,6.716504,4.636470,5.733975,53.500618,71.405701,81.713158,Rich
-705.319702,21.871086,-50.947048,4.404733,nan,0.016811,0.012844,nan,0.054649,0.034382,nan,0.928540,0.032643,-0.202677,0.037832,0.402454,6537.414062,4290.857422,4463.782227,6684.907227,5814.082031,5964.186523,1.733112,3.006191,3.112047,6.357337,15.100307,17.608921,-0.158249,-0.562016,1.149389,13.308425,11.329532,13.192434,11057.268555,3624.374268,4183.973633,5.946315,4.007208,4.431190,20.756245,72.488762,82.237968,Rich
-705.319702,21.871086,-50.633953,4.155046,nan,0.016811,0.012844,nan,0.054649,0.034382,nan,0.928540,0.032643,-0.311583,0.027725,0.407893,6083.439941,4284.954590,4455.642090,7003.323730,5823.615723,5975.189941,1.846413,2.986668,3.108762,6.496694,15.013075,17.580097,-0.128648,-0.564134,1.144387,16.851435,10.868972,12.388267,5593.170898,3626.095215,4186.273438,6.546892,3.962130,4.367750,34.582775,72.847389,82.377899,Rich
