avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1668.709839,389.920197,-42.955215,8.184656,nan,0.005563,0.012538,nan,0.067140,0.038187,nan,0.927297,0.040595,-0.624061,0.087976,0.341766,7797.077148,3011.794922,3438.051270,8904.062500,5457.743652,5684.230957,1.419511,3.608229,3.690229,4.334755,18.163141,20.059483,-0.049082,-0.579015,0.759619,39.449413,10.108892,14.693370,6496.683105,1536.831421,2109.956543,11.791338,3.265548,4.427779,40.976601,140.808502,153.233307,Smooth
-1668.709839,389.920197,-43.511665,8.537865,nan,0.005563,0.012538,nan,0.067140,0.038187,nan,0.927297,0.040595,-0.561607,0.019009,0.374759,7471.987305,3483.168213,4068.296875,8987.945312,5822.131836,6097.011230,1.417154,3.381863,3.584068,4.255232,16.684511,19.061354,-0.048686,-0.532946,0.676253,40.660988,13.146222,18.957411,3183.804932,1927.492554,2766.264893,11.618210,4.108564,5.619121,68.437958,136.032837,150.772003,Smooth
-1631.846313,366.967224,-44.074711,8.882503,nan,0.005872,0.012810,nan,0.070870,0.035706,nan,0.923258,0.037809,-0.648776,-0.013915,0.395263,7346.868652,3670.235596,4292.451172,8763.318359,5975.308105,6266.739746,1.502660,3.305911,3.562790,4.591835,16.262775,18.870672,-0.048823,-0.506122,0.634190,40.895851,14.634892,20.655451,3269.853760,1939.539429,2779.838135,11.076044,4.483658,6.053681,74.559608,135.348206,150.423843,Smooth
-1571.606689,344.699677,-45.010731,9.296679,nan,0.006606,0.013408,nan,0.063673,0.022004,nan,0.929721,0.027356,-0.834099,-0.088644,0.426914,7577.381836,4079.568848,4755.580078,7371.301270,6244.355469,6537.913574,1.481433,3.122797,3.495619,4.610397,15.229361,18.326242,-0.454200,-0.445015,0.519965,4.328689,16.232433,22.277601,8131.609863,2221.779297,3256.742188,4.248837,5.011949,6.576734,11.231009,129.743805,147.974060,Smooth
-1616.263794,307.946259,-44.981800,9.245159,nan,0.005625,0.013280,nan,0.062908,0.022519,nan,0.931467,0.027377,-0.556452,-0.128286,0.422476,6361.761230,4232.448242,4896.608398,6878.111328,6344.144531,6623.337402,1.762614,3.034149,3.455986,5.659833,14.655461,17.949646,-4.302814,-0.572154,0.949243,0.535689,16.158564,22.301403,6969.951172,2383.551025,3493.911865,1.627094,5.032477,6.612181,11.519301,125.724022,146.318192,Smooth
-1668.635620,245.891174,-45.105637,9.396804,nan,0.004701,0.013272,nan,0.062997,0.023306,nan,0.932302,0.028153,-0.833939,-0.173994,0.434367,4887.976562,4324.558594,4966.442383,6123.501953,6409.399414,6675.471680,2.252596,2.967197,3.434825,8.094648,14.206788,17.637764,-2.339141,-0.621661,1.007811,1.024950,16.102608,22.330048,3872.195068,2428.296387,3536.117188,1.731185,5.054571,6.653328,24.099207,121.890831,144.454483,Smooth
-1708.001343,97.053276,-45.795677,9.978125,nan,0.004197,0.013921,nan,0.065276,0.024439,nan,0.930526,0.029846,-0.500741,-0.239932,0.417892,7040.769531,4609.492188,5215.857910,7828.179199,6622.596680,6867.234863,1.413834,2.807046,3.357359,4.322136,13.282062,17.076967,-0.156985,-0.558091,0.953405,12.991055,16.674822,22.559425,7314.146484,2626.208740,3798.515381,6.591198,5.389282,6.886805,19.887825,115.787064,141.591492,Smooth
-1692.152832,85.215004,-46.512016,10.387481,nan,0.004579,0.014480,nan,0.060578,0.019663,nan,0.934843,0.027351,-0.532549,-0.277003,0.400746,6901.559570,4790.898926,5374.652344,7654.541504,6741.312500,6973.130859,1.528067,2.712153,3.306274,4.979306,12.738982,16.719574,-0.114002,-0.525221,0.932991,18.053713,17.281664,22.874098,8002.536621,2858.540527,4098.545898,7.571180,5.639781,7.085902,17.680912,113.664719,140.953613,Smooth
-1662.248535,60.427315,-46.839233,10.442740,nan,0.000000,0.000000,nan,0.053652,0.012707,nan,0.946348,0.012707,-0.271524,-0.320616,0.364381,6713.941895,5126.723633,5627.809570,7771.628418,6968.387695,7166.619629,1.795752,2.542442,3.171659,5.956500,11.638977,15.806471,-0.074583,-0.472580,0.916276,27.938414,18.873297,23.887833,7615.316895,3259.527588,4462.823730,8.968996,6.157588,7.485009,16.554705,106.762512,137.962814,Smooth
-1660.315796,63.830059,-47.289925,10.381433,nan,0.000000,0.000000,nan,0.053362,0.013450,nan,0.946638,0.013450,-0.443683,-0.338104,0.359342,7555.916504,5346.299316,5812.523438,8131.018555,7102.513184,7286.438477,1.537517,2.443743,3.089673,4.875432,11.017635,15.301396,-0.064953,-0.454442,0.914460,30.313526,19.875706,24.650166,8776.975586,3583.071045,4793.702637,10.082406,6.482311,7.770692,17.314430,101.989998,135.275894,Smooth
