avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.716880,-0.655149,0.071149,10023.715820,9198.542969,9211.982422,9187.792969,9047.912109,9049.940430,1.067968,1.182598,1.839864,3.427305,3.696478,4.357946,-0.017299,-0.022410,0.632748,94.377014,79.285652,80.470711,15187.609375,12342.838867,12464.825195,17.807613,15.935916,16.626867,21.240185,20.598574,21.676310,Smooth_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.621593,-0.651116,0.070071,9424.309570,9196.735352,9210.125000,9031.904297,9043.225586,9045.226562,1.121736,1.182295,1.835542,3.590140,3.697840,4.355240,-0.019623,-0.022286,0.628840,87.382118,79.759216,80.948517,14499.219727,12422.003906,12550.333984,16.546745,15.952322,16.639606,21.004433,20.841372,21.879969,Smooth_V
nan,nan,-58.992664,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.677823,-0.647681,0.065741,9123.783203,9182.011719,9195.176758,9225.178711,9047.024414,9049.077148,1.177267,1.188056,1.837694,3.575284,3.704644,4.358329,-0.019808,-0.021942,0.625749,88.572998,81.070320,82.227867,10024.682617,12169.019531,12295.145508,16.532677,16.015402,16.699659,23.336046,21.318110,22.331465,Smooth_V
nan,nan,-57.406166,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.778081,-0.650970,0.069988,9751.726562,9243.446289,9255.012695,9054.265625,9056.432617,9058.368164,1.112644,1.177643,1.830236,3.540704,3.678348,4.334273,-0.018119,-0.021467,0.629510,92.141205,82.248489,83.342102,15058.536133,12365.209961,12494.694336,17.076660,16.150167,16.831882,14.103256,21.134850,22.194405,Smooth_V
nan,nan,-55.121937,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.281828,-0.644302,0.098282,6225.979004,9111.989258,9148.132812,6401.876465,8881.132812,8908.938477,1.813286,1.207699,1.859141,6.111114,3.803198,4.486273,-4.669776,-0.226612,1.003199,0.501975,77.140488,81.176971,7873.463379,12196.554688,12366.863281,1.286481,15.211168,16.326918,10.068569,20.199142,21.404186,Smooth_V
nan,nan,-54.081085,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.700233,-0.650093,0.097135,4981.552734,8963.877930,9036.823242,5873.307129,8755.620117,8803.460938,2.178766,1.246014,1.912580,7.969172,3.972530,4.730792,-2.402910,-0.321678,1.057643,0.992145,74.413635,79.973450,5292.000000,12026.178711,12264.187500,1.498732,14.696489,16.059814,23.127735,19.951349,21.096485,Smooth_V
nan,nan,-57.219692,2.869843,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.409185,-0.631531,0.111590,5259.924316,8667.335938,8813.521484,6671.466797,8566.652344,8636.843750,1.905229,1.310070,1.971283,6.513566,4.233729,5.049306,-0.197059,-0.342990,1.042778,11.580930,69.605972,77.545547,3743.122070,11465.139648,11960.916016,4.850086,13.855675,15.510975,27.690058,20.826147,22.462502,Smooth_V
nan,nan,-58.911324,0.855050,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.219023,-0.613040,0.137178,5515.103516,8505.374023,8673.833984,6727.944336,8473.441406,8551.210938,1.955801,1.343938,1.989929,6.974621,4.372037,5.190042,-0.125636,-0.347136,1.035657,17.880110,67.235535,76.043190,5464.097656,11086.525391,11633.627930,5.993836,13.450339,15.185238,27.138168,21.242817,22.859497,Smooth_V
nan,nan,-59.058563,0.928133,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.330758,-0.603183,0.147840,5777.647949,8367.887695,8554.167969,6997.621094,8396.704102,8479.490234,2.065953,1.379636,2.019912,7.357093,4.518175,5.350799,-0.085440,-0.349611,1.031855,25.857710,65.310822,74.744621,6625.755859,10821.495117,11404.941406,7.466547,13.130296,14.919396,18.534376,21.210505,22.822422,Smooth_V
nan,nan,-58.245949,2.341959,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.308210,-0.572568,0.178376,6113.237305,8097.712891,8309.959961,7512.091797,8248.825195,8334.980469,2.058089,1.456814,2.073889,7.121509,4.827945,5.666632,-0.064291,-0.353489,1.022768,33.668083,61.425568,71.734886,6238.536621,10380.925781,11048.208984,8.937537,12.508398,14.344013,26.714172,21.267454,22.868160,Smooth_V
nan,nan,-58.288593,2.587210,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.400236,-0.559671,0.178713,6502.807129,7968.439453,8182.664062,7800.178223,8182.536133,8266.051758,1.950892,1.491583,2.095995,6.388266,4.952066,5.771586,-0.055504,-0.354912,1.019354,38.041290,59.590210,70.131218,5033.853516,10055.660156,10776.952148,9.661545,12.214777,14.044779,24.724052,21.578926,23.145506,Smooth_V
nan,nan,-57.964512,2.621211,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.730159,-0.559726,0.183551,9888.831055,7919.823242,8131.124512,8986.552734,8145.650391,8226.625977,1.171176,1.507331,2.110032,3.653924,4.999838,5.809858,-0.024918,-0.355758,1.018924,66.254425,57.617306,68.110474,13552.682617,9897.331055,10608.297852,15.953925,11.997558,13.802314,21.392828,22.199247,23.681347,Smooth_V
nan,nan,-57.976048,2.458596,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.275140,-0.521744,0.244135,3604.437012,7708.649902,7967.257324,3772.764893,7936.185547,8062.204102,3.163633,1.582322,2.169977,19.498880,5.621569,6.968839,-0.622157,-0.379824,1.007227,4.033609,54.290279,65.784332,4517.561035,9635.742188,10414.451172,1.703400,11.411054,13.354463,19.309790,22.213057,23.656324,Smooth_V
nan,nan,-57.766098,2.583222,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.167812,-0.432415,0.350735,2391.297363,7180.319336,7566.048828,3601.994385,7469.566406,7693.398926,4.109458,1.773710,2.332036,25.178207,7.097232,9.355371,-1.069963,-0.534365,1.109071,2.515952,47.152699,60.414932,1807.024414,8888.838867,9880.157227,1.206572,10.139773,12.353706,51.600826,23.618084,25.570028,Smooth_V
nan,nan,-57.628052,2.544289,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.108916,-0.403388,0.364053,2659.416992,6911.808594,7349.411133,4917.459473,7303.980469,7541.473633,3.695282,1.874886,2.425822,18.854473,7.703848,10.062374,-0.321593,-0.546417,1.109594,8.201079,44.085995,57.959553,1247.707275,8432.780273,9553.995117,2.828300,9.581120,11.856981,66.312553,25.208948,28.309568,Smooth_V
nan,nan,-57.795128,1.779021,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.185956,-0.368131,0.376526,3992.589844,6689.359863,7141.416016,6178.504883,7186.931152,7421.881348,2.773798,1.942245,2.456634,11.391455,8.020069,10.277077,-0.147842,-0.551560,1.113373,16.601040,41.224144,55.265656,2710.536621,7961.232910,9119.356445,5.012667,9.111896,11.372394,57.309040,26.564529,30.167185,Smooth_V
nan,nan,-58.438412,1.145805,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.169347,-0.322126,0.368891,6201.708984,6373.531250,6810.408203,7882.640625,7053.511230,7274.464355,1.878023,2.025549,2.482736,6.083557,8.347446,10.440711,-0.065832,-0.556978,1.120589,32.687222,36.355873,49.871433,4044.292725,7241.865234,8450.319336,9.005232,8.418550,10.553246,29.973845,27.921623,31.563751,Smooth_V
nan,nan,-58.444778,1.152229,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.327603,-0.313055,0.365843,6071.056641,6240.022461,6656.934082,7829.686523,7007.388184,7220.957520,1.840086,2.051384,2.493197,5.920548,8.434042,10.475846,-0.068833,-0.558951,1.122052,31.544668,34.101498,47.072292,3657.073242,6859.808594,8060.019531,8.699448,8.108337,10.159485,25.424421,28.304262,31.808710,Smooth_V
nan,nan,-58.445499,1.152973,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.401846,-0.284323,0.351225,7464.448730,6001.209473,6357.489746,8704.440430,6940.636230,7141.113770,1.483839,2.096452,2.496611,4.529472,8.570827,10.514301,-0.044847,-0.562057,1.128024,44.148964,29.847071,40.825546,8045.561035,6140.441406,7102.935059,11.679034,7.552370,9.344329,27.664959,29.123207,32.475929,Smooth_V
nan,nan,-58.445507,1.152980,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.647707,-0.280751,0.347032,9107.350586,5985.477539,6334.419434,9033.002930,6937.244141,7136.798340,1.176419,2.096709,2.493355,3.681098,8.573232,10.512193,-0.031447,-0.562523,1.128803,55.893909,28.640024,38.658440,13208.488281,6186.907715,7185.067383,14.237191,7.461393,9.187600,16.072531,28.753578,32.233074,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.723988,-0.275602,0.340913,10085.794922,6003.283691,6361.719727,9066.488281,6922.384766,7117.961914,1.071265,2.095539,2.487820,3.396298,8.574327,10.508372,-0.024234,-0.563216,1.129945,67.036598,26.338167,33.842056,14413.170898,6286.725098,7333.333984,15.752289,7.314592,8.923564,12.795326,28.422066,32.031242,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.894873,-0.284519,0.353834,9796.665039,6105.419922,6497.080078,9097.671875,7016.971680,7222.391602,1.084603,2.074740,2.482710,3.400174,8.500548,10.483512,-0.027147,-0.543694,1.127940,61.267635,28.632679,36.008396,14413.170898,6532.823730,7704.418457,15.525217,7.800666,9.446064,10.483539,28.422913,32.039513,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.803037,-0.305368,0.368128,10272.786133,6485.427734,6945.940918,9091.306641,7124.548828,7336.894043,1.031896,2.043484,2.480855,3.318975,8.388863,10.447456,-0.023505,-0.357843,0.709318,67.090393,31.296219,38.463905,16091.122070,6861.529297,8199.747070,16.475832,8.408239,10.036367,9.883568,28.415512,32.055820,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.751056,-0.314837,0.375732,9658.606445,6692.145508,7153.408203,8955.893555,7353.885742,7568.794922,1.175531,1.957585,2.420089,3.741841,8.046988,10.253166,-0.025886,-0.248130,0.578232,65.007156,36.390411,42.940346,12993.366211,7684.154785,9051.204102,15.460987,9.493060,11.022710,13.498753,26.785179,30.671953,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.607571,-0.322773,0.379714,9435.999023,6859.187988,7323.000000,8979.397461,7446.202637,7663.660156,1.195135,1.929181,2.405527,3.777811,7.937557,10.201144,-0.027342,-0.241341,0.581664,62.632622,38.432480,44.691422,13122.439453,8059.328125,9394.262695,15.212595,9.907561,11.412250,16.938391,26.355112,30.359976,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.706431,-0.352168,0.389081,9812.344727,7165.208984,7632.906738,9082.111328,7618.461914,7840.052246,1.121969,1.862020,2.378812,3.507271,7.658230,10.066006,-0.023718,-0.234971,0.589578,70.082588,41.983257,48.113476,13466.633789,8587.668945,9907.386719,16.013224,10.609564,12.121171,13.028153,25.980339,30.137878,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.858833,-0.380043,0.399285,10159.659180,7341.383789,7814.448730,9151.153320,7701.042969,7925.139160,1.056043,1.816991,2.367054,3.342106,7.479244,9.981909,-0.023417,-0.232872,0.596908,68.947929,43.575039,49.745689,14800.390625,8930.143555,10264.616211,16.119408,10.938260,12.477191,10.084383,25.610737,29.976826,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.741970,-0.411772,0.411344,10071.787109,7642.593262,8123.880371,9042.633789,7810.324219,8039.242676,1.057186,1.741596,2.334491,3.452870,7.215060,9.859678,-0.023819,-0.229939,0.607302,68.288635,46.310307,52.623245,14499.219727,9652.953125,10955.151367,16.082870,11.482390,13.063631,16.407995,24.649788,29.361313,Smooth_V
nan,nan,-58.445507,1.152981,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.752824,-0.425144,0.416745,10451.794922,7736.793945,8230.735352,9094.074219,7839.200684,8070.564941,1.054628,1.723676,2.333786,3.444965,7.166273,9.847857,-0.022172,-0.229360,0.611813,71.027977,47.083920,53.535488,15144.584961,9883.564453,11210.317383,16.941895,11.663828,13.283669,8.642243,23.986042,28.977684,Smooth_V
nan,nan,-58.198444,1.116616,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.830342,-0.429152,0.420127,9889.063477,7967.769531,8410.951172,9121.285156,7844.589844,8076.612793,1.123316,1.721761,2.336185,3.536329,7.161569,9.849026,-0.026064,-0.229406,0.613077,66.028419,47.074883,53.527805,14241.073242,9911.099609,11244.405273,15.367614,11.640376,13.258887,16.888290,23.805862,28.859135,Smooth_V
nan,nan,-58.017685,1.052906,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.635899,-0.522514,0.327831,9878.933594,8250.797852,8621.791992,9202.821289,8302.476562,8423.622070,1.081074,1.560730,2.241888,3.367502,5.892124,8.266355,-0.022811,-0.093064,0.477620,72.455673,52.677788,57.447182,14413.170898,10747.494141,11908.737305,16.161194,12.841567,14.145876,13.659375,23.050928,28.431255,Smooth_V
nan,nan,-58.017685,1.052906,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.731341,-0.558480,0.298097,9517.365234,8535.840820,8816.500000,9161.507812,8524.856445,8590.496094,1.157798,1.442663,2.103199,3.587887,5.028512,6.556518,-0.023697,-0.051213,0.511156,71.803596,55.449291,59.271229,12950.341797,11193.224609,12181.835938,15.727100,13.422386,14.544847,15.178838,21.594048,26.666759,Smooth_V
nan,nan,-58.017685,1.052906,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.689621,-0.631941,0.218211,9251.833008,9032.996094,9170.623047,9142.227539,8816.358398,8835.341797,1.160306,1.273313,1.937764,3.567306,4.096259,4.918292,-0.025046,-0.034349,0.597959,69.381317,60.146194,62.596592,14068.975586,12184.507812,12828.532227,15.126627,14.355350,15.261323,17.515390,17.950554,20.586359,Smooth_V
nan,nan,-58.017685,1.052906,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.706202,-0.657273,0.186261,9899.241211,9244.902344,9336.695312,9292.488281,8914.308594,8924.370117,1.093920,1.216893,1.890745,3.386320,3.855591,4.586441,-0.021637,-0.030859,0.626583,76.251183,62.324921,64.326256,14327.122070,12630.240234,13129.264648,16.568363,14.758544,15.604307,16.713791,16.722223,18.556551,Smooth_V
nan,nan,-57.797230,1.119464,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.674653,-0.691520,0.140286,10359.188477,9571.434570,9618.547852,9117.674805,9023.456055,9028.277344,0.985744,1.147139,1.846462,3.229455,3.632227,4.356449,-0.020039,-0.027114,0.664481,79.174309,66.020935,67.494339,15015.511719,13511.378906,13742.983398,17.133759,15.411775,16.197321,12.773158,15.674197,17.309277,Smooth_V
nan,nan,-57.735424,1.216931,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.721793,-0.711658,0.101761,9984.375977,9730.279297,9749.780273,9063.372070,9072.132812,9073.772461,1.048531,1.115777,1.829997,3.408163,3.532250,4.252005,-0.021383,-0.025180,0.686496,76.591118,67.834610,68.966232,14671.317383,13951.949219,14033.733398,16.716003,15.729369,16.478788,13.135632,14.797490,16.024208,Smooth_V
nan,nan,-57.672890,1.353365,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.596198,-0.719432,0.083599,8762.212891,9782.190430,9792.893555,8566.602539,9066.619141,9068.532227,1.418195,1.113152,1.834656,4.410433,3.527489,4.253959,-0.029854,-0.024580,0.694858,60.419960,68.485451,69.472298,11401.463867,14086.184570,14126.450195,14.233773,15.831557,16.571095,14.028960,14.252050,15.280383,Smooth_V
nan,nan,-58.350487,1.607588,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.315049,-0.696713,0.131192,6664.763672,9606.362305,9647.213867,7584.522949,8959.766602,8970.494141,1.891183,1.165500,1.874696,6.279820,3.719204,4.478458,-0.054587,-0.026217,0.670542,38.269821,67.178444,68.531227,5248.975586,13588.822266,13775.589844,9.424403,15.483742,16.279011,44.506973,15.641426,17.705339,Smooth_V
nan,nan,-59.958076,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.343404,-0.681489,0.148131,6564.243164,9465.500000,9524.857422,7923.012695,8914.027344,8927.056641,1.839473,1.196228,1.894556,5.922397,3.820247,4.582759,-0.053046,-0.027370,0.654188,39.644119,66.082741,67.646721,3571.024414,13155.137695,13489.491211,9.847732,15.247559,16.066910,50.348946,17.143572,20.245518,Smooth_V
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.188368,-0.632944,0.181240,7122.819824,9206.969727,9291.019531,8065.772949,8834.281250,8849.883789,1.710402,1.249510,1.903958,5.413250,3.985686,4.714871,-0.048289,-0.029261,0.603784,41.971306,64.312935,66.171478,5851.316895,12301.534180,12849.357422,10.556293,14.801129,15.627688,37.363884,19.826561,23.651642,Smooth_V
