avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-49.757252,6.048446,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.370064,-0.748815,0.209321,18830.341797,10518.063477,10877.305664,8416.330078,9095.951172,9099.713867,-0.034947,1.043694,1.835759,2.557062,3.514020,4.288389,-0.084867,-0.022966,0.726044,5.123337,86.630783,91.916710,21168.000000,13774.690430,14075.368164,7.998178,16.765488,17.738111,5.792070,14.666822,15.792995,SoftAttack
nan,nan,-47.834053,6.943584,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.811768,-0.750051,0.209598,8870.724609,10500.224609,10862.380859,8111.558594,9057.712891,9063.543945,0.940261,1.032273,1.825533,3.472357,3.504434,4.279903,-0.331468,-0.035399,0.717400,5.402792,83.496048,90.358498,12046.829102,13771.246094,14072.411133,5.043238,16.302114,17.434076,26.910639,15.080345,16.372492,SoftAttack
nan,nan,-46.116566,7.424190,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.449356,-0.736864,0.217579,4010.079346,10277.823242,10722.426758,5961.500000,8931.501953,8957.922852,2.116386,1.070661,1.862246,7.720105,3.668593,4.506485,-0.783690,-0.065980,0.689545,3.144669,80.085167,88.572594,989.560974,13304.862305,13844.524414,2.193306,15.700696,17.056683,78.547356,17.476990,22.451630,SoftAttack
nan,nan,-43.224373,8.088494,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.512681,-0.658196,0.366430,2355.621826,9731.971680,10420.935547,3439.034424,8491.125977,8633.549805,3.497127,1.245224,2.055813,21.583395,4.932993,7.141010,-1.565666,-0.175596,0.623452,1.740502,72.982666,84.640793,946.536560,12468.467773,13466.160156,0.836799,14.389144,16.202759,99.584549,23.465403,34.403507,SoftAttack
nan,nan,-42.148499,8.104126,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.586570,-0.656333,0.366671,4887.594727,9563.853516,10307.553711,6102.953613,8374.625977,8530.925781,2.198046,1.281157,2.095741,8.137145,5.098241,7.293610,-2.808239,-0.287133,0.745600,0.867712,69.466911,82.728821,3614.048828,12131.155273,13268.548828,1.549872,13.775827,15.822871,44.235764,24.703047,35.444862,SoftAttack
nan,nan,-41.045582,7.457288,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.546097,-0.649340,0.367272,3943.972412,9188.584961,10046.729492,5267.439941,8103.957031,8292.183594,2.731246,1.374087,2.197634,11.450654,5.546805,7.740663,-1.854435,-0.583262,1.245523,1.353817,61.940327,78.174194,3614.048828,11539.139648,12869.570312,1.584397,12.464197,14.937979,26.720379,25.161619,35.717991,SoftAttack
nan,nan,-40.927757,7.003132,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.155913,-0.627761,0.379575,3302.050537,8921.401367,9868.476562,4758.610352,7929.260742,8144.578125,3.125854,1.454712,2.277168,14.331540,5.979753,8.241240,-1.181528,-0.629846,1.243496,2.175735,58.154911,75.690453,3528.000000,11103.733398,12562.368164,1.600146,11.799778,14.442330,40.406658,26.097527,36.463303,SoftAttack
nan,nan,-41.377686,6.261172,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.163249,-0.573796,0.412388,4244.997070,8488.579102,9587.037109,5709.467773,7598.660156,7858.433105,2.681396,1.602318,2.406549,10.730903,6.834959,9.223753,-0.875741,-0.709283,1.241666,2.773796,51.125835,71.143654,3614.048828,10456.647461,12161.448242,2.233341,10.612532,13.564143,43.906021,28.237820,38.227913,SoftAttack
nan,nan,-41.820465,6.108908,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.620755,-0.574576,0.412457,7669.974609,8429.587891,9535.160156,8254.785156,7570.232422,7827.221680,1.193092,1.599142,2.404868,3.484479,6.816299,9.215693,-0.831481,-0.741801,1.237657,2.359077,47.434933,68.551262,13122.439453,10513.440430,12219.278320,3.391486,10.059944,13.114358,21.061796,28.564175,38.378090,SoftAttack
nan,nan,-43.043438,6.314866,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.397022,-0.567425,0.414265,5808.820312,8219.042969,9358.022461,7039.813477,7456.868164,7706.841309,1.693055,1.610974,2.409443,5.301021,6.845115,9.230208,-0.410460,-0.779620,1.229224,5.378401,39.758297,62.336079,3915.219482,10139.987305,11955.719727,3.841462,8.943380,12.098741,34.899471,29.730928,39.096443,SoftAttack
nan,nan,-43.637875,6.548997,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.152515,-0.550544,0.422154,5033.461426,8056.004883,9233.974609,6294.809570,7348.042969,7597.952637,2.010990,1.641297,2.421676,7.200778,6.977472,9.303802,-0.337067,-0.792376,1.228383,6.859862,36.163311,59.228764,3398.926758,9775.140625,11710.273438,3.754030,8.402929,11.580316,41.266300,30.761709,39.839111,SoftAttack
nan,nan,-44.099121,6.688053,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.113354,-0.531056,0.430558,5259.894531,7875.013184,9085.309570,6626.141113,7244.817383,7489.600586,1.947060,1.674451,2.432345,6.876009,7.110474,9.369937,-0.222557,-0.800644,1.229602,10.246256,32.373932,55.371044,3829.170654,9362.106445,11388.660156,4.530536,7.829834,10.942697,39.715023,31.759895,40.513844,SoftAttack
nan,nan,-44.925762,6.788222,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.291439,-0.510914,0.438198,5641.894531,7547.552734,8820.231445,7554.872559,7069.867676,7295.552246,1.916584,1.744357,2.476311,6.255191,7.390051,9.533191,-0.118798,-0.811062,1.230579,18.758350,25.670435,47.766098,3312.877930,8677.159180,10923.322266,6.874712,6.865026,9.754820,35.893097,33.989079,42.111797,SoftAttack
nan,nan,-45.338524,6.846803,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.258581,-0.495240,0.439932,5928.545898,7392.018066,8680.272461,7710.362793,7013.409180,7230.109863,1.823236,1.770194,2.482898,5.892311,7.477965,9.568917,-0.097335,-0.814329,1.233334,22.497442,22.329771,42.990192,3571.024414,8236.588867,10550.789062,7.537770,6.426114,9.113610,34.879185,34.901459,42.615269,SoftAttack
nan,nan,-46.168697,7.018667,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.073320,-0.438267,0.438404,3906.166260,7011.486328,8345.044922,4158.136719,6772.323242,6992.523438,3.040897,1.871636,2.526682,16.933058,8.091489,10.140158,-0.714036,-0.844767,1.246857,3.458959,15.009042,30.940454,4732.683105,7472.475586,9789.191406,1.953039,5.383203,7.565744,14.939252,35.383129,42.803768,SoftAttack
nan,nan,-46.553547,7.106569,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.494360,-0.391006,0.471464,2998.152344,6736.711426,8130.420410,3289.079102,6537.439453,6780.131348,3.020164,1.947307,2.557561,17.367233,8.643540,10.677392,-3.052420,-0.966241,1.368575,0.889691,10.801261,22.415188,3614.048828,7061.163086,9414.072266,0.710657,4.665322,6.498225,22.345734,35.739044,42.916157,SoftAttack
nan,nan,-47.202316,7.207524,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.457441,-0.319718,0.443053,7042.516602,5990.870117,7140.254395,8948.354492,6325.334473,6562.326172,1.271219,2.113342,2.620764,3.284293,9.319415,11.282426,-0.270248,-1.018062,1.405512,7.547826,6.452068,9.640795,2323.317139,5873.689453,8014.378906,4.594064,3.721224,4.814395,32.775158,37.943596,44.132351,SoftAttack
nan,nan,-47.528290,7.232593,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.600615,-0.296441,0.411256,8364.065430,5656.373535,6526.105957,9037.522461,6341.019531,6583.401855,1.073167,2.144654,2.610925,2.951729,9.345976,11.269422,-0.129208,-1.020285,1.416916,14.385168,6.636049,9.858307,6066.438965,5288.557617,6969.278809,7.052635,3.628812,4.628070,42.873901,39.255470,44.901299,SoftAttack
nan,nan,-47.910210,7.313956,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.514633,-0.262223,0.351793,6230.636719,5152.385742,5473.478027,7556.979492,6306.645020,6541.533691,1.765991,2.216692,2.610273,5.760145,9.474098,11.290438,-0.110691,-1.021318,1.434579,19.401604,7.207178,10.536577,5205.951172,4650.076172,5633.014648,7.142090,3.594568,4.540393,35.671665,40.450661,45.426907,SoftAttack
nan,nan,-48.697460,7.603955,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.298573,-0.243198,0.334646,6194.639648,5162.178223,5442.833008,7428.553223,6349.002441,6581.718750,1.832517,2.232424,2.598396,6.093528,9.478787,11.261147,-0.117453,-0.985144,1.441110,18.329788,8.477686,11.939643,5033.853516,4619.098145,5384.222656,7.133773,3.914043,4.905882,19.222706,37.805756,42.614269,SoftAttack
nan,nan,-49.068260,7.745760,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.387995,-0.264628,0.325966,7271.025391,5353.187500,5611.622559,8020.322266,6508.818848,6726.396484,1.414182,2.156892,2.542044,4.469692,8.959704,10.750785,-0.093967,-0.940381,1.417971,21.354469,9.243198,12.703482,8045.561035,4903.059082,5616.369141,8.449416,4.206490,5.215839,24.093603,35.272724,39.163773,SoftAttack
