avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.768093,-0.662611,0.093300,9475.844727,9483.278320,9503.136719,9092.357422,8958.373047,8961.833008,1.179226,1.188889,1.857524,3.673663,3.788156,4.469236,-0.018274,-0.020662,0.641956,93.477997,83.604103,84.643318,13552.682617,13430.492188,13573.410156,17.239527,16.684778,17.383436,15.850415,13.869469,14.878757,StrongAttack
nan,nan,-59.007893,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.585608,-0.659353,0.094502,8814.663086,9472.231445,9492.718750,8994.655273,8957.176758,8960.625000,1.224737,1.188657,1.854041,3.820690,3.789825,4.467658,-0.019114,-0.020529,0.638830,94.027512,84.226761,85.276985,11745.658203,13411.561523,13556.684570,16.705437,16.711908,17.406744,18.610144,14.150483,15.170316,StrongAttack
nan,nan,-55.671471,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.648964,-0.666511,0.088406,9670.974609,9491.208008,9511.791016,9094.385742,8968.824219,8972.426758,1.248233,1.188602,1.861146,3.912013,3.791074,4.476141,-0.016946,-0.020146,0.646373,99.137863,85.954880,87.138016,13466.633789,13451.144531,13596.280273,18.528276,16.875685,17.585289,12.774503,14.419611,15.394691,StrongAttack
nan,nan,-54.249825,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.403819,-0.661433,0.099061,7280.221680,9417.240234,9447.760742,6913.590332,8881.863281,8894.535156,1.580275,1.202233,1.871233,5.117611,3.841323,4.528604,-0.899175,-0.055242,0.630200,2.236481,82.818314,85.603874,8389.755859,13280.769531,13463.799805,2.834185,16.319046,17.246056,10.349063,14.328775,15.317855,StrongAttack
nan,nan,-55.098251,3.149185,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.746466,-0.658002,0.102768,4733.707520,9102.409180,9199.209961,5881.188477,8651.840820,8695.381836,2.258024,1.269600,1.949221,8.282293,4.119307,4.896697,-1.773108,-0.320046,1.061181,1.348617,76.213699,82.215446,3700.097656,12619.915039,12982.053711,1.749263,15.088278,16.519663,25.971981,14.915274,16.035309,StrongAttack
nan,nan,-55.710812,3.198001,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.654201,-0.669186,0.084994,5155.727539,8994.451172,9122.551758,6823.159180,8590.993164,8642.155273,1.911570,1.281227,1.974673,6.187119,4.166463,4.967461,-0.333985,-0.332252,1.059189,6.876096,73.816216,81.124725,3011.707275,12427.166016,12901.312500,3.823226,14.701757,16.310852,35.638763,15.734937,17.326397,StrongAttack
nan,nan,-56.868317,1.651523,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.550567,-0.670743,0.082411,6084.451172,8926.183594,9070.481445,7194.542969,8545.150391,8600.852539,1.694228,1.283297,1.978661,5.470186,4.179145,4.984222,-0.162035,-0.337568,1.056797,13.387815,71.695030,80.058266,6023.414551,12366.931641,12869.636719,5.739216,14.392132,16.116007,29.135754,16.246895,18.006166,StrongAttack
nan,nan,-57.960297,0.622003,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.193273,-0.632788,0.155813,5696.271973,8618.677734,8808.490234,6883.356934,8371.670898,8439.393555,2.173998,1.355951,2.024274,8.055725,4.489715,5.328889,-0.089856,-0.344527,1.041666,24.712408,66.605286,76.534599,6754.829102,11750.822266,12367.178711,7.397042,13.591269,15.444328,22.652332,16.654469,18.414423,StrongAttack
nan,nan,-57.962650,0.619937,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.248199,-0.614852,0.172365,5648.518555,8453.335938,8662.428711,6995.739258,8303.309570,8375.539062,2.248846,1.401456,2.058039,8.324613,4.674112,5.537183,-0.081626,-0.346968,1.035518,27.292257,64.462097,74.971199,6883.902344,11437.605469,12090.548828,7.611980,13.228683,15.124972,19.415022,16.943335,18.653606,StrongAttack
nan,nan,-57.962921,0.619705,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.331168,-0.581085,0.186830,7053.684570,8190.313965,8413.172852,8160.857910,8208.722656,8280.774414,1.738328,1.468822,2.093472,5.516954,4.901077,5.734343,-0.041532,-0.349388,1.026018,49.034870,61.441803,72.418617,6797.853516,10738.887695,11470.668945,11.504339,12.716139,14.613246,18.572594,17.377151,19.046701,StrongAttack
nan,nan,-57.962921,0.619704,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.495237,-0.571282,0.184635,8100.966309,8111.739258,8327.893555,8393.135742,8184.166016,8254.922852,1.530634,1.486206,2.099536,4.783302,4.947798,5.763772,-0.033972,-0.349969,1.023540,55.742615,60.325703,71.318970,9164.195312,10511.718750,11230.405273,13.025930,12.540966,14.413725,21.241911,17.796682,19.399157,StrongAttack
nan,nan,-57.962921,0.619704,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.689486,-0.570938,0.184427,9731.771484,8090.663574,8303.686523,9148.831055,8200.628906,8272.769531,1.143838,1.493432,2.105195,3.518573,4.951933,5.766744,-0.023343,-0.350194,1.023346,71.630188,59.714848,70.673088,14198.048828,10408.460938,11100.808594,16.346756,12.504294,14.371114,14.059465,18.067209,19.628057,StrongAttack
nan,nan,-58.437359,0.981476,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.918326,-0.577442,0.193474,10600.791016,8097.618164,8312.494141,9317.889648,8219.936523,8293.932617,0.945057,1.492504,2.110899,3.129813,4.938660,5.764062,-0.021829,-0.350260,1.024733,71.194023,59.436245,70.381371,15746.926758,10422.228516,11120.114258,17.173891,12.526844,14.404406,12.508343,18.133394,19.675516,StrongAttack
nan,nan,-57.988247,0.538469,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.842099,-0.582236,0.198425,9732.018555,8073.382324,8283.187500,9247.448242,8232.613281,8307.818359,1.148419,1.497365,2.119433,3.562537,4.941352,5.770567,-0.022875,-0.350437,1.025709,73.106377,58.912178,69.785469,14542.244141,10403.297852,11094.929688,16.598120,12.500485,14.376699,13.379719,18.159164,19.697927,StrongAttack
nan,nan,-57.107426,1.575954,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.814547,-0.596182,0.209366,9297.053711,8041.223633,8245.693359,8732.557617,8212.105469,8285.645508,1.194499,1.495953,2.131949,3.834096,4.943109,5.785278,-0.026890,-0.351126,1.028566,64.423645,56.462311,66.819756,14025.951172,10391.250000,11078.649414,14.815136,12.269849,14.108138,15.526692,18.269352,19.785549,StrongAttack
nan,nan,-57.444679,2.185590,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.156412,-0.561220,0.254318,3511.624268,7815.517090,8070.432617,3729.242432,7997.338867,8117.645508,2.983890,1.568841,2.187262,17.152170,5.482651,6.702233,-0.838018,-0.383882,1.016535,3.014393,52.918438,64.199471,4001.268311,10100.405273,10876.266602,1.441345,11.656837,13.648860,18.307259,17.981634,19.422228,StrongAttack
nan,nan,-55.937088,3.903840,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.284019,-0.507029,0.297526,3907.281494,7342.029785,7687.102539,5836.166016,7644.727051,7818.999512,2.329186,1.690102,2.274275,8.016818,6.171965,7.593622,-0.768050,-0.517609,1.085445,3.222396,45.854359,58.773540,2366.341553,9291.547852,10268.003906,2.112888,10.410356,12.676299,54.617428,20.097778,22.612738,StrongAttack
nan,nan,-55.235035,4.362493,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.316348,-0.490322,0.296033,6254.274414,7198.000000,7534.648438,7701.743652,7583.646973,7752.568848,1.369138,1.701481,2.266775,3.885724,6.191058,7.589348,-0.239037,-0.526454,1.082785,8.986959,42.513771,55.771606,4130.341309,8895.722656,9911.835938,4.606479,9.879312,12.159795,30.392439,20.821026,23.286098,StrongAttack
nan,nan,-54.772202,3.554461,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.064662,-0.457778,0.300639,7184.287109,7064.354492,7385.604980,7178.341309,7471.468262,7631.972168,1.295514,1.699305,2.233971,3.886141,6.171009,7.550662,-0.257207,-0.541486,1.079659,7.851603,35.825687,49.061653,16564.390625,9233.034180,10399.127930,4.378433,8.937191,11.202081,14.860522,21.171219,23.627682,StrongAttack
