avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-58.328285,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.702402,-0.676421,0.066145,8332.769531,9895.232422,9915.284180,8128.047852,8236.755859,8238.036133,1.425080,0.971147,1.661885,4.516714,3.426292,4.136321,-0.061800,-0.061442,0.615020,30.135548,27.322474,28.312830,11573.560547,17942.890625,18076.550781,10.144980,10.444034,11.152563,12.390404,11.855008,12.737508,Sweet_V
nan,nan,-55.633369,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.429351,-0.652625,0.083721,7201.404785,9570.754883,9616.561523,8040.256836,8188.178711,8190.534668,1.517513,1.057681,1.729863,4.934163,3.664536,4.376131,-0.077907,-0.062322,0.590373,25.905331,27.640991,28.550444,6711.804688,16838.025391,17256.333984,9.195312,10.408024,11.098852,35.888382,13.642550,15.542132,Sweet_V
nan,nan,-53.826641,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.681892,-0.653441,0.083903,8302.666016,9476.884766,9523.608398,8336.987305,8193.839844,8196.246094,1.284420,1.082442,1.753813,4.206565,3.722413,4.431297,-0.058278,-0.061808,0.591701,32.111282,28.055420,28.948881,10627.024414,16485.224609,16946.105469,10.662429,10.465862,11.154726,24.486242,14.026846,16.037806,Sweet_V
nan,nan,-57.183056,2.862718,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.799027,-0.652604,0.083773,9402.207031,9384.585938,9427.381836,8539.635742,8207.943359,8210.721680,1.200576,1.114082,1.782047,3.940334,3.796910,4.498347,-0.043582,-0.060246,0.592439,39.455700,29.154358,30.124866,14155.024414,16084.240234,16538.494141,12.482965,10.631619,11.327783,13.252407,14.115486,16.103027,Sweet_V
nan,nan,-57.530998,2.814099,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.863699,-0.654790,0.088413,7708.599121,9296.569336,9344.775391,7364.656738,8168.700195,8173.089844,1.588097,1.140112,1.811973,5.164231,3.872455,4.581605,-0.197515,-0.065705,0.589782,9.859860,28.469362,29.690111,8346.731445,15669.483398,16195.586914,6.143696,10.452396,11.186064,9.952495,14.017386,16.032791,Sweet_V
nan,nan,-57.714672,2.598201,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.757522,-0.639066,0.122138,5200.401367,8953.909180,9050.204102,6172.860352,8026.223633,8044.327637,2.191875,1.229926,1.898744,7.978951,4.179875,4.947853,-3.658570,-0.363210,1.045814,0.666576,26.421822,28.688192,6539.707520,14712.621094,15409.313477,1.455778,9.731240,10.731387,18.083023,14.412607,16.350227,Sweet_V
nan,nan,-57.697052,2.506718,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.592954,-0.634403,0.121583,4757.567871,8725.791016,8856.314453,6752.193848,7972.013672,7994.093750,2.209480,1.287493,1.957652,7.581445,4.362525,5.157864,-0.561893,-0.383062,1.038482,4.188606,25.629889,28.274406,2710.536621,14036.277344,14911.183594,3.215328,9.472989,10.555104,41.170124,15.381200,18.019945,Sweet_V
nan,nan,-57.708927,2.297599,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.492397,-0.626327,0.124018,5882.342773,8545.817383,8689.466797,7248.653809,7930.395020,7953.532715,1.783344,1.327668,1.988641,5.847730,4.476520,5.260614,-0.231485,-0.389799,1.033439,9.493821,25.005424,27.868076,5162.926758,13464.912109,14431.952148,5.138186,9.277042,10.393656,29.025688,15.911024,18.677866,Sweet_V
nan,nan,-58.115799,1.409542,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.162720,-0.598454,0.158324,5830.790527,8235.159180,8400.012695,6772.287598,7826.689453,7854.530273,2.045910,1.409921,2.044436,7.547795,4.777853,5.553534,-0.119453,-0.395087,1.024857,18.441181,24.362036,27.353615,7443.219727,12513.213867,13513.958984,6.571027,8.999119,10.130626,25.793787,17.029516,19.668486,Sweet_V
nan,nan,-58.218464,1.672101,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.228836,-0.584207,0.174130,6105.803223,8078.286133,8247.963867,7117.895020,7785.253906,7814.125977,2.089575,1.455612,2.077219,7.463678,4.943520,5.715693,-0.092243,-0.396191,1.021579,23.483923,24.291468,27.276142,6883.902344,12024.457031,13035.525391,7.617415,8.896614,10.020587,20.287407,17.495844,20.009418,Sweet_V
