avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.691558,-0.573000,0.089101,8729.862305,8637.187500,8646.247070,8780.028320,8477.702148,8479.881836,1.319956,1.353008,1.928950,4.098135,4.252285,4.836805,-0.028345,-0.036282,0.536751,63.840702,51.335770,52.409306,11874.731445,12805.781250,13090.951172,14.258521,12.960769,13.571260,13.997759,13.542712,14.383553,Thin4notes
nan,nan,-58.834724,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.594751,-0.578865,0.085438,9035.632812,8681.936523,8690.013672,8658.796875,8499.496094,8501.413086,1.369244,1.350535,1.932275,4.269963,4.240286,4.830254,-0.027075,-0.035308,0.543583,65.303070,52.455231,53.511856,11874.731445,12833.316406,13115.188477,14.714365,13.131275,13.741406,10.858321,13.172589,13.970006,Thin4notes
nan,nan,-56.036621,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.570480,-0.572577,0.081811,8828.130859,8683.619141,8691.804688,8819.910156,8521.480469,8523.499023,1.337972,1.360388,1.935863,4.122044,4.266696,4.850610,-0.025825,-0.033953,0.538647,69.507668,54.483734,55.536346,11831.707031,12509.772461,12792.025391,15.101207,13.358128,13.960169,14.135898,12.955467,13.740600,Thin4notes
nan,nan,-54.990459,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.834177,-0.581278,0.096317,7494.862793,8642.037109,8653.384766,7311.980957,8482.120117,8487.391602,1.683443,1.375072,1.960204,5.410672,4.315169,4.912724,-0.114911,-0.036739,0.544791,17.193712,53.549759,55.047546,7959.512207,12153.530273,12441.542969,7.089842,13.183288,13.844930,15.962768,13.164706,13.959525,Thin4notes
nan,nan,-56.514534,3.069475,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.730893,-0.576685,0.130996,5034.315918,8379.833984,8432.486328,5902.412109,8308.716797,8337.936523,2.331068,1.446606,2.038220,8.677670,4.608683,5.288742,-4.188439,-0.342554,1.068488,0.595442,50.060104,53.554119,3872.195068,11253.459961,11602.064453,1.307711,12.329838,13.378280,15.115129,13.230465,13.963084,Thin4notes
nan,nan,-55.828125,2.908863,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.636735,-0.570071,0.123402,4390.283203,8182.475586,8270.416016,6392.554199,8222.653320,8260.476562,2.447446,1.499764,2.092316,8.889203,4.820238,5.548483,-0.573680,-0.363967,1.061746,4.189258,48.425949,52.773647,2710.536621,10609.815430,10989.121094,2.956193,11.954451,13.139156,42.415485,14.532523,16.258558,Thin4notes
nan,nan,-58.266541,0.947095,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.495738,-0.564082,0.123231,5492.839355,8048.197266,8153.137695,7151.695312,8166.727539,8207.142578,1.865891,1.524414,2.111312,6.123561,4.908624,5.630988,-0.213547,-0.370929,1.057723,10.535359,47.032398,52.009480,3140.780518,10060.824219,10477.439453,5.033845,11.655551,12.919268,40.961735,15.477965,17.897871,Thin4notes
nan,nan,-59.229523,0.465720,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.160046,-0.542989,0.150265,5772.377441,7815.583984,7943.514648,6755.206543,8027.108887,8075.060547,2.119526,1.575701,2.144439,7.869921,5.152930,5.879059,-0.098155,-0.377607,1.051150,22.522718,44.638973,50.388126,6926.926758,9675.326172,10136.319336,6.978941,11.132342,12.473821,23.068186,16.300301,18.757566,Thin4notes
nan,nan,-59.011673,0.225300,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.069130,-0.519597,0.174704,5819.072754,7678.099609,7811.933594,7098.071777,7963.323242,8012.422363,2.238285,1.614913,2.162843,8.096636,5.320281,6.039957,-0.075693,-0.379361,1.046944,29.133072,43.622440,49.504856,6281.561035,9386.202148,9849.979492,8.089204,10.892818,12.226702,18.816452,16.651260,19.014517,Thin4notes
nan,nan,-59.014294,0.223971,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.351724,-0.489013,0.196496,6522.789551,7473.515137,7611.868164,7917.820312,7885.021973,7933.077637,1.851438,1.666635,2.183876,6.021986,5.518515,6.201289,-0.050517,-0.381287,1.042470,41.767391,42.298107,48.212578,5292.000000,8875.072266,9393.966797,10.417934,10.568978,11.873848,18.869343,17.230392,19.461823,Thin4notes
nan,nan,-59.014317,0.223956,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.579952,-0.492342,0.197302,7812.205078,7422.781250,7555.362305,8507.199219,7878.148926,7925.630859,1.521165,1.676195,2.195425,4.664732,5.544909,6.225015,-0.038821,-0.381588,1.042687,49.808567,42.039154,47.927135,7615.316895,8665.113281,9162.236328,12.155035,10.487960,11.783399,24.856831,17.681387,19.916330,Thin4notes
nan,nan,-59.014324,0.223953,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.481270,-0.487844,0.196073,8662.713867,7445.066406,7579.897461,8924.843750,7906.560547,7956.466309,1.365199,1.670734,2.186099,4.153989,5.516054,6.197247,-0.029275,-0.381217,1.042381,62.089611,42.593212,48.584324,10067.707031,8615.205078,9106.308594,14.452296,10.575909,11.883818,14.825892,18.092894,20.345083,Thin4notes
nan,nan,-59.014324,0.223953,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.451059,-0.486322,0.196205,9266.175781,7496.721191,7638.419922,8875.180664,7933.249512,7985.065918,1.286342,1.659252,2.174501,3.976115,5.475897,6.163514,-0.024828,-0.380754,1.042428,69.908287,43.289886,49.459633,12218.926758,8768.371094,9278.015625,15.374233,10.688587,12.018664,16.068617,18.279852,20.473940,Thin4notes
nan,nan,-59.014324,0.223953,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.612902,-0.488052,0.197121,8936.436523,7512.334961,7656.269531,8994.251953,7955.851074,8009.689941,1.287185,1.653524,2.171341,3.948264,5.453684,6.148180,-0.024067,-0.380420,1.042752,74.039497,43.987694,50.381001,11401.463867,8799.348633,9314.719727,15.453116,10.773480,12.124907,17.541550,18.381132,20.558279,Thin4notes
nan,nan,-58.637093,0.681563,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.808845,-0.509648,0.217535,10106.769531,7618.031738,7781.608887,9146.378906,8017.877441,8077.371094,1.081101,1.624406,2.168342,3.436380,5.358514,6.097319,-0.020646,-0.379516,1.045619,78.536858,45.637558,52.533535,14370.146484,8968.003906,9534.851562,16.931362,11.033802,12.472733,11.367981,18.536934,20.684637,Thin4notes
nan,nan,-58.312363,1.231208,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.613336,-0.513279,0.218476,9317.903320,7654.196289,7822.710449,9023.067383,8036.106445,8097.200684,1.195709,1.617665,2.166343,3.735839,5.339313,6.086669,-0.023168,-0.379099,1.046271,74.595764,46.415905,53.496571,12821.268555,9038.563477,9622.805664,16.112398,11.148347,12.614819,13.875333,18.492109,20.655567,Thin4notes
nan,nan,-57.803047,2.106932,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.591308,-0.463345,0.304074,2918.787354,7396.538574,7619.525391,2934.472900,7803.254395,7927.385742,3.842418,1.722144,2.260662,29.692228,6.376927,8.493660,-1.189749,-0.425624,1.047499,2.198839,43.960495,51.911785,3657.073242,8611.761719,9245.618164,0.906014,10.579781,12.183270,19.026058,18.925104,20.946228,Thin4notes
