avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,-53.750175,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.310907,-0.562875,0.125460,7342.677246,8423.084961,8492.496094,8067.727539,8302.674805,8321.588867,1.499861,1.416122,1.993812,4.805099,4.585427,5.223540,-0.050614,-0.044236,0.518898,39.449753,45.539902,47.252415,7443.219727,11282.715820,11804.842773,10.576115,12.286320,13.053493,36.423019,16.840387,18.983442,Warm
nan,nan,-55.648598,3.333130,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.559155,-0.561757,0.125364,8305.778320,8393.195312,8461.890625,8456.517578,8300.389648,8319.257812,1.053032,1.406819,1.984604,3.371867,4.552677,5.195130,-0.072708,-0.045524,0.516522,25.658142,44.824112,46.715565,11057.268555,11189.782227,11708.250000,8.766026,12.124661,12.911071,35.064144,17.741617,20.105745,Warm
nan,nan,-56.424408,3.136520,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.693968,-0.568254,0.127824,10096.545898,8565.043945,8677.418945,8716.797852,8285.558594,8304.722656,0.533824,1.336041,1.942710,2.518359,4.433923,5.112083,-0.086987,-0.049701,0.518953,18.656710,42.231930,44.844677,16521.365234,11336.066406,11903.488281,8.012628,11.651569,12.500701,16.733564,17.963299,20.269688,Warm
nan,nan,-56.324120,3.178748,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.788723,-0.573420,0.133877,7345.899414,8499.386719,8615.404297,6951.837891,8212.294922,8235.021484,1.547223,1.346281,1.958222,5.170280,4.478466,5.162090,-0.579395,-0.071436,0.512978,3.450778,40.401020,43.737236,9422.341797,11174.294922,11746.922852,3.475605,11.249045,12.209977,9.086897,17.761412,20.152723,Warm
nan,nan,-56.216785,2.743822,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.720882,-0.567306,0.142768,4911.694824,8246.838867,8404.808594,5899.188965,8023.301270,8064.094238,2.201467,1.397889,2.011326,8.207432,4.712258,5.440236,-1.790488,-0.304172,0.891054,1.322052,36.539566,41.402565,4947.804688,10659.722656,11333.722656,1.749277,10.311237,11.571887,23.666216,18.214928,20.559786,Warm
nan,nan,-56.203976,2.502445,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.561682,-0.565892,0.142642,5714.087402,8132.575684,8307.130859,7083.476074,7967.722656,8010.300781,1.774228,1.413629,2.026661,5.882525,4.773620,5.502588,-0.321060,-0.315429,0.885751,6.918254,34.969101,40.359646,4087.317139,10325.853516,11087.691406,4.299728,9.979558,11.309282,29.042004,18.774368,21.164946,Warm
nan,nan,-56.205807,2.327403,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.295745,-0.556512,0.152076,6090.333008,8018.340820,8203.074219,6998.632812,7900.274414,7943.983398,1.714878,1.430703,2.034841,5.907215,4.847219,5.567263,-0.160302,-0.320387,0.880568,13.535418,33.552521,39.219151,5593.170898,10007.472656,10809.286133,5.877581,9.669383,11.013879,37.253304,19.854076,22.362804,Warm
nan,nan,-56.939194,1.378500,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.010122,-0.513949,0.197640,4983.519043,7695.653320,7906.804199,6335.048828,7727.123047,7776.943359,2.399443,1.508220,2.078857,9.627776,5.210608,5.961432,-0.141402,-0.329150,0.865791,16.401569,30.311489,35.993450,4904.780273,9372.433594,10208.323242,5.618561,8.978133,10.276988,42.281029,21.141708,23.840929,Warm
nan,nan,-57.057205,1.381384,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.036504,-0.484815,0.221510,5224.784180,7540.402344,7764.795410,6357.838379,7630.042480,7681.812500,2.507278,1.557130,2.106549,10.022922,5.449402,6.228867,-0.114740,-0.332513,0.858431,19.931179,28.815491,34.303032,5205.951172,9036.842773,9894.410156,6.116678,8.640623,9.887382,30.763811,21.904869,24.500284,Warm
nan,nan,-57.120243,1.340358,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.288529,-0.440737,0.221730,6242.164062,7232.416016,7454.682617,6936.373047,7463.483887,7512.533203,2.054803,1.639724,2.148207,7.426136,5.806699,6.554964,-0.087726,-0.338372,0.849135,24.471672,25.786449,30.382215,6754.829102,8358.779297,9176.563477,7.585056,8.003493,9.085961,14.842035,22.266401,24.687521,Warm
nan,nan,-57.113644,1.345305,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.142522,-0.415771,0.218744,7804.172363,7149.862305,7356.150391,6197.245605,7361.564941,7410.450684,1.578781,1.659322,2.140119,6.652557,5.930254,6.634851,-0.134610,-0.342609,0.844813,14.365943,24.053770,28.204460,12218.926758,8246.916016,9009.010742,6.094444,7.649970,8.625899,10.399361,22.204866,24.635643,Warm
nan,nan,-57.057251,1.398555,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.242905,-0.384878,0.211405,6534.385254,7043.892578,7243.800293,6601.235840,7189.781738,7236.643066,1.840398,1.682882,2.131670,7.098014,6.121714,6.775835,-0.120798,-0.351473,0.839667,17.440409,21.305702,24.899424,10325.853516,8172.913574,8912.260742,6.568483,7.104998,7.955854,17.060453,22.386555,24.716051,Warm
