avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1568.381714,115.919022,-33.537811,9.158733,nan,0.004164,0.013184,nan,0.050922,0.014668,nan,0.944914,0.017467,-0.215419,0.332820,0.383065,4453.731934,2316.739990,2625.838867,6547.013184,4143.759277,4433.121094,2.518507,5.241996,5.284054,9.648038,40.152435,46.149429,-0.177972,-1.167252,1.696099,13.436601,4.642057,5.757686,2753.561035,1344.081909,1607.913574,5.157915,1.937158,2.250050,79.252419,156.482437,174.766251,Warm_V
-1553.316406,95.309174,-34.200157,9.625486,nan,0.004363,0.013462,nan,0.050327,0.014752,nan,0.945310,0.017782,-0.136937,0.299907,0.386647,5053.133789,2446.536133,2790.283936,6941.442383,4312.708008,4613.527832,2.429798,5.064285,5.167099,8.929666,38.111298,44.643105,-0.140811,-1.074278,1.575131,16.399330,5.251503,6.616158,3226.829346,1388.827393,1680.525269,6.012308,2.154134,2.543886,64.370071,156.727707,174.881226,Warm_V
-1530.765991,66.994942,-35.691730,10.439464,nan,0.004822,0.014074,nan,0.049918,0.013980,nan,0.945260,0.017496,-0.019060,0.228309,0.352059,5335.869141,2713.085693,3109.361084,6989.458496,4654.424805,4950.581055,2.304481,4.679034,4.884043,8.383934,33.398224,40.453194,-0.127606,-0.901281,1.337431,17.788761,6.499556,8.157319,4603.609863,1550.599121,1973.904053,6.465096,2.599989,3.091294,36.844296,155.104050,174.485809,Warm_V
-1523.072754,60.109241,-36.487106,10.793595,nan,0.005090,0.014413,nan,0.048547,0.013061,nan,0.946363,0.017320,-0.936604,0.156153,0.395837,7632.013672,2946.898193,3445.381836,7304.906738,4844.752930,5136.526855,1.481179,4.445130,4.744865,4.612347,30.763437,38.002865,-0.476164,-0.827786,1.184455,4.113859,6.614794,8.248166,8432.780273,1796.697754,2555.958984,4.151490,2.742681,3.245728,9.440783,152.767075,174.033661,Warm_V
-1516.521606,55.255383,-37.303547,11.110620,nan,0.005389,0.014776,nan,0.048127,0.013321,nan,0.946483,0.017815,-0.350088,0.112249,0.388616,6583.184082,3140.940674,3672.110596,6929.881836,5009.789551,5290.626953,1.700182,4.254139,4.623177,5.370605,28.820511,36.497944,-4.643608,-0.926693,1.419392,0.494567,6.581780,8.279420,7830.438965,2027.308594,2969.017090,1.591560,2.782621,3.292732,10.518976,149.685333,173.203796,Warm_V
-1508.270264,53.220825,-38.985580,11.633722,nan,0.006108,0.015590,nan,0.047360,0.013924,nan,0.946532,0.018907,-0.639183,-0.001588,0.396330,5221.458496,3428.018066,3928.010254,7083.704590,5315.590820,5561.017578,1.961555,3.886576,4.374040,6.283032,24.904787,33.050404,-0.435014,-0.900346,1.341246,5.260115,6.705460,8.425282,2968.682861,2197.685303,3136.983154,3.794517,2.947670,3.480920,33.175758,142.832672,170.474854,Warm_V
-1503.959595,52.497997,-39.730827,11.731126,nan,0.006544,0.016049,nan,0.046855,0.014280,nan,0.946601,0.019568,-0.637242,-0.058305,0.381503,6960.417480,3652.958984,4158.856445,7819.665039,5511.553223,5747.192871,1.417242,3.661047,4.199923,4.263292,22.590115,30.679123,-0.193348,-0.848894,1.272843,10.606125,7.051843,8.725700,7572.292480,2457.552734,3476.816162,5.905699,3.151887,3.721270,22.287693,136.797058,167.025208,Warm_V
-1505.938843,56.454937,-41.307205,11.794148,nan,0.007635,0.017093,nan,0.047314,0.015143,nan,0.945051,0.020563,-0.258578,-0.124048,0.346808,6270.635254,4067.173340,4525.536621,7222.892090,5853.543945,6045.348145,1.886608,3.269760,3.838006,6.555088,18.524935,26.182222,-0.123062,-0.740032,1.170035,17.411873,8.145245,9.838807,6926.926758,3023.753418,4075.562256,6.971100,3.620375,4.232233,21.900757,120.579071,154.676895,Warm_V
-1507.165527,58.811954,-42.123600,11.775773,nan,0.008329,0.017690,nan,0.047648,0.015774,nan,0.944024,0.021180,-0.338925,-0.150105,0.337373,6210.767090,4268.269531,4686.969238,7289.888672,6024.321777,6189.293457,1.980610,3.084779,3.641989,6.820269,16.571449,23.745436,-0.103086,-0.687063,1.128006,20.859617,8.898024,10.709723,6539.707520,3268.131836,4279.456543,7.534671,3.888419,4.520081,18.800005,110.950615,145.769104,Warm_V
-1518.790283,58.709389,-43.780937,11.549841,nan,0.010179,0.019069,nan,0.048743,0.017246,nan,0.941078,0.022371,-0.271698,-0.203872,0.302332,5273.477539,4662.638672,4985.569336,5993.504883,6329.873535,6435.189453,2.422257,2.709751,3.186667,9.822397,12.636205,17.600018,-0.208695,-0.588248,1.052000,10.920679,10.122496,11.977468,6109.463379,3787.866455,4710.791016,4.780653,4.355659,4.986702,22.505713,90.811966,124.007278,Warm_V
