avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.721686,-0.594393,0.090832,9852.552734,8767.098633,8774.465820,8986.959961,8673.892578,8676.803711,1.149165,1.328215,1.923671,3.658317,4.174524,4.773831,-0.024581,-0.035778,0.558648,67.368263,51.648869,52.776848,14929.463867,11840.311523,11899.547852,16.181707,13.534401,14.172682,11.973619,15.613341,16.437834,sweet2
nan,nan,-58.787647,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.662075,-0.602440,0.096682,9260.877930,8838.707031,8846.601562,8833.000977,8731.317383,8733.442383,1.230313,1.312040,1.915611,3.864802,4.111647,4.718740,-0.026680,-0.034115,0.568350,65.082184,53.704170,54.786419,13294.536133,12041.666016,12105.625977,15.074883,13.825050,14.463008,18.695065,15.405815,16.192646,sweet2
nan,nan,-57.401928,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.597846,-0.594685,0.088629,8998.418945,8865.286133,8872.592773,9053.294922,8752.726562,8754.948242,1.249934,1.306474,1.902269,3.854249,4.090485,4.689771,-0.027362,-0.033408,0.561300,64.783989,54.642246,55.689949,14198.048828,12220.647461,12281.193359,15.094822,13.950994,14.577735,14.042892,15.038907,15.743149,sweet2
nan,nan,-56.091309,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.692276,-0.594113,0.087949,8749.921875,8864.415039,8871.731445,8655.673828,8758.147461,8760.262695,1.306831,1.307071,1.902291,4.117632,4.089499,4.688207,-0.028540,-0.032855,0.561279,63.276638,55.469967,56.479317,13810.829102,12237.857422,12300.230469,14.412927,14.028764,14.651850,13.583329,14.969555,15.676165,sweet2
nan,nan,-54.368702,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.288323,-0.598194,0.109761,6832.274414,8793.908203,8809.945312,6625.909668,8653.521484,8666.898438,1.686008,1.326092,1.926813,5.749684,4.177760,4.792045,-2.253236,-0.121400,0.645536,0.935822,53.656494,55.700603,7873.463379,12131.156250,12227.477539,1.928814,13.569715,14.396347,9.406104,14.674560,15.431837,sweet2
nan,nan,-56.743599,2.999512,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.612527,-0.599680,0.109693,5625.670410,8676.324219,8714.721680,6184.886719,8564.263672,8591.378906,1.987839,1.352364,1.958835,7.104271,4.291660,4.940499,-4.075637,-0.282805,0.942826,0.589334,51.872849,54.944904,6883.902344,11910.871094,12052.592773,1.365072,13.127419,14.165745,15.604539,14.769347,15.525280,sweet2
nan,nan,-57.004791,2.898682,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.405108,-0.598403,0.112768,5424.323242,8355.159180,8461.886719,7041.062012,8394.920898,8442.175781,1.900015,1.425182,2.046716,6.308932,4.604707,5.376306,-0.220133,-0.315700,0.932046,10.261233,48.377533,53.049587,3872.195068,11220.759766,11604.670898,4.956513,12.339541,13.641330,29.114309,16.394508,18.264696,sweet2
nan,nan,-58.605690,0.951835,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.329695,-0.587074,0.124371,6210.756348,8246.153320,8363.740234,7070.187988,8329.159180,8380.456055,1.736024,1.442050,2.052944,5.913663,4.676875,5.440126,-0.116249,-0.318933,0.926891,18.505198,47.106640,52.194263,7314.146484,11028.009766,11442.005859,6.726149,12.063995,13.411355,19.946241,16.592976,18.449387,sweet2
nan,nan,-59.363361,0.225867,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.295472,-0.556232,0.147080,5966.010742,8014.041992,8154.697754,7213.733887,8184.899414,8242.469727,2.058919,1.499030,2.083413,7.293237,4.927485,5.685896,-0.077392,-0.322994,0.916252,28.227570,45.094315,50.653126,6582.731934,10694.142578,11170.539062,8.150294,11.586809,12.978424,18.161495,16.861191,18.680002,sweet2
nan,nan,-59.365738,0.225366,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.264730,-0.546310,0.157663,6602.156250,7948.229492,8094.539551,7763.555176,8144.848145,8202.200195,1.884325,1.518672,2.094222,6.231392,5.004106,5.754351,-0.058287,-0.323771,0.913354,36.019375,44.605816,50.230896,7142.048828,10568.511719,11072.104492,9.604505,11.450261,12.843688,19.274235,17.046761,18.843889,sweet2
nan,nan,-59.365978,0.225319,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.387290,-0.545010,0.158831,6878.037109,7874.261719,8022.916992,8046.697266,8120.308594,8177.168457,1.732540,1.533407,2.107626,5.465096,5.049825,5.796155,-0.053602,-0.324614,0.912574,38.482536,43.920887,49.576565,6926.926758,10403.297852,10937.095703,10.052301,11.301787,12.697682,16.341740,17.020563,18.818727,sweet2
nan,nan,-59.366009,0.225315,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.551969,-0.540831,0.159231,8556.582031,7809.792480,7954.519531,8562.355469,8087.237305,8142.093262,1.382002,1.545223,2.114339,4.284490,5.084415,5.821254,-0.031514,-0.324970,0.911377,58.141499,43.664406,49.306057,10799.122070,10215.709961,10749.043945,13.716969,11.175852,12.553650,14.191320,16.964804,18.767550,sweet2
nan,nan,-59.366009,0.225315,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.611724,-0.541010,0.159308,9225.186523,7835.533691,7983.281250,8926.841797,8101.058105,8156.939453,1.233256,1.538851,2.108922,3.782201,5.060111,5.802077,-0.028264,-0.324735,0.911551,61.613476,43.986130,49.684082,13380.584961,10277.666016,10821.461914,14.775911,11.220820,12.606560,15.657699,17.063953,18.846584,sweet2
nan,nan,-58.952721,0.741951,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.580438,-0.545430,0.159338,9323.375000,7886.118164,8039.584473,8981.997070,8121.790527,8179.290527,1.248399,1.529108,2.104638,3.862232,5.028450,5.780906,-0.026553,-0.324158,0.912936,65.066666,44.888260,50.764996,13509.658203,10411.902344,10972.928711,15.465432,11.339560,12.751577,13.664020,17.131950,18.907808,sweet2
nan,nan,-58.444878,1.607325,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.624372,-0.545332,0.159288,8920.967773,7872.919434,8024.651855,8842.745117,8132.258789,8190.433105,1.322286,1.530903,2.106114,4.112233,5.028241,5.780642,-0.030334,-0.324201,0.912887,58.775730,44.861519,50.733479,11874.731445,10317.248047,10859.700195,14.614845,11.334242,12.745136,19.812147,17.488642,19.205305,sweet2
nan,nan,-57.822071,2.943574,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.394264,-0.499489,0.241512,3007.748535,7649.553223,7861.365234,3568.518555,7903.546387,8009.856445,4.007114,1.641621,2.222546,27.293743,5.972962,7.945147,-0.603912,-0.347234,0.898186,4.291234,42.453148,49.018993,3657.073242,10091.800781,10736.183594,1.615674,10.808720,12.338199,27.185652,18.118206,19.814590,sweet2
nan,nan,-57.399353,3.518733,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.656226,-0.445220,0.327404,2318.582764,7385.021484,7669.674316,2694.798584,7656.714355,7829.639160,4.642552,1.775340,2.371478,39.156094,7.377483,11.151258,-1.743245,-0.415808,0.923915,1.565176,40.049847,47.372391,3398.926758,9745.885742,10484.336914,0.709908,10.246146,11.907762,35.455475,18.939835,20.801863,sweet2
nan,nan,-56.598103,4.423981,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.403282,-0.405075,0.365264,2272.028320,7116.967285,7470.522949,3865.673340,7456.048828,7664.488281,4.847097,1.918606,2.537523,31.656822,8.488233,12.810367,-0.476719,-0.433645,0.920582,5.647583,37.970612,45.909073,1807.024414,9346.619141,10222.128906,1.840614,9.751656,11.515383,45.751301,20.033840,22.410538,sweet2
nan,nan,-55.047871,5.085697,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.164940,-0.339788,0.373724,3574.079346,6618.438965,7020.465332,5820.429688,7192.606445,7406.718750,3.219581,2.084294,2.642100,14.292651,9.358640,13.392744,-0.165669,-0.445803,0.921782,15.160985,33.852562,42.068901,2968.682861,8369.104492,9386.742188,4.488936,8.838119,10.602179,33.194363,22.927664,26.749584,sweet2
nan,nan,-54.727531,4.760858,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.301055,-0.301263,0.387889,3401.911621,6384.080566,6805.780273,5865.066895,7073.888672,7287.930664,3.213290,2.163613,2.682472,14.045905,9.765884,13.644017,-0.182100,-0.452020,0.925682,13.920087,31.806080,40.053085,2108.195068,7921.651367,9012.102539,4.310526,8.407543,10.153533,49.779640,24.171047,28.277876,sweet2
nan,nan,-54.396046,4.301627,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.197747,-0.247150,0.388517,4750.750488,6008.977051,6437.657227,6324.038086,6857.524414,7061.579590,2.422128,2.281474,2.733803,9.288704,10.348502,13.948494,-0.217367,-0.465217,0.934115,10.819592,27.711252,35.836372,4431.512207,7102.466309,8166.588379,4.559132,7.592824,9.273575,30.243368,25.853731,29.688290,sweet2
nan,nan,-54.360432,4.023779,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.118665,-0.219809,0.372204,5603.766113,5887.193359,6301.377441,6214.976074,6788.453125,6991.972168,2.075210,2.307712,2.727524,7.520971,10.463323,13.979622,-1.028929,-0.504607,0.954042,2.183063,26.150984,34.847641,5679.219727,6785.806641,7783.896973,2.365927,7.221552,8.955732,17.244034,26.041292,29.759697,sweet2
