avgPitch,devPitch,avgEnergy,devEnergy,tristimulus1,avgTristimulus1,stdTristimulus1,tristimulus2,avgTristimulus2,stdTristimulus2,tristimulus3,avgTristimulus3,stdTristimulus3,skewness,avgSkewness,stdSkewness,specCent,avgSpecCent,stdSpecCent,specSpread,avgSpecSpread,stdSpecSpread,specSkew,avgSpecSkew,stdSpecSkew,specKurt,avgSpecKurt,stdSpecKurt,specSlope,avgSpecSlope,stdSpecSlope,specDecr,avgSpecDecr,stdSpecDecr,specRolloff,avgSpecRolloff,stdSpecRolloff,specFlat,avgSpecFlat,stdSpecFlat,specCrest,avgSpecCrest,stdSpecCrest,class
-1879.277710,49.379337,-43.878956,8.856136,-0.000000,0.000000,0.000000,0.042756,0.059599,0.017747,0.957244,0.940401,0.017747,0.592296,-0.349847,0.475995,1412.042847,6885.437988,7599.864258,3185.295654,7497.729980,7835.647461,6.428847,2.441143,3.404773,51.423637,13.632947,22.234728,-0.817227,-0.167450,0.334003,3.456946,71.228203,81.860245,1247.707275,8618.645508,9939.365234,1.078012,12.565049,14.528055,96.765167,46.992153,70.879631,thin
-1876.802734,46.651989,-42.983356,8.829460,-0.000000,0.000000,0.000000,0.077196,0.061799,0.017592,0.922804,0.938201,0.017592,0.681015,-0.295302,0.511540,1434.479370,6597.328613,7406.434570,3318.024414,7283.626465,7670.046875,6.297368,2.639752,3.594936,49.178135,15.434392,24.289461,-0.717703,-0.195259,0.314317,3.924915,68.145302,80.185196,1161.658569,8174.633789,9634.808594,1.208546,12.001945,14.143466,104.202538,50.719170,73.826996,thin
-1853.453735,79.347466,-41.882977,8.355228,-0.000000,0.000000,0.000000,0.052263,0.060739,0.016854,0.947737,0.939261,0.016854,0.376244,-0.211388,0.547030,1440.269043,6026.908691,7003.027832,3828.168945,6889.197266,7337.771973,5.551810,2.974773,3.854214,37.622765,18.062517,26.385334,-0.546921,-0.236982,0.308061,5.137805,61.545570,76.172813,645.365845,7267.679199,8993.140625,1.531101,10.857037,13.323565,157.028168,59.869999,82.689064,thin
-1825.958618,111.670334,-41.695644,7.973943,-0.000000,0.000000,0.000000,0.085391,0.063204,0.017617,0.914609,0.936796,0.017617,-0.569209,-0.209192,0.545477,3511.838135,5826.055664,6828.105469,5851.948242,6768.698730,7215.920410,2.656052,3.026417,3.882043,10.551585,18.314714,26.456440,-0.809002,-0.268500,0.328624,3.137053,58.185673,74.143890,516.292664,6870.134277,8747.275391,2.348940,10.314692,12.936020,141.354156,64.788879,87.321243,thin
-1784.951538,137.337250,-41.685680,7.315617,-0.000000,0.000000,0.000000,0.089851,0.079030,0.047838,0.910149,0.920970,0.047838,-0.742650,-0.201576,0.542050,4341.569824,5473.629883,6449.051758,5691.782227,6532.683594,6966.571289,2.573278,3.111870,3.919997,10.191044,18.702412,26.549770,-3.940559,-0.623269,1.253905,0.670158,50.180782,68.407799,3398.926758,6186.907715,8058.506836,1.266945,9.008956,11.908725,32.181232,65.947472,87.590942,thin
-1775.811035,135.695267,-41.866482,7.031643,-0.000000,0.000000,0.000000,0.021123,0.074575,0.048482,0.978877,0.925425,0.048482,-0.696565,-0.207732,0.546743,3630.517578,5259.229492,6235.726562,6378.812500,6427.477539,6849.398926,2.667404,3.168088,3.956193,9.933884,18.944571,26.618959,-0.786618,-0.654035,1.256614,3.201591,46.245419,65.316422,1075.609741,5794.524902,7761.845703,2.435606,8.419021,11.406654,123.829124,70.173050,90.966240,thin
-1761.009766,141.230087,-42.179413,6.831160,-0.000000,0.000000,0.000000,0.051460,0.072924,0.047097,0.948540,0.927076,0.047097,-0.408871,-0.196622,0.539674,3194.912109,5047.061035,6033.488770,5992.055664,6309.649414,6719.741211,2.867507,3.227334,3.981445,11.520626,19.236332,26.699297,-0.442158,-0.670933,1.261063,5.806482,42.746849,62.587536,430.243896,5395.258301,7477.770996,2.935250,7.883821,10.927346,164.692642,76.083298,96.690689,thin
-1722.806641,174.258423,-43.228142,6.916106,-0.000000,0.000000,0.000000,0.072865,0.071359,0.044468,0.927135,0.928641,0.044468,-0.071994,-0.151150,0.522297,4786.878418,4641.218262,5567.472656,6791.825195,6107.047363,6485.579102,2.324692,3.329100,3.995031,8.663511,19.715775,26.795033,-0.142907,-0.686295,1.278538,16.415754,35.506771,55.391335,3097.756104,4541.654297,6619.369629,5.858748,6.856619,9.765126,71.354980,83.154045,101.076180,thin
-1722.806641,174.258423,-43.860603,7.186673,nan,0.000000,0.000000,nan,0.071359,0.044468,nan,0.928641,0.044468,-0.304253,-0.134883,0.510815,4462.230957,4450.416504,5327.626953,6892.833008,6022.196777,6380.658203,2.429183,3.377046,4.004461,9.018667,19.923456,26.833776,-0.133318,-0.690949,1.285216,17.925783,32.122471,51.560230,1677.951172,4085.595947,6089.791016,5.869640,6.378353,9.147021,83.068810,85.772415,102.362114,thin
-1722.806641,174.258423,-45.051315,7.807965,nan,0.000000,0.000000,nan,0.071359,0.044468,nan,0.928641,0.044468,-0.093931,-0.096527,0.491951,4978.547363,4143.367676,4920.582031,7511.575684,5909.497070,6237.907715,2.252731,3.454146,4.008239,7.787137,20.248884,26.882734,-0.098357,-0.697797,1.302089,23.578846,26.205303,44.135662,2323.317139,3316.320068,5151.150879,7.198411,5.619657,8.074900,98.307487,92.757957,106.233490,thin
-1722.806641,174.258423,-45.444283,7.908940,nan,0.000000,0.000000,nan,0.071359,0.044468,nan,0.928641,0.044468,-0.201387,-0.079900,0.480979,5277.911621,4020.880859,4748.046387,7635.606934,5871.888184,6188.828613,2.122579,3.480282,4.005775,7.183188,20.354431,26.893490,-0.086354,-0.700334,1.309801,26.385624,24.010235,41.357433,1979.121948,3023.754150,4820.402344,7.819016,5.331966,7.642001,96.502144,96.002869,107.916779,thin
-1722.806641,174.258423,-46.093796,7.916649,nan,0.000000,0.000000,nan,0.071359,0.044468,nan,0.928641,0.044468,-0.270164,-0.050984,0.454608,5231.515137,3756.985107,4318.963867,7725.504395,5795.740234,6084.805176,2.065037,3.530723,4.001341,6.973181,20.542252,26.908819,-0.079322,-0.704851,1.323725,28.789722,18.337389,31.072784,1505.853638,2233.826172,3423.650146,7.993788,4.651011,6.370093,86.133690,101.224434,110.264481,thin
-1722.806641,174.258423,-46.394020,7.900809,nan,0.000000,0.000000,nan,0.071359,0.044468,nan,0.928641,0.044468,-0.316898,-0.039003,0.443355,6483.714355,3658.396973,4139.074219,8269.832031,5769.077637,6046.979492,1.745581,3.551016,3.998397,5.584099,20.611889,26.911953,-0.059417,-0.706513,1.329684,35.577366,15.777790,24.878939,2968.682861,1891.351929,2599.171875,9.956565,4.370880,5.736166,95.151703,104.347054,111.832680,thin
